FREQ,L_MEASURE,L_POSITION,L_INSTR,L_DENOM,L_CURR_TYPE,L_PARENT_CTY,L_REP_BANK_TYPE,L_REP_CTY,L_CP_SECTOR,L_CP_COUNTRY,L_POS_TYPE,DECIMALS,UNIT_MEASURE,UNIT_MULT,AVAILABILITY,TITLE_GRP,TIME_FORMAT,COLLECTION,ORG_VISIBILITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,S,C,A,USD,A,5J,A,5A,A,US,N,3,USD,6,K,,,E,E,2025-Q4,8262469.83,B,F,8262782.573
Q,S,C,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2025-Q4,236443.208,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,JP,N,3,USD,6,K,,,E,E,2025-Q4,659401.768,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,GB,N,3,USD,6,K,,,E,E,2025-Q4,2453204.547,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,DE,N,3,USD,6,K,,,E,E,2025-Q4,348157.766,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,FR,N,3,USD,6,K,,,E,E,2025-Q4,542844.159,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,KY,N,3,USD,6,K,,,E,E,2025-Q4,1594948.828,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,HK,N,3,USD,6,K,,,E,E,2025-Q4,474346.764,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,SG,N,3,USD,6,K,,,E,E,2025-Q4,540103.232,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,CH,N,3,USD,6,K,,,E,E,2025-Q4,285833.462,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,LU,N,3,USD,6,K,,,E,E,2025-Q4,447923.245,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,IE,N,3,USD,6,K,,,E,E,2025-Q4,351528.264,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,NL,N,3,USD,6,K,,,E,E,2025-Q4,141747.411,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,BE,N,3,USD,6,K,,,E,E,2025-Q4,56401.773,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,CA,N,3,USD,6,K,,,E,E,2025-Q4,652218.213,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,KR,N,3,USD,6,K,,,E,E,2025-Q4,175684.286,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,AU,N,3,USD,6,K,,,E,E,2025-Q4,225256.324,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,IN,N,3,USD,6,K,,,E,E,2025-Q4,111043.788,A,F,
Q,S,C,A,USD,A,5J,A,5A,A,BR,N,3,USD,6,K,,,E,E,2025-Q4,232335.862,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,US,N,3,USD,6,K,,,E,E,2025-Q4,4194157.155,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2025-Q4,638800.97,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,JP,N,3,USD,6,K,,,E,E,2025-Q4,554934.8,A,F,
