Methodology,Year,Investor,Issuer,Asset_Class_Code,Asset_Class,Position_Residency_usd_mn
Enhanced Fund Holdings,2020,USA,CYM,BC,Corporate Bonds,102516
Enhanced Fund Holdings,2020,USA,HKG,BC,Corporate Bonds,8055
Enhanced Fund Holdings,2020,USA,VGB,BC,Corporate Bonds,14060
Enhanced Fund Holdings,2020,USA,CYM,E,Common Equity,972374
Enhanced Fund Holdings,2020,USA,HKG,E,Common Equity,149949
Enhanced Fund Holdings,2020,USA,VGB,E,Common Equity,17223
Enhanced Fund Holdings,2019,USA,CYM,BC,Corporate Bonds,91246
Enhanced Fund Holdings,2019,USA,HKG,BC,Corporate Bonds,9666
Enhanced Fund Holdings,2019,USA,VGB,BC,Corporate Bonds,18099
Enhanced Fund Holdings,2019,USA,CYM,E,Common Equity,608834
Enhanced Fund Holdings,2019,USA,HKG,E,Common Equity,160171
Enhanced Fund Holdings,2019,USA,VGB,E,Common Equity,15966
Enhanced Fund Holdings,2018,USA,CYM,BC,Corporate Bonds,150718
Enhanced Fund Holdings,2018,USA,HKG,BC,Corporate Bonds,10194
Enhanced Fund Holdings,2018,USA,VGB,BC,Corporate Bonds,16378
Enhanced Fund Holdings,2018,USA,CYM,E,Common Equity,482901
Enhanced Fund Holdings,2018,USA,HKG,E,Common Equity,150708
Enhanced Fund Holdings,2018,USA,VGB,E,Common Equity,12871
Enhanced Fund Holdings,2017,USA,CYM,BC,Corporate Bonds,80471
Enhanced Fund Holdings,2017,USA,HKG,BC,Corporate Bonds,8275
Enhanced Fund Holdings,2017,USA,VGB,BC,Corporate Bonds,13781
Enhanced Fund Holdings,2017,USA,CYM,E,Common Equity,546941
Enhanced Fund Holdings,2017,USA,HKG,E,Common Equity,146560
Enhanced Fund Holdings,2017,USA,VGB,E,Common Equity,14744
Enhanced Fund Holdings,2016,USA,CYM,BC,Corporate Bonds,62101
Enhanced Fund Holdings,2016,USA,HKG,BC,Corporate Bonds,5724
Enhanced Fund Holdings,2016,USA,VGB,BC,Corporate Bonds,10606
Enhanced Fund Holdings,2016,USA,CYM,E,Common Equity,238084
Enhanced Fund Holdings,2016,USA,HKG,E,Common Equity,111749
Enhanced Fund Holdings,2016,USA,VGB,E,Common Equity,9146
Enhanced Fund Holdings,2015,USA,CYM,BC,Corporate Bonds,67036
Enhanced Fund Holdings,2015,USA,HKG,BC,Corporate Bonds,6350
Enhanced Fund Holdings,2015,USA,VGB,BC,Corporate Bonds,12047
Enhanced Fund Holdings,2015,USA,CYM,E,Common Equity,285418
Enhanced Fund Holdings,2015,USA,HKG,E,Common Equity,123572
Enhanced Fund Holdings,2015,USA,VGB,E,Common Equity,12835
Enhanced Fund Holdings,2014,USA,CYM,BC,Corporate Bonds,81242
Enhanced Fund Holdings,2014,USA,HKG,BC,Corporate Bonds,8648
Enhanced Fund Holdings,2014,USA,VGB,BC,Corporate Bonds,13705
Enhanced Fund Holdings,2014,USA,CYM,E,Common Equity,240584
Enhanced Fund Holdings,2014,USA,HKG,E,Common Equity,132335
Enhanced Fund Holdings,2014,USA,VGB,E,Common Equity,21532
Enhanced Fund Holdings,2013,USA,CYM,BC,Corporate Bonds,82079
Enhanced Fund Holdings,2013,USA,HKG,BC,Corporate Bonds,4928
Enhanced Fund Holdings,2013,USA,VGB,BC,Corporate Bonds,9374
Enhanced Fund Holdings,2013,USA,CYM,E,Common Equity,276607
Enhanced Fund Holdings,2013,USA,HKG,E,Common Equity,128588
Enhanced Fund Holdings,2013,USA,VGB,E,Common Equity,24038
Enhanced Fund Holdings,2012,USA,CYM,BC,Corporate Bonds,87426
Enhanced Fund Holdings,2012,USA,HKG,BC,Corporate Bonds,4258
Enhanced Fund Holdings,2012,USA,VGB,BC,Corporate Bonds,6270
Enhanced Fund Holdings,2012,USA,CYM,E,Common Equity,120539
Enhanced Fund Holdings,2012,USA,HKG,E,Common Equity,133051
Enhanced Fund Holdings,2012,USA,VGB,E,Common Equity,12207
Enhanced Fund Holdings,2011,USA,CYM,BC,Corporate Bonds,74345
Enhanced Fund Holdings,2011,USA,HKG,BC,Corporate Bonds,1515
Enhanced Fund Holdings,2011,USA,VGB,BC,Corporate Bonds,5124
Enhanced Fund Holdings,2011,USA,CYM,E,Common Equity,93636
Enhanced Fund Holdings,2011,USA,HKG,E,Common Equity,108146
Enhanced Fund Holdings,2011,USA,VGB,E,Common Equity,6911
Enhanced Fund Holdings,2010,USA,CYM,BC,Corporate Bonds,68059
Enhanced Fund Holdings,2010,USA,HKG,BC,Corporate Bonds,1269
Enhanced Fund Holdings,2010,USA,VGB,BC,Corporate Bonds,3926
Enhanced Fund Holdings,2010,USA,CYM,E,Common Equity,98017
Enhanced Fund Holdings,2010,USA,HKG,E,Common Equity,129493
Enhanced Fund Holdings,2010,USA,VGB,E,Common Equity,5349
Enhanced Fund Holdings,2009,USA,CYM,BC,Corporate Bonds,68981
Enhanced Fund Holdings,2009,USA,HKG,BC,Corporate Bonds,1186
Enhanced Fund Holdings,2009,USA,VGB,BC,Corporate Bonds,2119
Enhanced Fund Holdings,2009,USA,CYM,E,Common Equity,83673
Enhanced Fund Holdings,2009,USA,HKG,E,Common Equity,88966
Enhanced Fund Holdings,2009,USA,VGB,E,Common Equity,3410
Enhanced Fund Holdings,2008,USA,CYM,BC,Corporate Bonds,68091
Enhanced Fund Holdings,2008,USA,HKG,BC,Corporate Bonds,3101
