Methodology,Year,Investor,Asset_Class,Asset_Class_Code,Destination,Destination_Restated,Value
1,2020,USA,4,BC,CYM,CHN,0.5054001212120056
1,2020,USA,4,BC,HKG,CHN,0.27903157472610474
1,2020,USA,4,BC,VGB,CHN,0.7727290391921997
1,2020,USA,3,E,CYM,CHN,0.823154866695404
1,2020,USA,3,E,HKG,CHN,0.19788004457950592
1,2020,USA,3,E,VGB,CHN,0.02777368389070034
1,2019,USA,4,BC,CYM,CHN,0.45352429151535034
1,2019,USA,4,BC,HKG,CHN,0.43940138816833496
1,2019,USA,4,BC,VGB,CHN,0.8448866605758667
1,2019,USA,3,E,CYM,CHN,0.8566001653671265
1,2019,USA,3,E,HKG,CHN,0.3228660225868225
1,2019,USA,3,E,VGB,CHN,0.031221557408571243
1,2018,USA,4,BC,CYM,CHN,0.3607485890388489
1,2018,USA,4,BC,HKG,CHN,0.48030292987823486
1,2018,USA,4,BC,VGB,CHN,0.876104474067688
1,2018,USA,3,E,CYM,CHN,0.8513427376747131
1,2018,USA,3,E,HKG,CHN,0.3483213484287262
1,2018,USA,3,E,VGB,CHN,0.04431239888072014
1,2017,USA,4,BC,CYM,CHN,0.2941133677959442
1,2017,USA,4,BC,HKG,CHN,0.33173954486846924
1,2017,USA,4,BC,VGB,CHN,0.7911869287490845
1,2017,USA,3,E,CYM,CHN,0.8726469874382019
1,2017,USA,3,E,HKG,CHN,0.3296909034252167
1,2017,USA,3,E,VGB,CHN,0.037407658994197845
1,2016,USA,4,BC,CYM,CHN,0.16799724102020264
1,2016,USA,4,BC,HKG,CHN,0.259144127368927
1,2016,USA,4,BC,VGB,CHN,0.703341007232666
1,2016,USA,3,E,CYM,CHN,0.8322157859802246
1,2016,USA,3,E,HKG,CHN,0.3517085313796997
1,2016,USA,3,E,VGB,CHN,0.03726813197135925
1,2015,USA,4,BC,CYM,CHN,0.18480361998081207
1,2015,USA,4,BC,HKG,CHN,0.35031557083129883
1,2015,USA,4,BC,VGB,CHN,0.7163116931915283
1,2015,USA,3,E,CYM,CHN,0.8335671622432889
1,2015,USA,3,E,HKG,CHN,0.3703908324241638
1,2015,USA,3,E,VGB,CHN,0.03718406334519386
1,2014,USA,4,BC,CYM,CHN,0.14284716546535492
1,2014,USA,4,BC,HKG,CHN,0.3953622281551361
1,2014,USA,4,BC,VGB,CHN,0.670828640460968
1,2014,USA,3,E,CYM,CHN,0.8474330902099609
1,2014,USA,3,E,HKG,CHN,0.3469529449939728
1,2014,USA,3,E,VGB,CHN,0.027481669560074806
1,2013,USA,4,BC,CYM,CHN,0.06997576355934143
1,2013,USA,4,BC,HKG,CHN,0.42319703102111816
1,2013,USA,4,BC,VGB,CHN,0.5660589337348938
1,2013,USA,3,E,CYM,CHN,0.7598891258239746
1,2013,USA,3,E,HKG,CHN,0.3573564887046814
1,2013,USA,3,E,VGB,CHN,0.022205058485269547
1,2012,USA,4,BC,CYM,CHN,0.05289969593286514
1,2012,USA,4,BC,HKG,CHN,0.404751718044281
1,2012,USA,4,BC,VGB,CHN,0.5071683526039124
1,2012,USA,3,E,CYM,CHN,0.7414067983627319
1,2012,USA,3,E,HKG,CHN,0.3981952667236328
1,2012,USA,3,E,VGB,CHN,0.028906058799498223
1,2011,USA,4,BC,CYM,CHN,0.04551791772246361
1,2011,USA,4,BC,HKG,CHN,0.35010706299733696
1,2011,USA,4,BC,VGB,CHN,0.32833531498908997
1,2011,USA,3,E,CYM,CHN,0.7668201923370361
1,2011,USA,3,E,HKG,CHN,0.43603864312171936
1,2011,USA,3,E,VGB,CHN,0.03417208418250084
1,2010,USA,4,BC,CYM,CHN,0.03500863164663315
1,2010,USA,4,BC,HKG,CHN,0.3476269543170929
1,2010,USA,4,BC,VGB,CHN,0.128840371966362
1,2010,USA,3,E,CYM,CHN,0.7837681174278259
1,2010,USA,3,E,HKG,CHN,0.43729928135871887
1,2010,USA,3,E,VGB,CHN,0.22042036056518555
1,2009,USA,4,BC,CYM,CHN,0.018846377730369568
1,2009,USA,4,BC,HKG,CHN,0.016940245404839516
1,2009,USA,4,BC,VGB,CHN,0.08319928497076035
1,2009,USA,3,E,CYM,CHN,0.6851861476898193
1,2009,USA,3,E,HKG,CHN,0.45140567421913147
1,2009,USA,3,E,VGB,CHN,0.22884304821491241
1,2008,USA,4,BC,CYM,CHN,0.021685978397727013
1,2008,USA,4,BC,HKG,CHN,0.04629262164235115
1,2008,USA,4,BC,VGB,CHN,0.08530799299478531
1,2008,USA,3,E,CYM,CHN,0.565238893032074
1,2008,USA,3,E,HKG,CHN,0.4841701090335846
1,2008,USA,3,E,VGB,CHN,0.14264702796936035
1,2007,USA,4,BC,CYM,CHN,0.007307289633899927
1,2007,USA,4,BC,HKG,CHN,0.08409988135099411
1,2007,USA,4,BC,VGB,CHN,0.08170288056135178
1,2007,USA,3,E,CYM,CHN,0.34308862686157227
1,2007,USA,3,E,HKG,CHN,0.4701803922653198
1,2007,USA,3,E,VGB,CHN,0.12770068645477295
2,2020,USA,4,BC,CYM,CHN,0.5483382940292358
