issuer_lei,ultimate_parent_lei,parent_country_iso,relationship_type,source
0WKKFB7N1TW1Q5WJ1V86,0WKKFB7N1TW1Q5WJ1V86,BM,SELF,GLEIF-RR+API
1IE8VN30JCEQV1H4R804,MLU0ZO3ML4LN2LL2TL39,GB,ULTIMATE,GLEIF-RR+API
1YTX3EVB2EG3PFFYOI09,1YTX3EVB2EG3PFFYOI09,KY,SELF,GLEIF-RR+API
2138001423MK8G3BNM68,2138001423MK8G3BNM68,KY,SELF,GLEIF-RR+API
213800163XEE49LPJM48,213800163XEE49LPJM48,KY,SELF,GLEIF-RR+API
2138001BB6WD5MI1QD94,549300HBUGSQD1VCXG94,CN,ULTIMATE,GLEIF-RR+API
2138001LNFG5678B4I86,2138001LNFG5678B4I86,JE,SELF,GLEIF-RR+API
2138001P49OLAEU33T68,2138001P49OLAEU33T68,GB,SELF,GLEIF-RR+API
21380028OPRUVBBGKF36,21380028OPRUVBBGKF36,KY,SELF,GLEIF-RR+API
21380029WPUQLKIPJJ57,21380029WPUQLKIPJJ57,KY,SELF,GLEIF-RR+API
2138002H4QLTWIPNVA44,2138002H4QLTWIPNVA44,HK,SELF,GLEIF-RR+API
2138002XGB1HCGX8QS33,2138002XGB1HCGX8QS33,KY,SELF,GLEIF-RR+API
2138002Y4SAHF7NM3W37,2138002Y4SAHF7NM3W37,KY,SELF,GLEIF-RR+API
21380031B1D56JRCE375,2138001P49OLAEU33T68,GB,ULTIMATE,GLEIF-RR+API
21380033K525E5JLIA77,21380033K525E5JLIA77,KY,SELF,GLEIF-RR+API
2138003NTU878X7J9T41,2138003NTU878X7J9T41,KY,SELF,GLEIF-RR+API
2138003W7QBGJSA8VF04,2138003W7QBGJSA8VF04,JE,SELF,GLEIF-RR+API
2138003YNN85987W7B06,2138003YNN85987W7B06,KY,SELF,GLEIF-RR+API
2138004YAWWM4FWJ3U62,2138004YAWWM4FWJ3U62,KY,SELF,GLEIF-RR+API
21380057FWYXY89TJK26,21380057FWYXY89TJK26,KY,SELF,GLEIF-RR+API
21380057SDS1LER3KZ63,21380057SDS1LER3KZ63,KY,SELF,GLEIF-RR+API
2138005QZ5GFFQO8G389,2138005QZ5GFFQO8G389,KY,SELF,GLEIF-RR+API
2138006FECWIZUO67V37,300300E1005431000017,CN,ULTIMATE,GLEIF-RR+API
2138006HTEY9GGW6XF50,2138006HTEY9GGW6XF50,KY,SELF,GLEIF-RR+API
2138006VAWTJT57PQ586,2138006VAWTJT57PQ586,HK,SELF,GLEIF-RR+API
2138006X34YDQ6OBYE79,2138006X34YDQ6OBYE79,KY,SELF,GLEIF-RR+API
21380072EG9FM18T1P46,21380072EG9FM18T1P46,KY,SELF,GLEIF-RR+API
2138007WU5DJFZFDDV59,2138007WU5DJFZFDDV59,KY,SELF,GLEIF-RR+API
213800894PKYXGTOLA71,213800894PKYXGTOLA71,KY,SELF,GLEIF-RR+API
