data_month,ib_total_usd_bn,ib_total_flag,ib_securities_usd_bn,ib_securities_flag,ib_deposits_usd_bn,ib_deposits_flag,ib_loans_usd_bn,ib_loans_flag,ib_fin_derivatives_usd_bn,ib_fin_derivatives_flag,ib_gold_usd_bn,ib_gold_flag,ib_other_usd_bn,ib_other_flag,channel,source_file
2015-06,188.158471,PUBLISHED,176.372,PUBLISHED,,BLANK,11.786471,PUBLISHED,,BLANK,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_132_a482680ce63d40a595641136b7f0bb32.xls
2015-07,189.104893,PUBLISHED,177.003622,PUBLISHED,,BLANK,12.101271,PUBLISHED,,BLANK,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_131_0857b8c8ba2548b5927f81bfe760da39.xls
2015-08,188.772549,PUBLISHED,177.042678,PUBLISHED,,BLANK,11.729871,PUBLISHED,,BLANK,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_130_64f8ec9df97b48b39e0858ef2a69d61e.xls
2015-09,205.309413,PUBLISHED,192.808533,PUBLISHED,,BLANK,12.50088,PUBLISHED,,BLANK,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_129_129b15506e3a46f989a79911506769db.xls
2015-10,206.430011,PUBLISHED,194.669451,PUBLISHED,,BLANK,11.76056,PUBLISHED,,BLANK,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_128_6231dfc71b93429daad90d079b4fddfc.xls
2015-11,206.714,PUBLISHED,195.188,PUBLISHED,,BLANK,11.526,PUBLISHED,,BLANK,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_127_19c64813ac3948b983d73027304f2677.xls
2015-12,200.677,PUBLISHED,195.802,PUBLISHED,,BLANK,4.852,PUBLISHED,0.023,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_126_c3e65ce736494c3b94570b33bb4018d6.xls
2016-01,201.88,PUBLISHED,195.802,PUBLISHED,,BLANK,6.032,PUBLISHED,0.046,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_125_471cb046d71d45ce9c52231bb1d17e65.xls
2016-02,202.401,PUBLISHED,195.804,PUBLISHED,,BLANK,6.062,PUBLISHED,0.535,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_124_e120e2c998e847e9a9b73f82026ca2c1.xls
2016-03,202.537,PUBLISHED,196.734,PUBLISHED,,BLANK,5.282,PUBLISHED,0.521,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_123_40734819ff954f20b8250e155799bc56.xls
2016-04,204.243,PUBLISHED,196.77,PUBLISHED,,BLANK,7.022,PUBLISHED,0.45,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_122_831039aa964c4874bc00e6a4c81dc0fb.xls
2016-05,207.086,PUBLISHED,196.845,PUBLISHED,,BLANK,9.822,PUBLISHED,0.418,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_121_faabbd1919e84ef892dd7440026e8b66.xls
2016-06,209.187,PUBLISHED,197.068,PUBLISHED,,BLANK,11.773,PUBLISHED,0.345,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_120_1d4204815d0046bfabdf40396eb2edcd.xls
2016-07,208.868,PUBLISHED,196.965,PUBLISHED,,BLANK,11.573,PUBLISHED,0.33,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_119_d344da6662924d739bcc8f6b46f9343a.xls
2016-08,210.275,PUBLISHED,196.854,PUBLISHED,,BLANK,13.17,PUBLISHED,0.251,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_118_0fdafff468334202ad84563c2cced30e.xls
2016-09,209.146,PUBLISHED,196.917,PUBLISHED,,BLANK,11.757,PUBLISHED,0.472,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_117_a3ea633e3b6d41f1b9e1b4b308795150.xls
2016-10,208.195,PUBLISHED,196.912,PUBLISHED,,BLANK,11.455,PUBLISHED,-0.172,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_116_df39497f328549c6b5529ad852eeceaf.xls
2016-11,203.472,PUBLISHED,191.969,PUBLISHED,,BLANK,12.378,PUBLISHED,-0.875,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_115_2f19d1c2fe2e458b8145b6688b0da686.xls
2016-12,200.202,PUBLISHED,191.477,PUBLISHED,,BLANK,9.974,PUBLISHED,-1.249,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_114_c6fd923c6f104b80b638b3feeb677d6f.xls
2017-01,199.982,PUBLISHED,191.781,PUBLISHED,,BLANK,8.976,PUBLISHED,-0.775,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_113_3c249db076d946feac20ad913b30a3ed.xls
2017-02,200.333,PUBLISHED,191.936,PUBLISHED,,BLANK,8.845,PUBLISHED,-0.448,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_112_04135e319f9146ea8920afb92d2157a1.xls
2017-03,200.891,PUBLISHED,192.33,PUBLISHED,,BLANK,8.697,PUBLISHED,-0.136,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_111_05efd10ebb614a1ca993e98b727caaa0.xls
2017-04,198.467,PUBLISHED,190.566,PUBLISHED,0.0,PUBLISHED,7.999,PUBLISHED,-0.098,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_110_7900d74255be475d8f4bda61cfbfabed.xls
2017-05,196.315,PUBLISHED,190.159,PUBLISHED,,BLANK,6.234,PUBLISHED,-0.079,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_109_6255a338af714541b45c4eddaf499e32.xls
2017-06,194.541,PUBLISHED,191.111,PUBLISHED,,BLANK,3.436,PUBLISHED,-0.006,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_108_74d1ef195c1d444ca85ffd19c49c067d.xls
2017-07,194.705,PUBLISHED,190.922,PUBLISHED,,BLANK,3.73,PUBLISHED,0.054,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_107_7242662a60b946d0942b75089a30210a.xls
2017-08,191.848,PUBLISHED,189.066,PUBLISHED,,BLANK,2.612,PUBLISHED,0.17,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_106_037a91df76d84575b3ce78a2e9911302.xls
2017-09,191.66,PUBLISHED,186.048,PUBLISHED,,BLANK,5.612,PUBLISHED,0.0,PUBLISHED,,BLANK,,BLANK,SAFE-EN,build/reserve/rdtd_evidence/raw_105_edd2068318fb411e950e558ffc19edfb.xls
