observation_date,DEXCHUS
2022-02-01,6.3610
2022-02-02,6.3610
2022-02-03,6.3610
2022-02-04,6.3610
2022-02-07,6.3610
2022-02-08,6.3660
2022-02-09,6.3619
2022-02-10,6.3526
2022-02-11,6.3540
2022-02-14,6.3567
2022-02-15,6.3385
2022-02-16,6.3366
2022-02-17,6.3381
2022-02-18,6.3251
2022-02-21,
2022-02-22,6.3260
2022-02-23,6.3134
2022-02-24,6.3283
2022-02-25,6.3169
2022-02-28,6.3084
2022-03-01,6.3116
2022-03-02,6.3210
2022-03-03,6.3195
2022-03-04,6.3188
2022-03-07,6.3194
2022-03-08,6.3178
2022-03-09,6.3174
2022-03-10,6.3212
2022-03-11,6.3389
2022-03-14,6.3645
2022-03-15,6.3696
