		MAJOR FOREIGN HOLDERS OF TREASURY SECURITIES											
			    (in billions of dollars)										
			HOLDINGS 1/ AT END OF PERIOD										
													
													
	Dec	Nov	Oct	Sep	Aug	Jul	Jun	May	Apr	Mar	Feb	Jan	
...
12:"China, Mainland"	683.5	683.9	687.7	699.2	699.7	695.6	731.4	732.7	743.6	765.4	784.3	760.8	
47:Grand Total	9267.2	9349.6	9232.9	9237.5	9248.4	9109.4	9094	9023.5	9001	9054.2	8900	8617.8	
59:"China, Mainland"	759	768.6	760.1	772	774.6	776.5	780.2	768.3	770.7	767.4	775	797.7	
96:Grand Total	8619.3	8723.3	8693.5	8766.3	8611.4	8428.2	8299.3	8130.7	8036.2	8107.9	7999.3	7953.8	
108:"China, Mainland"	816.3	782	769.6	778.1	805.4	821.8	835.8	846.7	868.9	869.3	849	859.3	
144:Grand Total	7940	7716.3	7476.7	7509.1	7620.5	7595.1	7563.2	7458.6	7506	7468.6	7254.9	7305.1	
156:"China, Mainland"	867.1	870.3	877.9	901.7	938.6	939.2	938.8	951.8	976.0	1013.2	1028.7	1033.8	
194:Grand Total	7194.7	7184.7	7133.2	7251.5	7492.7	7485.5	7416.9	7410.8	7443.1	7604.2	7703.5	7655.7	
