Holdings by Twelve Foreign Oil Exporters of U.S. Treasury Securities - December 1974 to March 2016 1/,,,,,,,,,,,,
Billions of dollars,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Country:,Bahrain,Iran,Iraq,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Algeria,Gabon,Libya,Nigeria
country code:,40703,42307,42404,43109,44105,45101,45608,46604,50105,52418,53309,54305
1974-12,0,1.2,0.3,0.8,0,0,1.3,0.1,0,0,2,0.7
1975-01,0,1.4,0.3,1,0,0,1.4,0.1,0,0,2,0.7
1975-02,0,1.5,0.3,1,0,0,1.6,0.1,0,0,2.1,0.7
1975-03,0,1,0.3,0.8,0,0,1.8,0.1,0,0,2.2,0.7
1975-04,0,1.1,0.3,0.9,0,0,1.8,0.1,0,0,2.2,0.8
1975-05,0,1.3,0.3,1,0,0,2,0.2,0,0,2.1,0.7
1975-06,0,1.1,0.3,0.9,0,0,2,0.2,0,0,2.2,0.7
1975-07,0,1.2,0.3,1,0,0,2,0.2,0,0,2,0.7
1975-08,0,1.4,0.3,1.1,0,0,2.1,0.2,0,0,2,0.7
1975-09,0,1.4,0.3,1.2,0,0,2.2,0.2,0,0,1.9,0.7
1975-10,0,1.7,0.3,1.4,0,0,2.4,0.2,0,0,1.9,0.7
1975-11,0,2,0.3,1.6,0,0,2.5,0.2,0,0,1.7,0.6
1975-12,0,2.1,0.3,1.7,0,0,2.6,0.3,0,0,1.6,0.6
1976-01,0,2.1,0.3,1.7,0,0,2.7,0.3,0,0,1.5,0.6
1976-02,0,2.2,0.3,1.8,0,0,2.8,0.3,0,0,1.5,0.6
1976-03,0,2,0.3,1.7,0,0,2.9,0.3,0,0,1.4,0.5
1976-04,0,2.1,0.3,1.8,0,0,3.1,0.3,0,0,1.7,0.6
1976-05,0,2.5,0.3,2.1,0,0,3.3,0.4,0,0,1.8,0.7
1976-06,0,2.2,0.3,2.1,0,0,3.6,0.4,0,0,1.9,0.7
1976-07,0,2.1,0.3,2,0,0,3.7,0.4,0,0,1.8,0.7
1976-08,0,2.4,0.3,2.3,0,0,4,0.5,0,0,1.8,0.7
1976-09,0,2.3,0.3,2.3,0,0,4.3,0.5,0,0,1.5,0.6
1976-10,0,2.2,0.3,2.2,0,0,4.4,0.5,0,0,1.3,0.5
1976-11,0,2.5,0.3,2.5,0,0,4.9,0.6,0,0,1,0.4
