FOREIGN PURCHASES AND SALES OF LONG-TERM DOMESTIC AND FOREIGN SECURITIES BY TYPE
All amounts in millions of dollars.
,,,<------------Gross Purchases by Foreigners------------>,,,,,,<--------------Gross Sales by Foreigners-------------->,,,,,
,,,U.S.,U.S.,,,,,U.S.,U.S.,,,,
,,End,Treasury,Gov't,U.S.,U.S.,,,Treasury,Gov't,U.S.,U.S.,,
,Country,of,Bonds &,Agency,Corp.,Corp.,Foreign,Foreign,Bonds &,Agency,Corp.,Corp.,Foreign,Foreign
Country Name,Code,Month,Notes,Bonds,Bonds,Stocks,Bonds,Stocks,Notes,Bonds,Bonds,Stocks,Bonds,Stocks
------------,----------,----------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------
Bahrain,40703,2013-01,0,0,1,31,51,10,20,0,20,40,49,12
Bahrain,40703,2013-02,19,3,5,116,22,0,31,4,13,103,22,16
Bahrain,40703,2013-03,51,0,4,63,77,1,51,5,3,84,87,17
Bahrain,40703,2013-04,18,3,12,56,58,18,14,2,2,122,47,4
Bahrain,40703,2013-05,27,1,6,19,32,5,17,7,20,209,35,27
Bahrain,40703,2013-06,12,0,2,160,18,4,24,0,5,74,43,17
Bahrain,40703,2013-07,25,0,5,12,28,6,27,0,33,21,18,16
Bahrain,40703,2013-08,2,0,4,27,74,3,52,1,19,75,37,5
Bahrain,40703,2013-09,17,0,0,32,2,5,24,0,1,166,18,23
Bahrain,40703,2013-10,4,0,21,21,10,124,10,0,3,192,10,30
Bahrain,40703,2013-11,6,0,12,115,6,27,3,6,5,87,5,4
Bahrain,40703,2013-12,27,0,11,105,1,29,2,0,5,105,7,3
Bahrain,40703,2014-01,10,3,5,113,14,73,8,0,55,126,16,18
Bahrain,40703,2014-02,0,0,7,49,8,16,59,4,9,198,14,20
Bahrain,40703,2014-03,0,0,19,23,2,7,19,0,2,176,5,46
Bahrain,40703,2014-04,2,0,35,63,10,43,14,0,21,118,45,4
Bahrain,40703,2014-05,6,4,19,22,3,71,0,0,13,131,35,10
Bahrain,40703,2014-06,5,0,6,53,116,2,6,0,15,60,104,16
Bahrain,40703,2014-07,9,0,4,29,10,1,19,0,2,19,24,4
Bahrain,40703,2014-08,5,0,18,42,3,0,4,0,0,29,4,21
Bahrain,40703,2014-09,4,0,18,88,8,9,11,0,4,14,120,5
Bahrain,40703,2014-10,0,0,2,84,13,11,3,0,0,46,46,19
Bahrain,40703,2014-11,2,3,5,19,3,0,13,2,12,9,22,4
Bahrain,40703,2014-12,6,0,9,50,18,1,8,61,0,85,8,0
Kuwait,43109,2008-01,258,305,59,"5,510",226,139,127,326,66,437,113,160
Kuwait,43109,2008-02,258,409,133,541,3,137,349,533,94,520,53,126
Kuwait,43109,2008-03,654,406,107,760,67,113,505,457,76,665,114,93
Kuwait,43109,2008-04,270,486,93,638,32,123,419,582,77,584,33,131
Kuwait,43109,2008-05,147,701,160,873,68,181,104,681,85,796,78,204
Kuwait,43109,2008-06,251,932,210,650,55,187,376,512,268,608,61,202
Kuwait,43109,2008-07,168,228,65,888,11,213,151,235,100,799,29,196
Kuwait,43109,2008-08,"1,538",352,38,597,55,160,"1,527",288,123,662,71,165
Kuwait,43109,2008-09,211,"1,657",45,629,14,123,540,"1,064",36,606,47,85
Kuwait,43109,2008-10,174,771,24,663,72,92,175,"1,141",65,626,127,107
Kuwait,43109,2008-11,181,610,23,444,109,74,120,295,24,412,6,71
Kuwait,43109,2008-12,72,519,67,497,156,58,62,357,13,453,164,70
