country,period,net_purchases_busd,source_file
Russia,2013-01,1.862,s1_globl.txt
Russia,2013-02,-2.828,s1_globl.txt
Russia,2013-03,1.417,s1_globl.txt
Russia,2013-04,-1.965,s1_globl.txt
Russia,2013-05,1.478,s1_globl.txt
Russia,2013-06,-2.643,s1_globl.txt
Russia,2013-07,1.413,s1_globl.txt
Russia,2013-08,2.692,s1_globl.txt
Russia,2013-09,-0.482,s1_globl.txt
Russia,2013-10,-0.262,s1_globl.txt
Russia,2013-11,-0.06,s1_globl.txt
Russia,2013-12,0.476,s1_globl.txt
Russia,2014-01,0.708,s1_globl.txt
Russia,2014-02,-0.216,s1_globl.txt
Russia,2014-03,-0.141,s1_globl.txt
Russia,2014-04,-0.851,s1_globl.txt
Russia,2014-05,-2.596,s1_globl.txt
Russia,2014-06,2.481,s1_globl.txt
Russia,2014-07,-1.09,s1_globl.txt
Russia,2014-08,-0.115,s1_globl.txt
Russia,2014-09,-0.519,s1_globl.txt
Russia,2014-10,-1.011,s1_globl.txt
Russia,2014-11,-1.745,s1_globl.txt
Russia,2014-12,-8.442,s1_globl.txt
Russia,2015-01,-1.8,s1_globl.txt
Russia,2015-02,-3.579,s1_globl.txt
Russia,2015-03,-0.643,s1_globl.txt
Russia,2015-04,-2.18,s1_globl.txt
Russia,2015-05,0.882,s1_globl.txt
Russia,2015-06,-1.106,s1_globl.txt
Russia,2015-07,1.483,s1_globl.txt
Russia,2015-08,1.387,s1_globl.txt
Russia,2015-09,-1.053,s1_globl.txt
Russia,2015-10,-6.111,s1_globl.txt
Russia,2015-11,0.164,s1_globl.txt
Russia,2015-12,-0.591,s1_globl.txt
Russia,2016-01,-0.696,s1_globl.txt
Russia,2016-02,-4.253,s1_globl.txt
Russia,2016-03,-1.317,s1_globl.txt
Russia,2016-04,-2.19,s1_globl.txt
Russia,2016-05,0.493,s1_globl.txt
Russia,2016-06,-0.219,s1_globl.txt
Russia,2016-07,-4.989,s1_globl.txt
Russia,2016-08,-2.656,s1_globl.txt
Russia,2016-09,-9.803,s1_globl.txt
Russia,2016-10,-2.74,s1_globl.txt
Russia,2016-11,-1.343,s1_globl.txt
Russia,2016-12,-0.852,s1_globl.txt
Russia,2017-01,-1.605,s1_globl.txt
Russia,2017-02,-0.643,s1_globl.txt
Russia,2017-03,1.77,s1_globl.txt
Russia,2017-04,-0.964,s1_globl.txt
Russia,2017-05,-0.118,s1_globl.txt
Russia,2017-06,-4.688,s1_globl.txt
Russia,2017-07,-0.902,s1_globl.txt
Russia,2017-08,-0.027,s1_globl.txt
Russia,2017-09,-5.41,s1_globl.txt
Russia,2017-10,2.668,s1_globl.txt
Russia,2017-11,-1.546,s1_globl.txt
Russia,2017-12,-8.887,s1_globl.txt
Russia,2018-01,0.099,s1_globl.txt
Russia,2018-02,-1.582,s1_globl.txt
Russia,2018-03,-0.831,s1_globl.txt
Russia,2018-04,-20.472,s1_globl.txt
Russia,2018-05,-14.155,s1_globl.txt
Russia,2018-06,0.001,s1_globl.txt
Russia,2018-07,0.002,s1_globl.txt
Russia,2018-08,-2.333,s1_globl.txt
Russia,2018-09,0.001,s1_globl.txt
Russia,2018-10,0.357,s1_globl.txt
Russia,2018-11,0.195,s1_globl.txt
Russia,2018-12,1.384,s1_globl.txt
Russia,2019-01,0.638,s1_globl.txt
Russia,2019-02,0.502,s1_globl.txt
Russia,2019-03,1.744,s1_globl.txt
Russia,2019-04,-3.167,s1_globl.txt
Russia,2019-05,-0.696,s1_globl.txt
Russia,2019-06,0.0,s1_globl.txt
Russia,2019-07,-1.01,s1_globl.txt
Russia,2019-08,-0.499,s1_globl.txt
Russia,2019-09,0.0,s1_globl.txt
Russia,2019-10,-0.498,s1_globl.txt
Russia,2019-11,0.401,s1_globl.txt
Russia,2019-12,0.128,s1_globl.txt
Russia,2020-01,-0.293,s1_globl.txt
Russia,2020-02,-0.125,s1_globl.txt
Russia,2020-03,-0.217,s1_globl.txt
Russia,2020-04,0.001,s1_globl.txt
Russia,2020-05,0.0,s1_globl.txt
Russia,2020-06,0.0,s1_globl.txt
Russia,2020-07,0.0,s1_globl.txt
Russia,2020-08,0.0,s1_globl.txt
Russia,2020-09,-0.542,s1_globl.txt
Russia,2020-10,0.003,s1_globl.txt
Russia,2020-11,-0.91,s1_globl.txt
Russia,2020-12,0.0,s1_globl.txt
Russia,2021-01,0.003,s1_globl.txt
Russia,2021-02,-0.905,s1_globl.txt
Russia,2021-03,0.001,s1_globl.txt
Russia,2021-04,0.0,s1_globl.txt
