country,date,ust_busd,source_file
Russia,2007-01,8.5,mfhhis01.csv
Russia,2007-02,8.1,mfhhis01.csv
Russia,2007-03,7.4,mfhhis01.csv
Russia,2007-04,7.7,mfhhis01.csv
Russia,2007-05,11.8,mfhhis01.csv
Russia,2007-06,14.7,mfhhis01.csv
Russia,2007-07,35.9,mfhhis01.csv
Russia,2007-08,31.9,mfhhis01.csv
Russia,2007-09,31.8,mfhhis01.csv
Russia,2007-10,33.6,mfhhis01.csv
Russia,2007-11,33.5,mfhhis01.csv
Russia,2007-12,32.7,mfhhis01.csv
Russia,2008-01,35.2,mfhhis01.csv
Russia,2008-02,38.4,mfhhis01.csv
Russia,2008-03,42.4,mfhhis01.csv
Russia,2008-04,60.2,mfhhis01.csv
Russia,2008-05,63.7,mfhhis01.csv
Russia,2008-06,65.3,mfhhis01.csv
Russia,2008-07,104.0,mfhhis01.csv
Russia,2008-08,104.2,mfhhis01.csv
Russia,2008-09,99.6,mfhhis01.csv
Russia,2008-10,110.8,mfhhis01.csv
Russia,2008-11,108.0,mfhhis01.csv
Russia,2008-12,116.4,mfhhis01.csv
Russia,2009-01,119.6,mfhhis01.csv
Russia,2009-02,130.1,mfhhis01.csv
Russia,2009-03,138.4,mfhhis01.csv
Russia,2009-04,137.0,mfhhis01.csv
Russia,2009-05,124.5,mfhhis01.csv
Russia,2009-06,119.9,mfhhis01.csv
Russia,2009-07,141.3,mfhhis01.csv
Russia,2009-08,144.9,mfhhis01.csv
Russia,2009-09,145.1,mfhhis01.csv
Russia,2009-10,145.9,mfhhis01.csv
Russia,2009-11,151.4,mfhhis01.csv
Russia,2009-12,141.8,mfhhis01.csv
Russia,2010-01,124.2,mfhhis01.csv
Russia,2010-02,120.2,mfhhis01.csv
Russia,2010-03,120.1,mfhhis01.csv
Russia,2010-04,113.1,mfhhis01.csv
Russia,2010-05,126.8,mfhhis01.csv
Russia,2010-06,123.4,mfhhis01.csv
Russia,2010-07,175.7,mfhhis01.csv
Russia,2010-08,173.7,mfhhis01.csv
Russia,2010-09,173.3,mfhhis01.csv
Russia,2010-10,176.3,mfhhis01.csv
Russia,2010-11,167.3,mfhhis01.csv
Russia,2010-12,151.0,mfhhis01.csv
Russia,2011-01,139.3,mfhhis01.csv
Russia,2011-02,130.5,mfhhis01.csv
Russia,2011-03,127.8,mfhhis01.csv
