quarter,usd_share_pct_allocated,allocated_total_usd_bn,source
2014-Q1,61.3171,11852.939,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2014-Q2,61.3453,12004.774,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2014-Q3,62.3857,11769.676,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2014-Q4,62.6819,11601.054,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2015-Q1,63.5494,11438.732,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2015-Q2,63.472,11459.668,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2015-Q3,64.2371,11182.913,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2015-Q4,64.154,10924.201,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2016-Q1,63.9292,10924.505,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2016-Q2,64.0053,10963.894,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2016-Q3,63.7929,10990.999,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2016-Q4,64.68,10717.348,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2017-Q1,64.2195,10899.688,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2017-Q2,63.5143,11117.111,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2017-Q3,63.3105,11292.13,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2017-Q4,62.7073,11442.684,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2018-Q1,62.8976,11603.763,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2018-Q2,62.6152,11461.771,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2018-Q3,62.349,11398.12,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2018-Q4,62.065,11422.259,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q1,62.2066,11602.088,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q2,61.7317,11729.931,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q3,62.0501,11644.414,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2019-Q4,61.3203,11815.395,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2020-Q1,62.3212,11687.657,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
2020-Q2,61.8753,12017.506,"IMF COFER, api.imf.org SDMX 2.1 dataset IMF.STA/COFER, World (G001), AFXRA; OBS_VALUE in USD, converted /1e9 to bn; post-2025Q3 methodology (unallocated eliminated, imputed back to 2000Q1 per IMF TNM/2025/14); fetched 2026-07-01"
