component,country,year,value_usd_bn,holder_sector,bias_direction,lower_bound_eligible,source
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2015,319.136,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2016,362.453,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2017,349.808,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2018,427.556,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2019,458.02,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2020,577.558,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2021,632.201,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2022,521.172,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2023,502.752,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2024,507.588,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_ALLINSTR,China,2025,638.801,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.A.USD.A.5J.A.5A.A.CN.N (USD cross-border liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_LOANSDEP,China,2015,305.244,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.G.USD.A.5J.A.5A.A.CN.N (USD cross-border loan-and-deposit liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_loansdep_USD_CN_A.csv, fetched 2026-07-02"
BIS_LBS_USD_XB_LIABILITIES_LOANSDEP,China,2016,347.061,TOTAL_RESIDENT,OVERSTATES_OFFICIAL,false,"BIS LBS WS_LBS_D_PUB series Q.S.L.G.USD.A.5J.A.5A.A.CN.N (USD cross-border loan-and-deposit liabilities of all reporting banks to all sectors resident in China, Q4, USD mn scaled to bn), https://stats.bis.org/api/v2/data/dataflow/BIS/WS_LBS_D_PUB/1.0/ raw bis_lbs_L_loansdep_USD_CN_A.csv, fetched 2026-07-02"
