FREQ,L_MEASURE,L_POSITION,L_INSTR,L_DENOM,L_CURR_TYPE,L_PARENT_CTY,L_REP_BANK_TYPE,L_REP_CTY,L_CP_SECTOR,L_CP_COUNTRY,L_POS_TYPE,DECIMALS,UNIT_MEASURE,UNIT_MULT,AVAILABILITY,TITLE_GRP,TIME_FORMAT,COLLECTION,ORG_VISIBILITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q1,208123.405,B,F,208197.491
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q2,292752.596,B,F,292687.729
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q3,290380.602,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q4,288844.998,B,F,289775.902
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q1,332774.439,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q2,319456.173,B,F,319509.173
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q3,350820.915,B,F,350820.916
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q4,319135.979,B,F,318529.631
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q1,339375.156,B,F,339744.213
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q2,335554.84,B,F,335482.840
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q3,349432.22,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q4,362452.771,B,F,362126.938
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q1,395133.956,B,F,395333.034
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q2,383749.53,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q3,371816.394,B,F,372038.257
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q4,349808.233,B,F,357956.880
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q1,395827.201,B,F,391430.244
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q2,377391.496,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q3,398679.511,B,F,398675.130
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q4,427556.299,B,F,427504.298
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q1,433975.117,B,F,433974.723
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q2,447064.092,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q3,439723.918,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q4,458019.817,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q1,447415.641,B,F,447471.641
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q2,490785.942,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q3,515509.027,B,F,515146.386
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q4,577557.883,B,F,577557.884
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q1,605105.773,B,F,604675.117
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q2,662160.928,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q3,647877.211,B,F,647877.210
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q4,632200.638,B,F,632175.860
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q1,640934.781,B,F,641184.930
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q2,572974.419,B,F,572974.536
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q3,548704.984,B,F,549001.577
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q4,521172.354,B,F,520131.113
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2023-Q1,497182.026,B,F,497019.205
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2023-Q2,457359.199,B,F,457359.674
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2023-Q3,486694.874,B,F,486694.865
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2023-Q4,502752.201,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2024-Q1,445870.1,B,F,445869.583
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2024-Q2,472186.539,B,F,472811.837
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2024-Q3,515982.357,B,F,515923.658
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2024-Q4,507588.224,B,F,493407.717
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2025-Q1,562363.794,B,F,562459.587
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2025-Q2,605169.859,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2025-Q3,579108.92,A,F,
Q,S,L,A,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2025-Q4,638800.97,A,F,
