FREQ,L_MEASURE,L_POSITION,L_INSTR,L_DENOM,L_CURR_TYPE,L_PARENT_CTY,L_REP_BANK_TYPE,L_REP_CTY,L_CP_SECTOR,L_CP_COUNTRY,L_POS_TYPE,DECIMALS,UNIT_MEASURE,UNIT_MULT,AVAILABILITY,TITLE_GRP,TIME_FORMAT,COLLECTION,ORG_VISIBILITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2014-Q1,139696.506,B,F,139651.914
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2014-Q2,219769.384,B,F,219704.670
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2014-Q3,209302.952,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2014-Q4,207189.858,B,F,207007.492
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2015-Q1,245697.859,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2015-Q2,229312.784,B,F,229129.784
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2015-Q3,248104.817,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2015-Q4,207910.167,B,F,207395.147
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2016-Q1,214888.678,B,F,215333.837
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2016-Q2,203915.173,B,F,203840.173
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2016-Q3,217392.176,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2016-Q4,221507.93,B,F,222094.191
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2017-Q1,255530.291,B,F,255730.553
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2017-Q2,245382.546,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2017-Q3,235214.761,B,F,235436.523
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2017-Q4,212967.597,B,F,221508.882
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2018-Q1,261711.718,B,F,258096.718
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2018-Q2,242953.799,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2018-Q3,260742.181,B,F,260739.316
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2018-Q4,284960.344,B,F,284931.875
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2019-Q1,293615.018,B,F,293614.921
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2019-Q2,301946.438,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2019-Q3,292927.666,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2019-Q4,303171.168,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2020-Q1,297119.231,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2020-Q2,332413.747,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2020-Q3,351297.024,B,F,350935.674
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2020-Q4,388503.477,B,F,388503.478
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2021-Q1,430722.219,B,F,430240.893
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2021-Q2,474538.114,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2021-Q3,462411.043,B,F,462411.042
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2021-Q4,437426.098,B,F,437386.509
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2022-Q1,443486.118,B,F,443701.590
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2022-Q2,386308.33,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2022-Q3,353148.413,B,F,353475.678
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2022-Q4,325086.91,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2023-Q1,310820.78,B,F,310638.695
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2023-Q2,271703.151,A,F,
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2023-Q3,281958.693,B,F,281958.684
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2023-Q4,292464.247,B,F,285447.468
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2024-Q1,236813.516,B,F,236813.183
Q,S,L,A,USD,A,5J,A,5A,B,CN,N,3,USD,6,K,,,E,E,2024-Q2,247956.147,B,F,248527.669
