FREQ,L_MEASURE,L_POSITION,L_INSTR,L_DENOM,L_CURR_TYPE,L_PARENT_CTY,L_REP_BANK_TYPE,L_REP_CTY,L_CP_SECTOR,L_CP_COUNTRY,L_POS_TYPE,DECIMALS,UNIT_MEASURE,UNIT_MULT,AVAILABILITY,TITLE_GRP,TIME_FORMAT,COLLECTION,ORG_VISIBILITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2014-Q1,41.32,B,F,38.320
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2014-Q2,154.653,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2014-Q3,70.565,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2014-Q4,755.289,B,F,754.278
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2015-Q1,83.016,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2015-Q2,2092.497,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2015-Q3,1362.965,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2015-Q4,59.403,B,F,47.800
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2016-Q1,1773.829,B,F,1767.400
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2016-Q2,3421.175,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2016-Q3,282.453,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2016-Q4,2765.741,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2017-Q1,741.64,B,F,741.550
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2017-Q2,409.662,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2017-Q3,146.384,B,F,143.172
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2017-Q4,456.583,B,F,156.922
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2018-Q1,123.558,B,F,123.393
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2018-Q2,218.645,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2018-Q3,831.982,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2018-Q4,184.049,B,F,183.913
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2019-Q1,515.518,B,F,515.411
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2019-Q2,97.67,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2019-Q3,139.897,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2019-Q4,4060.105,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2020-Q1,2561.911,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2020-Q2,2107.414,A,F,
Q,S,L,A,USD,A,5J,A,5A,G,CN,N,3,USD,6,K,,,E,E,2020-Q3,3737.489,B,F,3737.457
