FREQ,L_MEASURE,L_POSITION,L_INSTR,L_DENOM,L_CURR_TYPE,L_PARENT_CTY,L_REP_BANK_TYPE,L_REP_CTY,L_CP_SECTOR,L_CP_COUNTRY,L_POS_TYPE,DECIMALS,UNIT_MEASURE,UNIT_MULT,AVAILABILITY,TITLE_GRP,TIME_FORMAT,COLLECTION,ORG_VISIBILITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2014-Q1,68394.281,B,F,68520.512
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2014-Q2,72950.503,B,F,72950.350
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2014-Q3,81023.602,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2014-Q4,81188.962,B,F,82733.098
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2015-Q1,85951.897,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2015-Q2,89205.581,B,F,89442.581
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2015-Q3,101226.496,B,F,101226.497
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2015-Q4,109731.879,B,F,109645.181
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2016-Q1,121877.77,B,F,121801.668
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2016-Q2,130417.202,B,F,130420.202
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2016-Q3,131209.662,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2016-Q4,139822.645,B,F,139803.938
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2017-Q1,138470.474,B,F,138469.887
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2017-Q2,136831.64,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2017-Q3,135335.486,B,F,135335.587
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2017-Q4,135731.242,B,F,135338.602
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2018-Q1,132278.161,B,F,132222.204
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2018-Q2,132748.889,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2018-Q3,136464.708,B,F,136463.191
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2018-Q4,140651.536,B,F,140651.433
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2019-Q1,138533.14,B,F,138532.153
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2019-Q2,142913.675,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2019-Q3,144536.781,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2019-Q4,151701.252,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2020-Q1,147725.149,B,F,147781.149
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2020-Q2,155828.399,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2020-Q3,161404.249,B,F,161402.958
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2020-Q4,186140.049,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2021-Q1,171209.826,B,F,171255.497
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2021-Q2,181894.047,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2021-Q3,182429.6,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2021-Q4,189625.576,B,F,189625.621
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2022-Q1,186348.725,B,F,186383.401
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2022-Q2,177230.913,B,F,177231.030
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2022-Q3,182436.616,B,F,182429.769
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2022-Q4,188904.951,B,F,187863.710
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2023-Q1,182693.378,B,F,182712.642
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2023-Q2,180919.244,B,F,180919.719
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2023-Q3,195793.995,A,F,
Q,S,L,A,USD,A,5J,A,5A,N,CN,N,3,USD,6,K,,,E,E,2023-Q4,206553.001,A,F,
