FREQ,L_MEASURE,L_POSITION,L_INSTR,L_DENOM,L_CURR_TYPE,L_PARENT_CTY,L_REP_BANK_TYPE,L_REP_CTY,L_CP_SECTOR,L_CP_COUNTRY,L_POS_TYPE,DECIMALS,UNIT_MEASURE,UNIT_MULT,AVAILABILITY,TITLE_GRP,TIME_FORMAT,COLLECTION,ORG_VISIBILITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q1,200866.636,B,F,200940.723
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q2,282948.291,B,F,282883.424
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q3,279353.036,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2014-Q4,273175.263,B,F,274568.679
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q1,318395.877,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q2,304210.931,B,F,304263.931
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q3,334782.298,B,F,334782.299
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2015-Q4,305244.0,B,F,304644.280
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q1,322890.932,B,F,323256.718
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q2,319456.044,B,F,319384.044
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q3,333030.758,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2016-Q4,347060.811,B,F,347696.408
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q1,380919.305,B,F,380913.983
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q2,368873.835,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q3,357683.048,B,F,357684.915
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2017-Q4,335182.824,B,F,343127.973
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q1,378698.092,B,F,375131.135
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q2,360178.858,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q3,381304.423,B,F,381296.833
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2018-Q4,410122.336,B,F,410099.233
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q1,416878.487,B,F,416877.500
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q2,426280.702,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q3,419319.853,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2019-Q4,440246.558,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q1,426053.742,B,F,426109.742
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q2,471507.606,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q3,495793.276,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2020-Q4,562463.614,B,F,556062.631
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q1,588069.88,B,F,587634.222
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q2,645488.395,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q3,631086.702,A,F,
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2021-Q4,614341.409,B,F,614510.463
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q1,622517.237,B,F,622738.340
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q2,555360.12,B,F,555360.237
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q3,528278.001,B,F,528607.713
Q,S,L,G,USD,A,5J,A,5A,A,CN,N,3,USD,6,K,,,E,E,2022-Q4,501312.24,B,F,500270.999
