"Table A7.  Foreign holdings of U.S. securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2008,2009,2010,2011,2012,2013,2014,2015
"Afghanistan","*","*",1,1,1,1,1,1
"Albania","*","*","*","*","*",1,1,"*"
"Algeria",1,1,1,1,1,1,1,1
"Andorra",1,1,1,2,1,2,2,2
"Angola",1,"*",1,2,1,1,1,1
"Anguilla",4,8,11,17,16,23,17,20
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",9,10,9,9,8,8,8,7
"Armenia","*","*","*","*","*","*","*","*"
"Aruba",1,1,1,1,1,2,1,1
"Australia",137,105,118,161,161,215,238,242
"Austria",20,10,9,12,13,13,16,18
"Azerbaijan",3,5,3,5,7,5,8,8
"Bahamas",30,29,29,33,29,29,33,37
"Bahrain",9,3,7,6,3,3,3,3
"Bangladesh","*",2,2,2,1,1,1,1
"Barbados",22,15,19,12,14,13,13,16
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",456,415,408,443,447,490,713,602
"Belize","*","*","*","*","*","*",1,1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",210,199,249,272,300,325,301,287
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia",2,3,2,1,1,1,3,3
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",3,3,3,3,3,2,2,2
"Brazil",162,156,169,221,252,261,263,268
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",107,83,85,107,131,139,176,173
"Brunei",2,2,2,3,4,3,4,3
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*","*","*","*","*","*","*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*","*","*","*"
"Cambodia",1,1,1,1,1,1,"*",2
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",441,337,424,559,635,814,988,992
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",832,650,743,889,1031,1168,1409,1506
"Central African Republic","*","*","*","*","*","*","*","*"
"Chad","*","*","*","*","*","*","*","*"
"Chile",29,28,28,43,48,55,60,64
"China, mainland (2)",1205,1464,1611,1727,1592,1735,1817,1844
"Colombia",19,20,25,32,36,42,48,59
"Comoros","*","*","*","*","*","*",1,1
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*","*","*"
"Costa Rica",3,2,2,2,2,3,3,4
"Cote d`Ivoire (Ivory Coast)","*","*","*","*","*","*","*","*"
"Croatia",1,1,2,2,2,2,2,2
"Cuba","*","*","*","*","*","*","*","*"
"Curacao (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",4,4
"Cyprus",1,"*","*","*","*",1,1,1
"Czech Republic",5,6,7,7,8,8,8,8
"Denmark",46,38,49,63,76,88,98,105
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic",2,2,1,1,1,1,1,2
"East Timor",3,5,6,8,10,12,13,12
"Ecuador",1,2,2,2,1,1,1,1
"Egypt",16,13,27,13,4,2,6,5
"El Salvador",2,2,2,2,1,1,1,1
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*","*","*","*","*","*","*",1
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",13,11,14,19,19,22,29,32
"France",222,139,194,249,225,214,269,274
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia","*","*","*",1,1,1,1,1
"Germany",247,182,195,238,227,265,319,344
"Ghana","*","*","*","*",1,1,1,1
"Gibraltar",1,"*",1,1,"*",1,1,1
"Greece",2,2,2,5,9,9,10,9
"Greenland","*","*","*","*","*","*","*","*"
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe (1)","*","*","*","*","*","*","*","*"
"Guatemala",4,4,4,4,4,4,3,3
"Guernsey",11,18,22,22,30,29,38,40
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau","*","*","*","*","*","*","*",0
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",1,"*",1,1,1,2,1,1
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,1,1,1,1,1,1
"Hong Kong",147,222,293,292,223,215,263,298
"Hungary",2,2,1,3,3,3,2,2
"Iceland",1,1,1,1,1,2,2,2
"India",26,57,41,45,55,62,75,119
"Indonesia",12,25,33,47,36,26,28,25
"Iran","*","*","*","*","*","*","*","*"
"Iraq",44,13,22,32,49,45,26,30
"Ireland",400,348,356,405,453,575,729,831
"Isle of Man",1,5,4,3,2,2,2,2
"Israel",26,30,37,47,53,61,67,69
"Italy",35,35,41,42,52,63,70,67
"Jamaica",1,1,1,"*","*",1,1,1
"Japan",1250,1269,1393,1585,1835,1766,1917,1903
"Jersey",38,34,29,34,28,25,27,27
"Jordan",1,4,2,2,1,1,1,1
"Kazakhstan",18,18,23,24,33,31,43,39
"Kenya","*","*","*","*","*",1,1,1
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",131,113,122,133,148,155,180,209
"Kuwait",74,73,80,98,122,156,187,191
"Kosovo (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia",1,1,1,1,1,1,1,2
"Lebanon","*","*",1,1,3,1,1,"*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia",2,2,2,2,1,1,1,1
"Libya","*",1,2,4,4,5,1,"*"
"Liechtenstein",5,2,2,3,2,3,4,3
"Lithuania","*","*","*","*","*","*","*","*"
"Luxembourg",656,578,622,817,837,990,1198,1297
"Macau",3,1,1,1,1,1,2,3
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*","*","*","*"
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",35,32,31,41,46,43,36,33
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta",1,"*",1,1,2,2,2,2
"Marshall Islands","*","*","*","*","*",1,1,1
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",4,"*","*",1,2,2,3,8
"Mayotte","*","*","*","*","*","*","*","*"
"Mexico",133,81,84,97,122,131,144,157
"Moldova","*","*","*","*","*","*",1,"*"
"Monaco",2,1,1,2,2,2,3,2
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco",1,1,1,1,1,1,1,2
"Mozambique","*","*","*","*","*",1,1,"*"
"Namibia",1,"*","*","*","*","*","*",1
"Nauru","*","*","*","*","*","*","*","*"
"Nepal",1,1,"*","*","*","*","*",1
"Netherlands",312,233,247,260,251,270,303,318
"Netherlands Antilles (1)",8,7,14,11,7,6,"n.a.","n.a."
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",10,11,12,13,15,15,19,20
"Nicaragua","*","*","*",1,1,"*","*",1
"Niger","*","*","*","*","*","*","*","*"
"Nigeria",4,4,4,4,4,4,4,3
"Niue","*","*","*","*","*","*","*","*"
"Norway",127,119,136,181,213,254,297,309
"Oman",18,26,25,28,21,26,28,29
"Pakistan",2,1,2,2,2,2,1,2
"Palau","*","*","*","*","*","*","*","*"
"Panama",17,16,13,14,15,15,16,17
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",13,15,12,17,21,31,26,29
"Philippines",15,13,21,30,37,39,37,42
"Pitcairn Island","*","*","*","*","*","*","*","*"
"Poland",22,24,28,33,32,35,33,32
"Portugal",5,5,5,6,5,6,7,6
"Qatar",2,7,6,7,4,8,7,7
"Reunion","*","*","*","*","*","*","*","*"
"Romania",1,6,6,8,6,6,7,2
"Russia",223,150,170,154,165,139,115,73
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Helena","*","*","*",0,"*",0,0,0
"Saint Kitts and Nevis",1,1,1,1,2,2,2,2
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Saint Pierre and Miquelon","*","*","*","*","*","*","*",0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe","*","*",0,"*",0,"*","*",0
"Saudi Arabia",143,145,125,138,154,170,194,184
"Senegal","*","*","*","*","*","*","*","*"
"Serbia and Montenegro (1)",2,2,2,2,2,2,2,2
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",160,145,176,212,241,272,307,331
"Sint Maarten (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Slovakia",1,"*","*","*","*","*","*","*"
"Slovenia",1,1,1,1,1,1,2,2
"Solomon Islands","*","*","*",0,0,"*","*","*"
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",10,11,17,14,17,18,24,21
"South Sudan","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Spain",27,23,26,28,38,34,37,48
"Sri Lanka","*","*",1,1,1,1,1,"*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",88,66,81,108,112,135,157,169
"Switzerland",314,328,397,488,566,581,634,708
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",150,194,228,232,369,372,397,454
"Tajikistan","*","*","*","*","*","*","*","*"
