"Table A1. Foreign Holdings of U.S. Securities, by Country and Security Type, as"
"of June 28, 2019"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Afghanistan",1612,9,1603,1602,0,1,"*"
"Albania",463,3,460,460,0,0,0
"Algeria",705,26,2,1,0,1,677
"Andorra",1610,754,766,159,0,607,90
"Angola",2561,504,2057,1945,0,111,0
"Anguilla",5747,4942,345,4,2,339,460
"Antigua and Barbuda",239,170,59,21,4,35,10
"Argentina",18671,6171,6799,4905,18,1876,5701
"Armenia",783,23,670,670,0,1,89
"Aruba",1178,419,726,89,157,481,33
"Australia",344334,262316,73593,33422,4000,36171,8426
"Austria",27518,19510,6876,3315,428,3134,1131
"Azerbaijan",7017,1965,4639,807,0,3832,413
"Bahamas",39079,23296,11338,3770,495,7073,4445
"Bahrain",1804,973,328,183,7,139,502
"Bangladesh",1004,8,1,0,0,1,995
"Barbados",13479,2270,10365,1232,1006,8127,845
"Belarus",164,18,145,145,0,0,0
"Belgium",780170,57732,695292,174593,5581,515118,27147
"Belize",1275,775,369,79,6,285,130
"Benin",1,1,"*",0,0,"*",0
"Bermuda",349418,110559,212750,49163,29365,134223,26108
"Bhutan",100,50,50,50,0,0,0
"Bolivia",2951,539,760,378,3,379,1652
"Bonaire, Sint Eustatius & Saba (1)",100,42,27,8,"*",19,31
"Bosnia and Herzegovina",2,2,"*",0,0,"*",0
"Botswana",1629,350,1276,820,44,412,3
"Brazil",322101,5487,313145,308911,3073,1161,3469
"British Indian Ocean Territory","*","*","*",0,0,"*",0
"British Virgin Islands",178368,111816,52177,27353,1520,23304,14375
"Brunei",4367,3182,1179,451,10,718,6
"Bulgaria",289,225,63,38,1,24,1
"Burkina Faso",18,15,0,0,0,0,3
"Burma",148,3,145,145,"*",0,0
"Burundi","*","*",0,0,0,0,0
"Cambodia",2441,34,2403,2228,0,175,4
"Cameroon",1,1,0,0,0,0,0
"Canada",1261512,955893,289251,98855,6100,184297,16368
"Cape Verde",256,236,15,15,0,"*",5
"Cayman Islands",1876792,1084455,693664,134312,34968,524385,98673
"Central African Republic","*","*",0,0,0,0,0
"Chad",1,1,0,0,0,0,0
"Chile",56369,22300,29765,26121,600,3044,4304
"China, mainland (2)",1543397,189307,1350086,1108673,227357,14056,4005
"Colombia",49586,13121,35100,29742,1975,3382,1365
"Comoros",6,6,1,0,0,1,0
"Congo (Brazzaville)",1,1,"*",0,0,"*",0
"Congo (Kinshasa)",67,1,66,0,0,66,0
"Cook Islands",475,435,39,1,0,38,1
"Costa Rica",4310,1934,2080,1343,37,700,296
"Cote d`Ivoire (Ivory Coast)",5,5,0,0,0,0,0
"Croatia",1969,624,1320,1316,0,5,25
"Cuba",2,2,0,0,0,0,0
"Curacao (1)",7360,3871,2288,549,332,1406,1202
"Cyprus",1454,1027,350,141,"*",210,76
"Czech Republic",27433,3951,23478,23418,1,59,4
"Denmark",137960,99952,37407,16626,389,20392,602
"Djibouti",1,1,0,0,0,0,0
"Dominica",77,42,20,1,"*",19,14
"Dominican Republic",3126,484,2523,2144,5,374,120
"East Timor",11494,3595,7899,7899,0,"*",0
"Ecuador",1472,581,588,152,33,403,303
"Egypt",20088,453,2081,2061,"*",20,17554
"El Salvador",1941,333,828,649,17,162,780
"Equatorial Guinea",1,1,"*",0,0,"*",0
"Eritrea","*","*",0,0,0,0,0
"Estonia",936,320,565,560,"*",5,51
"Ethiopia",10,10,"*","*",0,"*","*"
"Falkland Islands",26,20,5,4,0,2,0
"Faroe Islands",1,"*","*","*",0,"*",0
"Federated States of Micronesia",158,71,87,34,15,38,"*"
"Fiji",26,6,10,0,10,0,10
"Finland",50712,37967,12501,6398,1,6102,245
"France",373060,176722,177130,113761,3004,60366,19207
"French Guiana",14,12,2,0,0,2,0
"French Polynesia",50,46,2,"*","*",2,2
"Gabon",80,29,51,40,0,10,0
"Gambia",55,33,0,0,0,0,22
"Georgia",6,6,0,0,0,0,0
"Germany",395986,191355,193703,68545,4712,120446,10927
"Ghana",1505,14,1235,1191,0,44,256
"Gibraltar",670,176,465,309,1,155,29
"Greece",6213,2433,2766,2477,6,283,1014
"Greenland","*","*",0,0,0,0,0
"Grenada",125,76,49,"*",3,46,1
"Guadeloupe (1)",16,15,"*",0,0,"*",0
"Guatemala",8720,961,7673,5615,1122,936,87
"Guernsey",56186,42702,11279,5021,149,6110,2205
"Guinea",223,23,"*",0,0,"*",200
"Guyana",121,32,89,9,71,9,1
"Haiti",1784,185,1579,194,476,909,21
"Holy See (Vatican)",39,9,29,12,0,17,0
"Honduras",1721,352,1351,1246,11,94,18
"Hong Kong",396961,109919,256913,189579,12721,54613,30128
"Hungary",5115,1049,3591,1245,2310,36,475
"Iceland",3410,1364,1925,1905,20,"*",120
"India",167853,4474,161141,160557,151,432,2239
"Indonesia",30069,334,27786,21729,4007,2050,1950
"Iran",4,4,0,0,0,0,0
"Iraq",34671,48,16279,16279,0,0,18344
"Ireland",1081499,455841,520276,223890,45828,250557,105383
