                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A3.  Foreign Holdings of U.S. Treasury Securities, by Country and
Type of Treasury Security, as of June 28, 2019
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Afghanistan                                            1602            1602            1602               0               0               *
  Albania                                                 460             460             459               1               0               0
  Algeria                                                 678               1               1               0               0             677
  Andorra                                                 249             159             154               5               0              89
  Angola                                                 1945            1945            1945               0               0               0
  Anguilla                                                465               4               4               *               *             460
  Antigua and Barbuda                                      31              21              21               0               0              10
  Argentina                                             10547            4905            4783             118               3            5642
  Armenia                                                 759             670             633               0              37              89
  Aruba                                                    94              89              89               *               0               5
  Australia                                             39884           33422           27379            4600            1443            6461
  Austria                                                3894            3315            3048             206              61             579
  Azerbaijan                                              906             807             792              16               0              99
  Bahamas                                                7393            3770            3657             111               2            3623
  Bahrain                                                 686             183             155              28               *             502
  Bangladesh                                              995               0               0               0               0             995
  Barbados                                               2000            1232            1229               3               0             768
  Belarus                                                 145             145             145               0               0               0
  Belgium                                              199052          174593          160264           13597             732           24459
  Belize                                                  201              79              76               3               *             123
  Bermuda                                               69792           49163           46333            1537            1292           20629
  Bhutan                                                   50              50              50               0               0               0
  Bolivia                                                 566             378             376               2               0             188
  Bonaire, Sint Eustatius & Saba (1)                       39               8               8               0               0              31
  Botswana                                                823             820             732              44              44               2
  Brazil                                               311815          308911          278559           29652             700            2904
  British Virgin Islands                                40399           27353           24100            3204              49           13045
  Brunei                                                  457             451             294             157               0               6
  Bulgaria                                                 39              38              38               *               0               1
  Burkina Faso                                              3               0               0               0               0               3
  Burma                                                   145             145             145               0               0               0
  Cambodia                                               2232            2228            2208              20               0               4
  Canada                                               111701           98855           80509           15908            2438           12846
  Cape Verde                                               20              15              10               0               5               5
  Cayman Islands                                       224581          134312           90744           36674            6893           90270
  Chile                                                 28918           26121           22548            3281             292            2797
  China, mainland (2)                                 1112503         1108673          890893          217581             198            3830
  Colombia                                              31038           29742           27521            2095             126            1295
  Cook Islands                                              1               1               1               0               0               0
  Costa Rica                                             1608            1343            1339               4               *             265
  Croatia                                                1340            1316            1314               2               0              24
  Curacao (1)                                            1749             549             519              30               1            1199
  Cyprus                                                  216             141             141               0               0              76
  Czech Republic                                        23420           23418           23406              11               *               3
  Denmark                                               17188           16626           15573            1053               0             561
  Dominica                                                 15               1               1               0               0              14
  Dominican Republic                                     2240            2144            2029               1             114              96
  East Timor                                             7899            7899            7899               0               0               0
  Ecuador                                                 421             152             150               2               *             269
  Egypt                                                 19615            2061            2061               0               0           17554
  El Salvador                                            1408             649             648               1               0             759
  Estonia                                                 611             560             397             163               0              51
  Ethiopia                                                  *               *               *               0               0               *
  Falkland Islands                                          4               4               3               1               0               0
  Faroe Islands                                             *               *               *               0               0               0
  Federated States of Micronesia                           34              34              34               0               *               *
  Finland                                                6537            6398            5703             694               0             140
  France                                               130362          113761           90129           22884             747           16601
  French Polynesia                                          2               *               *               0               *               2
  Gabon                                                    40              40              40               0               0               0
  Gambia                                                   22               0               0               0               0              22
  Germany                                               78718           68545           60914            7539              92           10173
  Ghana                                                  1447            1191            1119              66               7             256
  Gibraltar                                               337             309             303               6               0              28
  Greece                                                 3489            2477            2465               8               3            1013
  Grenada                                                   1               *               *               0               0               1
  Guatemala                                              5656            5615            5594              19               1              41
  Guernsey                                               7196            5021            4854             167               *            2176
  Guinea                                                  200               0               0               0               0             200
  Guyana                                                   10               9               9               0               0               1
  Haiti                                                   213             194             193               1               *              19
  Holy See (Vatican)                                       12              12              12               0               0               0
  Honduras                                               1251            1246            1246               *               0               5
  Hong Kong                                            218973          189579          165384            8442           15753           29394
  Hungary                                                1688            1245            1244               2               0             443
  Iceland                                                2025            1905            1905               0               0             120
  India                                                162727          160557          160557               *               0            2169
  Indonesia                                             23530           21729           21714              15               0            1800
  Iraq                                                  34623           16279           16279               0               0           18344
  Ireland                                              258848          223890          192313           19605           11972           34957
  Isle of Man                                            1175             796             790               6               0             379
  Israel                                                39495           37576           36469             577             530            1920
