                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Foreign Holdings of U.S. Equities, by Country and Equity Type,
as of June 28, 2019
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Afghanistan                                               9               2               7               *
  Albania                                                   3               2               1               *
  Algeria                                                  26              24               1               *
  Andorra                                                 754             571             151              32
  Angola                                                  504             476               3              26
  Anguilla                                               4942            4608             318              15
  Antigua and Barbuda                                     170             122              43               5
  Argentina                                              6171            2644            3098             428
  Armenia                                                  23               6               2              15
  Aruba                                                   419             184             228               7
  Australia                                            262316          204287           35604           22425
  Austria                                               19510           17824            1567             120
  Azerbaijan                                             1965            1853              49              63
  Bahamas                                               23296           12570            8585            2141
  Bahrain                                                 973             745             206              23
  Bangladesh                                                8               5               3               *
  Barbados                                               2270             604            1614              53
  Belarus                                                  18              18               *               *
  Belgium                                               57732           44192           13170             370
  Belize                                                  775             277             305             193
  Benin                                                     1               *               1               *
  Bermuda                                              110559           30902           73064            6593
  Bhutan                                                   50               *              50               0
  Bolivia                                                 539             331             195              13
  Bonaire, Sint Eustatius & Saba (1)                       42              18              22               2
  Bosnia and Herzegovina                                    2               1               1               *
  Botswana                                                350             314              29               7
  Brazil                                                 5487            3433            1900             154
  British Indian Ocean Territory                            *               *               *               0
  British Virgin Islands                               111816           54564           47787            9465
  Brunei                                                 3182            1784             988             410
  Bulgaria                                                225             148              76               1
  Burkina Faso                                             15              15               1               0
  Burma                                                     3               *               2               *
  Burundi                                                   *               *               0               0
  Cambodia                                                 34              30               4               *
  Cameroon                                                  1               1               *               0
  Canada                                               955893          739254          167823           48816
  Cape Verde                                              236             236               *               *
  Cayman Islands                                      1084455          589204          253645          241606
  Central African Republic                                  *               0               0               *
  Chad                                                      1               *               *               0
  Chile                                                 22300            3567           17679            1054
  China, mainland (2)                                  189307          128278           12430           48599
  Colombia                                              13121             622           11274            1225
  Comoros                                                   6               1               5               *
  Congo (Brazzaville)                                       1               1               *               0
  Congo (Kinshasa)                                          1               *               1               0
  Cook Islands                                            435             339              94               1
  Costa Rica                                             1934             650            1203              81
  Cote d`Ivoire (Ivory Coast)                               5               3               2               *
  Croatia                                                 624             344             280               *
  Cuba                                                      2               2               *               *
  Curacao (1)                                            3871            1942            1343             586
  Cyprus                                                 1027             554             355             119
  Czech Republic                                         3951            3455             489               7
  Denmark                                               99952           79410           13517            7025
  Djibouti                                                  1               1               *               *
  Dominica                                                 42               7              34               1
  Dominican Republic                                      484             196             247              41
  East Timor                                             3595            3515              78               2
  Ecuador                                                 581             195             354              31
  Egypt                                                   453             331             120               2
  El Salvador                                             333             104             178              51
  Equatorial Guinea                                         1               1               *               0
  Eritrea                                                   *               *               *               0
  Estonia                                                 320              78             239               3
  Ethiopia                                                 10               5               5               *
  Falkland Islands                                         20              20               *               *
  Faroe Islands                                             *               *               *               0
  Federated States of Micronesia                           71              56              14               2
  Fiji                                                      6               2               3               *
  Finland                                               37967           16069           16963            4935
  France                                               176722          160177           13556            2989
  French Guiana                                            12               7               5               *
  French Polynesia                                         46              40               6               *
  Gabon                                                    29               3              26               *
  Gambia                                                   33               6              26               *
  Georgia                                                   6               4               2               *
  Germany                                              191355          166405           10668           14282
  Ghana                                                    14              10               4               *
  Gibraltar                                               176             131              36               9
  Greece                                                 2433            1718             686              28
  Greenland                                                 *               *               0               0
  Grenada                                                  76              48              27               *
  Guadeloupe (1)                                           15              14               1               *
  Guatemala                                               961             748             180              32
  Guernsey                                              42702           21558            7084           14059
  Guinea                                                   23               *              23               *
  Guyana                                                   32               9              21               1
  Haiti                                                   185             116              42              27
  Holy See (Vatican)                                        9               1               4               4
  Honduras                                                352             165             175              12
  Hong Kong                                            109919           73735           27306            8878
  Hungary                                                1049             214             834               1
  Iceland                                                1364             541             668             155
  India                                                  4474            3595             813              66
  Indonesia                                               334             267              61               6
  Iran                                                      4               3               1               0
  Iraq                                                     48               *              48               *
  Ireland                                              455841          421337           27729            6774
  Isle of Man                                            1460             619             601             240
  Israel                                                65410           35143           24929            5338
  Italy                                                 35153           32656            2053             444
  Jamaica                                                 254             126             121               7
  Japan                                                595729          497741           86150           11839
  Jersey                                                17569            9941            3954            3674
  Jordan                                                   75              54              20               2
  Kazakhstan                                               29              18              10               1
  Kenya                                                    44              18              26               *
  Kiribati                                                439               *             361              78
  Korea, South                                         153359          111541           25683           16135
  Kosovo (1)                                                2               1               *               *
  Kuwait                                               197380          178997            8788            9594
  Kyrgyzstan                                                *               *               *               *
  Laos                                                      1               *               1               0
  Latvia                                                  155             126              28               *
  Lebanon                                                 247             152              51              44
  Liberia                                                 553             170             347              36
  Libya                                                    37               1               *              36
  Liechtenstein                                          1295             449             516             330
  Lithuania                                                23              18               4               *
  Luxembourg                                           662678          610253           36515           15910
  Macau                                                  1504            1119             382               3
  Macedonia                                                 1               1               *               *
  Madagascar                                               11               *              11               0
  Malawi                                                    5               3               2               *
  Malaysia                                              14306           13217             399             690
  Maldives                                                  1               1               0               0
  Mali                                                      *               *               *               0
  Malta                                                  1079             672             355              52
  Marshall Islands                                        793             291             441              61
  Martinique                                                1               *               1               *
  Mauritania                                                *               *               *               0
  Mauritius                                               515             361             146               8
  Mexico                                                24482            7321           15674            1487
  Moldova                                                   9               8               1               0
  Monaco                                                 1334             455             817              62
