,SHL_STSEC_DEBT_99996,SHL_STSEC_TREAS_99996,SHL_STSEC_AGCY_99996,SHL_STSEC_CORP_99996,SHL_STSEC_CORP_CP_99996,SHL_STSEC_CORP_ABCP_99996,SHL_F_STSEC_DEBT_99996,SHL_F_STSEC_TREAS_99996,SHL_F_STSEC_AGCY_99996,SHL_F_STSEC_CORP_99996,SHL_F_STSEC_CORP_CP_99996,SHL_F_STSEC_CORP_ABCP_99996
2007-06-30,635348.00,229099.00,109031.00,297218.00,205547.00,115577.16,255748.39,159388.97,79775.25,16584.17,11540.76,NA
2008-06-30,858429.00,378545.00,173629.00,306255.00,168983.00,84826.38,373416.95,225525.40,129960.83,17930.72,6789.91,3628.03
2009-06-30,1148804.45,862053.18,89753.60,196997.67,96940.00,42292.33,614301.93,571583.14,33517.24,9201.55,4435.46,1503.86
2010-06-30,955750.36,742623.98,61019.68,152106.70,86417.00,33470.18,484029.83,454474.64,23609.67,5945.51,2355.56,747.01
2011-06-30,878380.38,658447.41,42509.06,177423.92,99167.00,32624.14,438169.84,414367.96,16045.11,7756.78,2426.83,697.75
2012-06-30,810726.43,637101.31,29012.93,144612.19,87144.00,34202.62,376680.73,366131.65,4987.97,5561.10,2589.11,896.05
2013-06-30,877997.08,679125.90,25474.07,173397.11,95640.00,31153.71,380632.29,362591.76,3036.30,15004.23,5227.94,2161.16
2014-06-30,878019.08,633080.08,42006.11,202932.89,101679.00,33624.20,371576.40,340902.29,7702.41,22971.69,8141.35,2740.28
2015-06-30,932067.69,697107.36,49147.39,185812.94,93704.11,35273.02,402766.62,366627.25,12249.08,23890.32,9031.67,3951.55
2016-06-30,909206.75,682600.44,31642.49,194963.82,96312.13,23783.41,303367.64,272255.65,6375.73,24736.27,7983.34,2518.40
2017-06-30,930445.77,677731.02,16764.53,235950.22,106123.55,35581.66,363003.92,329244.22,427.03,33332.62,11125.31,4520.18
2018-06-30,979571.11,733846.04,19737.69,225987.38,97066.31,31584.05,366402.60,333427.37,430.52,32544.72,12058.56,4522.17
2019-06-30,923263.68,709016.81,13942.47,200304.40,102774.36,0.00,318285.99,285885.47,592.40,31808.12,14368.85,0.00
