                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A8.  Foreign Holdings of U.S. Equities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2012            2013            2014            2015            2016            2017            2018            2019
  Afghanistan                                          *               *               *               *               *               *               *               *
  Albania                                              *               *               *               *               *               *               *               *
  Algeria                                              *               *               *               *               *               *               *               *
  Andorra                                              1               1               1               1               1               1               1               1
  Angola                                               1               1               *               *               *               1               *               1
  Anguilla                                            15              21              17              19              16              15               2               5
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            5               5               5               5               4               5               5               6
  Armenia                                              *               *               *               *               *               *               *               *
  Aruba                                                *               *               *               *               *               1               *               *
  Australia                                          112             149             170             176             171             193             223             262
  Austria                                              7               7               9               8               9              11              14              20
  Azerbaijan                                           *               *               *               1               1               1               2               2
  Bahamas                                             18              19              22              21              17              21              20              23
  Bahrain                                              1               1               1               1               1               1               1               1
  Bangladesh                                           *               *               *               *               *               *               *               *
  Barbados                                             1               1               1               2               2               1               2               2
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                             22              29              34              34              31              38              54              58
  Belize                                               *               *               1               1               *               *               1               1
  Benin                                                *               *               *               *               *               *               *               *
  Bermuda                                             68              74              93              89              86              95             102             111
  Bhutan                                               *               *               *               *               *               *               *               *
  Bolivia                                              *               *               *               *               *               *               *               1
  Bonaire, Sint Eustatius & Saba (1)                n.a.            n.a.               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             1               1               1               1               *               1               1               *
  Brazil                                               4               4               7               8               5               5               6               5
  British Indian Ocean Territory                       *               *               *               *               *               *               *               *
  British Virgin Islands                              84             101             128             119             105             112             114             112
  Brunei                                               2               2               4               2               2               4               5               3
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         *               *               *               *               *               *               *               *
  Burma                                                *               *               *               *               *               *               *               *
