"Table A9.  Foreign Holdings of U.S. Long-Term Debt Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2012,2013,2014,2015,2016,2017,2018,2019
"Afghanistan",1,1,1,1,1,1,2,2
"Albania","*",1,1,"*","*","*","*","*"
"Algeria","*","*","*","*","*","*","*","*"
"Andorra",1,1,1,1,1,1,1,1
"Angola","*","*","*",1,"*","*",1,2
"Anguilla",1,2,"*","*","*","*","*","*"
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",3,3,3,2,2,2,4,7
"Armenia","*","*","*","*","*",1,1,1
"Aruba","*",1,1,1,1,1,1,1
"Australia",43,49,55,56,58,69,70,74
"Austria",5,6,7,9,10,9,8,7
"Azerbaijan",5,4,7,7,6,5,5,5
"Bahamas",9,9,8,12,21,25,11,11
"Bahrain",2,2,1,1,1,1,1,"*"
"Bangladesh","*","*","*","*","*","*","*","*"
"Barbados",9,9,8,13,21,22,19,10
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",414,448,666,555,497,638,654,695
"Belize","*","*","*","*","*","*","*","*"
"Benin","*","*","*",0,"*","*","*","*"
"Bermuda",210,225,184,175,193,199,193,213
"Bhutan",0,0,0,0,0,"*","*","*"
"Bolivia","*","*",1,1,"*",1,1,1
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","*","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",2,1,2,2,2,1,1,1
"Brazil",239,237,229,239,240,253,297,313
"British Indian Ocean Territory","*","*","*","*",0,"*","*","*"
"British Virgin Islands",34,27,31,38,41,43,48,52
"Brunei",1,1,1,1,1,1,1,1
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*",0,"*",0,0,0,0
"Burma",0,"*","*","*","*","*","*","*"
"Burundi","*","*","*",0,0,0,0,0
"Cambodia","*","*","*",2,2,2,2,2
"Cameroon","*","*",0,0,0,0,0,0
"Canada",148,174,195,207,235,238,263,289
"Cape Verde",0,0,0,0,"*","*","*","*"
"Cayman Islands",432,444,486,525,626,657,604,694
"Central African Republic",0,0,"*",0,0,0,0,0
"Chad",0,0,"*",0,0,0,0,0
"Chile",20,22,23,25,30,24,23,30
"China, mainland (2)",1363,1469,1489,1510,1450,1344,1385,1350
"Colombia",30,34,34,39,34,32,29,35
"Comoros",0,0,0,0,0,0,0,"*"
"Congo (Brazzaville)","*",0,"*","*","*",0,0,"*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*","*","*"
"Costa Rica",2,2,2,2,2,2,2,2
"Croatia","*","*","*",1,1,1,1,1
"Curacao (1)","n.a.","n.a.",2,2,2,2,2,2
"Cyprus","*","*","*","*","*","*","*","*"
"Czech Republic",6,6,6,6,9,21,19,23
"Denmark",36,35,45,43,47,40,36,37
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic",1,1,1,1,2,1,2,3
"East Timor",8,10,10,8,8,8,8,8
"Ecuador",1,"*","*","*","*","*","*",1
"Egypt",3,1,4,4,1,2,2,2
"El Salvador",1,1,1,1,1,1,1,1
"Equatorial Guinea",0,0,0,"*",0,0,0,"*"
"Estonia","*","*","*","*","*","*","*",1
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands",0,0,"*",0,0,"*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*",0,"*","*","*","*","*"
"Finland",7,8,8,13,15,17,12,13
"France",93,89,100,98,97,122,144,177
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*",0,0,0,0,0,0,0
"Georgia",1,1,1,1,1,"*","*",0
"Germany",142,148,177,180,196,215,209,194
"Ghana",1,1,1,1,1,1,1,1
"Gibraltar","*","*","*","*","*","*","*","*"
"Greece",5,3,3,2,2,2,2,3
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe (1)","*","*","*","*",0,0,"*","*"
"Guatemala",4,4,3,2,3,4,4,8
"Guernsey",8,7,12,11,10,10,10,11
"Guinea","*",0,0,"*","*","*","*","*"
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",1,1,1,1,1,1,2,2
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,1,1,1,1,1,1
"Hong Kong",136,124,138,162,182,191,210,257
"Hungary",1,2,1,1,2,1,2,4
"Iceland",1,1,1,1,2,2,2,2
"India",42,57,69,101,110,115,142,161
"Indonesia",31,22,23,23,23,31,27,28
"Iran",0,0,0,0,0,0,"*",0
"Iraq","*",2,7,12,7,6,11,16
"Ireland",241,321,396,476,578,640,622,520
"Isle of Man",1,1,1,1,1,1,1,1
"Israel",20,22,27,23,36,37,35,46
"Italy",36,40,42,41,53,49,54,59
"Jamaica","*","*",1,1,"*",1,1,1
"Japan",1458,1387,1494,1437,1470,1450,1436,1622
"Jersey",13,9,8,8,7,6,7,7
"Jordan",1,1,1,"*","*","*",1,1
"Kazakhstan",8,10,15,12,17,8,4,2
"Kenya","*",1,1,1,1,1,3,3
"Kiribati","*","*","*","*",0,0,0,0
"Korea, South",119,108,108,133,151,170,174,206
"Kosovo (1)","n.a.","n.a.",0,0,"*","*","*","*"
"Kuwait",31,36,42,43,46,49,61,65
"Laos","*",0,0,0,0,0,"*","*"
"Latvia","*","*",1,1,1,2,2,2
"Lebanon","*","*","*","*","*","*","*","*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia",1,1,"*","*",1,"*","*","*"
"Libya",4,5,1,0,0,"*",1,"*"
"Liechtenstein","*","*","*","*","*",1,1,1
"Lithuania","*","*","*","*","*","*",3,2
"Luxembourg",474,532,617,681,738,771,774,871
"Macau",1,1,1,2,2,2,3,3
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*","*","*",1
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",39,34,24,22,25,28,28,26
"Maldives",0,0,0,0,0,0,"*","*"
"Mali",0,0,"*",0,0,0,0,0
"Malta",1,1,2,1,1,1,1,1
"Marshall Islands","*","*","*","*","*","*","*","*"
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania",0,0,"*","*","*","*","*","*"
"Mauritius","*","*","*",1,2,3,2,2
"Mayotte","*","*","*","*",0,0,0,0
"Mexico",88,87,77,100,64,44,49,57
"Moldova","*","*",1,"*","*",1,1,1
"Monaco","*","*","*","*","*","*","*","*"
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro (1)","n.a.","n.a.",0,0,0,"*","*","*"
"Montserrat","*",0,0,0,"*","*","*","*"
"Morocco",1,1,1,2,2,2,2,5
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia","*","*","*","*","*","*","*","*"
"Nauru","*",0,"*",0,0,0,0,0
"Nepal","*","*","*",1,1,1,1,1
"Netherlands",97,100,99,107,130,129,123,133
"Netherlands Antilles (1)",4,3,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a."
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",6,6,7,7,7,7,8,9
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger",0,0,0,"*",0,0,0,0
"Nigeria",4,4,4,3,3,2,4,5
"Niue","*",0,0,0,0,0,0,0
"Norway",88,99,119,109,104,101,93,143
"Oman",15,19,17,15,16,16,12,9
"Pakistan",1,1,1,1,1,1,1,"*"
"Palau","*","*","*","*","*","*","*","*"
"Panama",6,5,5,6,7,9,9,11
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",16,24,17,17,18,18,20,23
"Philippines",35,37,34,40,42,39,32,30
"Poland",28,32,30,29,35,34,41,25
"Portugal",3,3,4,3,6,5,3,3
"Qatar","*","*","*",1,"*",2,2,3
"Reunion",0,"*",0,0,0,0,0,0
"Romania",6,6,7,2,4,3,8,7
"Russia",159,139,115,72,91,97,9,5
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Kitts and Nevis",1,1,1,1,1,1,2,2
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","*","*","*","*","*","*"
"Saint Pierre and Miquelon","*",0,0,0,0,0,0,0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
