"Table A2.  Foreign Holdings of U.S. Equities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2017,2018,2019,2020,2021,2022,2023,2024
"Afghanistan","*","*","*","*","*","*","*","*"
"Albania","*","*","*","*","*","*","*","*"
"Algeria","*","*","*","*","*","*","*","*"
"Andorra",1,1,1,1,1,1,2,2
"Angola",1,"*",1,"*","*","*","*","*"
"Anguilla",15,2,5,7,10,12,11,1
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",5,5,6,7,9,8,7,9
"Armenia","*","*","*","*","*","*","*","*"
"Aruba",1,"*","*","*","*",1,"*","*"
"Australia",193,223,262,267,374,471,474,598
"Austria",11,14,20,16,27,25,31,32
"Azerbaijan",1,2,2,2,4,4,7,9
"Bahamas",21,20,23,27,31,23,25,34
"Bahrain",1,1,1,1,2,1,1,1
"Bangladesh","*","*","*","*","*","*","*","*"
"Barbados",1,2,2,1,2,2,2,3
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",38,54,58,59,104,76,85,115
"Belize","*",1,1,1,1,1,1,1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",95,102,111,111,138,127,131,134
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia","*","*",1,"*","*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",1,1,"*","*","*",1,1,1
"Brazil",5,6,5,8,16,18,17,23
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",112,114,112,106,149,129,135,162
"Brunei",4,5,3,2,4,4,2,3
"Bulgaria","*","*","*","*","*","*","*",1
"Burkina Faso","*","*","*","*","*",4,"*","*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*",0,0,"*","*"
"Cambodia","*","*","*","*","*",7,"*","*"
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",810,928,956,971,1495,1341,1458,1766
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",928,1038,1084,1059,1538,1365,1575,1854
"Central African Republic","*","*","*","*","*",0,0,"*"
"Chad","*","*","*","*","*","*","*","*"
"Chile",24,21,22,23,27,27,28,40
"China, mainland",194,217,189,233,273,273,309,362
"Colombia",13,13,13,14,20,21,20,29
"Comoros","*","*","*","*","*","*","*","*"
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands",1,1,"*","*",1,"*","*","*"
"Costa Rica",1,1,2,2,3,3,4,5
"Cote d`Ivoire","*","*","*","*","*",1,1,1
"Croatia","*","*",1,1,1,1,1,1
"Cuba","*","*","*","*","*","*","*","*"
"Curacao",3,4,4,4,5,4,4,3
"Cyprus","*",1,1,2,4,4,5,8
"Czech Republic",3,3,4,5,8,8,9,12
"Denmark",83,87,100,115,215,151,171,232
"Djibouti","*","*","*","*","*","*","*",0
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic","*","*","*","*",1,"*","*","*"
"East Timor",4,4,4,4,5,3,3,4
"Ecuador","*","*",1,1,1,1,1,1
"Egypt","*",1,"*",3,1,"*",1,"*"
"El Salvador","*","*","*","*","*",1,1,1
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*",1,"*",1,1,1,2,2
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",28,34,38,36,53,47,55,74
"France",154,166,177,192,359,297,363,458
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia","*","*","*","*","*","*","*","*"
"Germany",208,239,191,210,332,311,412,505
"Ghana","*","*","*","*","*","*","*","*"
"Gibraltar","*","*","*","*","*","*","*",1
"Greece",2,2,2,2,3,3,4,2
"Greenland","*","*","*","*",0,0,0,0
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe","*","*","*","*","*","*","*","*"
"Guatemala","*","*",1,"*","*","*","*",1
"Guernsey",32,32,43,40,56,52,59,70
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau",0,0,0,0,"*","*","*","*"
"Guyana","*","*","*","*","*","*","*","*"
"Haiti","*","*","*","*","*","*","*","*"
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras","*","*","*","*","*","*","*","*"
"Hong Kong",96,113,110,126,170,142,168,217
"Hungary",1,1,1,1,2,2,1,1
"Iceland",1,1,1,1,2,2,2,2
"India",3,4,4,6,9,8,12,22
"Indonesia","*","*","*","*",1,4,2,2
"Iran","*","*","*","*","*","*","*","*"
"Iraq","*","*","*","*","*","*","*","*"
"Ireland",296,393,456,517,821,748,842,1131
"Isle of Man",1,1,1,1,2,3,3,4
"Israel",49,55,65,80,130,87,106,154
"Italy",27,33,35,45,71,56,64,87
"Jamaica","*","*","*","*","*","*","*","*"
"Japan",490,543,596,667,866,727,837,975
"Jersey",16,15,18,17,29,23,23,24
"Jordan","*","*","*","*","*","*","*","*"
"Kazakhstan",6,"*","*","*","*","*","*","*"
"Kenya","*","*","*","*","*","*","*","*"
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",102,125,153,187,329,331,387,486
"Kosovo","*","*","*","*","*","*","*","*"
"Kuwait",160,185,197,211,285,241,279,341
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia","*","*","*","*",1,1,"*",1
