                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A3.  Foreign Holdings of U.S. Long-Term Debt Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2017            2018            2019            2020            2021            2022            2023            2024
  Afghanistan                                          1               2               2               1               3               1               1               1
  Albania                                              *               *               *               *               *               1               1               1
  Algeria                                              *               *               *               *               *               *               *               *
  Andorra                                              1               1               1               1               1               1               1               1
  Angola                                               *               1               2               1               2               1               1               1
  Anguilla                                             *               *               *               1               *               *               *               *
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            2               4               7               3               2               2               4               5
  Armenia                                              1               1               1               1               1               1               1               1
  Aruba                                                1               1               1               1               1               1               1               1
  Australia                                           69              70              74              75              84              93              84             104
  Austria                                              9               8               7               7               7               6               7               6
  Azerbaijan                                           5               5               5               8               7               9              15              13
  Bahamas                                             25              11              11              33              22              24              33              60
  Bahrain                                              1               1               *               *               *               *               1               *
  Bangladesh                                           *               *               *               *               *               5               4               4
  Barbados                                            22              19              10              10              11              13              13              16
  Belarus                                              *               *               *               *               *               0               0               0
  Belgium                                            638             654             695             747             787             755             822             857
  Belize                                               *               *               *               *               *               *               1               1
  Benin                                                *               *               *               *               0               0               0               0
  Bermuda                                            199             193             213             223             211             178             189             227
  Bhutan                                               *               *               *               *               *               *               *               *
  Bolivia                                              1               1               1               *               *               *               1               1
  Bonaire, Sint Eustatius and Saba                     *               *               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               0
  Botswana                                             1               1               1               1               1               1               1               1
  Brazil                                             253             297             313             253             250             226             224             226
  British Indian Ocean Territory                       *               *               *               *               0               0               *               *
  British Virgin Islands                              43              48              52              56              52              56              62              76
  Brunei                                               1               1               1               2               3               1               1               1
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burma                                                *               *               *               *               *               *               *               0
  Burundi                                              0               0               0               0               0               0               0               *
  Cambodia                                             2               2               2               5               5              12               6               7
  Canada                                             238             263             289             335             462             482             567             704
  Cape Verde                                           *               *               *               *               *               *               *               *
  Cayman Islands                                     657             604             694             720             801             732             662             726
  Chile                                               24              23              30              28              35              37              40              34
  China, mainland                                   1344            1385            1350            1301            1298            1198            1118            1011
  Colombia                                            32              29              35              32              38              37              40              52
  Comoros                                              0               0               *               0               0               0               *               *
  Congo (Brazzaville)                                  0               0               *               *               0               *               0               0
  Congo (Kinshasa)                                     *               *               *               *               *               *               *               *
  Cook Islands                                         *               *               *               *               *               *               *               *
  Costa Rica                                           2               2               2               2               2               3               5               5
  Cote d`Ivoire                                        0               0               0               0               0               *               0               0
  Croatia                                              1               1               1               1               2               1               1               2
  Curacao                                              2               2               2               2               2               2               2               3
