                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as
of June 30, 2024
 Millions of dollars
                                                                                                  Debt (LT = long-term; ST = short-term)
                                                   Total                           LT              LT               LT              LT
 Countries and Regions                          (LT and ST)     Equities          Total         Treasury         Agency            Corp            ST
  Afghanistan                                             544               *             542             533               0               *               0
  Albania                                                 878               *             875             853               *               *               *
  Algeria                                                 683               *               *               *               0               *             674
  Andorra                                                3363            1861            1343             533               *             809               *
  Angola                                                 1861               *             635             583               *               *             746
  Anguilla                                               1275             808               *               *               *               *               *
  Antigua and Barbuda                                     596               *               *               *               *               *               *
  Argentina                                             20191            8920            4810            2573               *            2218            6461
  Armenia                                                 889               *             615             612               0               *               *
  Aruba                                                  1621               *            1299               *               *             665               *
  Australia                                            711722          598170          104462           56105           14115           34241            9090
  Austria                                               39709           31607            5717            3390               *            2252            2384
  Azerbaijan                                            22521            8871           13162           12839               *               *               *
  Bahamas                                              128522           33789           59693           13048           36698            9947           35040
  Bahrain                                                1313            1094               *               *               *               *               *
  Bangladesh                                             4281               *            4087            4087               0               *               *
  Barbados                                              20397            2588           16194            1785            1417           12992            1615
  Belarus                                                   *               *               0               0               0               0               0
  Belgium                                             1024533          114575          857094          263688           19003          574403           52864
  Belize                                                 1801             801             763               *               *               *               *
  Benin                                                     *               *               0               0               0               0               0
  Bermuda                                              404062          134378          227175           47704           27218          152254           42509
  Bhutan                                                    *               *               *               *               *               *               0
  Bolivia                                                1175               *             594               *               *               *               *
  Bonaire, Sint Eustatius and Saba                          *               *               *               *               0               *               *
  Bosnia and Herzegovina                                    *               *               0               0               0               0               *
  Botswana                                               1878            1337             530               *               *               *               *
  Brazil                                               252185           22725          225846          223901               *            1804            3614
  British Indian Ocean Territory                            *               *               *               *               0               *               *
  British Virgin Islands                               260312          161688           75850           38164            2310           35376           22774
  Brunei                                                 4741            3020             844             563               *               *             877
  Bulgaria                                                925             708               *               *               *               *               *
  Burkina Faso                                              *               *               0               0               0               0               0
  Burma                                                     *               *               0               0               0               0               0
  Burundi                                                   *               *               *               0               0               *               0
  Cambodia                                               7246               *            7024            6087             748               *               *
  Cameroon                                                  *               *               0               0               0               0               0
  Canada                                              2507823         1766312          704055          339509          152700          211846           37456
  Cape Verde                                                *               *               *               *               0               0               0
  Cayman Islands                                      2728204         1854253          725956          182650           42290          501016          147994
  Central African Republic                                  *               *               0               0               0               0               *
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 81873           40413           34297           28750            1233            4314            7163
  China, mainland                                     1401045          361818         1011086          752890          234054           24142           28142
  Colombia                                              85720           29033           52319           41388            1341            9591            4367
  Comoros                                                   *               *               *               *               0               *               *
  Congo (Brazzaville)                                       *               *               0               0               0               0               0
  Congo (Kinshasa)                                          *               *               *               *               *               0               *
