,Total,Equities,Total LT Debt,LT Debt Treasury,LT Debt Agency,LT Debt Corp,ST Debt
Afghanistan,544.07,*,542.48,532.53,0.00,*,0.00
Albania,878.32,*,875.45,852.82,*,*,*
Algeria,682.78,*,*,*,0.00,*,673.83
Andorra,3362.52,1861.33,1342.92,532.68,*,809.32,*
Angola,1861.28,*,635.44,583.14,*,*,746.32
Anguilla,1275.37,807.68,*,*,*,*,*
Antigua and Barbuda,595.78,*,*,*,*,*,*
Argentina,20191.05,8919.75,4810.31,2573.25,*,2218.00,6460.99
Armenia,888.67,*,615.28,611.99,0.00,*,*
Aruba,1621.43,*,1299.30,*,*,665.11,*
Australia ,711721.88,598170.02,104461.76,56105.27,14115.31,34241.18,9090.10
Austria,39708.67,31606.92,5717.47,3390.00,*,2252.43,2384.27
Azerbaijan,22520.57,8871.14,13161.72,12839.27,*,*,*
Bahamas,128521.58,33788.96,59692.82,13047.97,36698.30,9946.55,35039.80
Bahrain,1312.84,1094.46,*,*,*,*,*
Bangladesh,4281.32,*,4087.15,4086.96,0.00,*,*
Barbados,20396.75,2587.94,16193.69,1784.63,1417.04,12992.01,1615.13
Belarus,*,*,0.00,0.00,0.00,0.00,0.00
Belgium,1024533.32,114575.21,857094.34,263687.76,19003.22,574403.36,52863.77
Belize,1800.63,800.62,762.53,*,*,*,*
Benin,*,*,0.00,0.00,0.00,0.00,0.00
Bermuda,404062.23,134378.00,227175.19,47703.60,27217.67,152253.93,42509.04
Bhutan,*,*,*,*,*,*,0.00
Bolivia,1175.04,*,593.72,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,*,0.00,*,*
Bosnia and Herzegovina,*,*,0.00,0.00,0.00,0.00,*
Botswana,1878.35,1337.02,530.43,*,*,*,*
Brazil,252184.98,22725.03,225845.59,223900.51,*,1803.66,3614.36
British Indian Ocean Territory,*,*,*,*,0.00,*,*
British Virgin Islands,260311.87,161687.51,75850.29,38163.88,2310.18,35376.23,22774.07
Brunei,4740.98,3019.95,843.59,563.40,*,*,877.43
Bulgaria,925.44,707.68,*,*,*,*,*
