"Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security"
"Type, as of June 30, 2024"
"Millions of dollars"
"","Total","","","Agen","cy","Corpo","rate"
"Countries and Regions","LT","Equities","Treasury","NonABS","ABS","NonABS","ABS"
"Afghanistan",544,"*",533,0,0,"*",0
"Albania",878,"*",853,"*",0,"*","*"
"Algeria","*","*","*",0,0,"*",0
"Andorra",3204,1861,533,"*",0,809,"*"
"Angola",1115,"*",583,0,"*","*",0
"Anguilla",1194,808,"*","*","*","*","*"
"Antigua and Barbuda",533,"*","*","*","*","*","*"
"Argentina",13730,8920,2573,"*","*",2217,"*"
"Armenia",689,"*",612,0,0,"*",0
"Aruba",1589,"*","*","*","*","*","*"
"Australia",702632,598170,56105,"*",14007,29276,4965
"Austria",37324,31607,3390,"*","*",2249,"*"
"Azerbaijan",22033,8871,12839,"*","*","*",0
"Bahamas",93482,33789,13048,"*",36383,9604,"*"
"Bahrain",1191,1094,"*","*","*","*","*"
"Bangladesh",4141,"*",4087,0,0,"*",0
"Barbados",18782,2588,1785,"*",1131,5207,7785
"Belarus","*","*",0,0,0,0,0
"Belgium",971670,114575,263688,2661,16342,562857,11546
"Belize",1563,801,"*","*","*","*","*"
"Benin","*","*",0,0,0,0,0
"Bermuda",361553,134378,47704,2100,25118,129293,22961
"Bhutan","*","*","*","*",0,"*",0
"Bolivia",893,"*","*","*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*",0,0,"*",0
"Bosnia and Herzegovina","*","*",0,0,0,0,0
"Botswana",1867,1337,"*",0,"*","*","*"
"Brazil",248571,22725,223901,"*","*",1776,"*"
"British Indian Ocean Territory","*","*","*",0,0,"*",0
"British Virgin Islands",237538,161688,38164,"*",2014,34132,1244
"Brunei",3864,3020,563,"*",0,"*","*"
"Bulgaria",920,708,"*",0,"*","*",0
"Burkina Faso","*","*",0,0,0,0,0
"Burma","*","*",0,0,0,0,0
"Burundi","*","*",0,0,0,"*",0
"Cambodia",7145,"*",6087,"*",743,"*",0
"Cameroon","*","*",0,0,0,0,0
"Canada",2470367,1766312,339509,1544,151156,182272,29574
"Cape Verde","*","*","*",0,0,0,0
"Cayman Islands",2580209,1854253,182650,3167,39123,433219,67797
"Central African Republic","*","*",0,0,0,0,0
"Chad","*","*",0,0,0,0,0
"Chile",74710,40413,28750,"*",1220,4237,"*"
"China, mainland",1372904,361818,752890,1523,232531,19713,4429
