,LT,Equities,Treasury,Agcy NonABS,Agcy ABS,Corp NonABS,Corp ABS
Afghanistan,544.07,*,532.53,0.00,0.00,*,0.00
Albania,878.23,*,852.82,*,0.00,*,*
Algeria,*,*,*,0.00,0.00,*,0.00
Andorra,3204.25,1861.33,532.68,*,0.00,809.15,*
Angola,1114.96,*,583.14,0.00,*,*,0.00
Anguilla,1194.15,807.68,*,*,*,*,*
Antigua and Barbuda,533.04,*,*,*,*,*,*
Argentina,13730.06,8919.75,2573.25,*,*,2217.32,*
Armenia,688.91,*,611.99,0.00,0.00,*,0.00
Aruba,1589.12,*,*,*,*,*,*
Australia ,702631.78,598170.02,56105.27,*,14007.41,29276.18,4965.00
Austria,37324.39,31606.92,3390.00,*,*,2249.41,*
Azerbaijan,22032.86,8871.14,12839.27,*,*,*,0.00
Bahamas,93481.78,33788.96,13047.97,*,36383.30,9604.02,*
Bahrain,1191.29,1094.46,*,*,*,*,*
Bangladesh,4141.36,*,4086.96,0.00,0.00,*,0.00
Barbados,18781.63,2587.94,1784.63,*,1131.42,5207.12,7784.89
Belarus,*,*,0.00,0.00,0.00,0.00,0.00
Belgium,971669.55,114575.21,263687.76,2660.78,16342.44,562856.91,11546.45
Belize,1563.15,800.62,*,*,*,*,*
Benin,*,*,0.00,0.00,0.00,0.00,0.00
Bermuda,361553.19,134378.00,47703.60,2099.93,25117.74,129293.07,22960.86
Bhutan,*,*,*,*,0.00,*,0.00
Bolivia,893.23,*,*,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,0.00,0.00,*,0.00
Bosnia and Herzegovina,*,*,0.00,0.00,0.00,0.00,0.00
Botswana,1867.45,1337.02,*,0.00,*,*,*
Brazil,248570.62,22725.03,223900.51,*,*,1775.65,*
British Indian Ocean Territory,*,*,*,0.00,0.00,*,0.00
British Virgin Islands,237537.80,161687.51,38163.88,*,2013.52,34131.81,1244.42
Brunei,3863.54,3019.95,563.40,*,0.00,*,*
Bulgaria,920.45,707.68,*,0.00,*,*,0.00
Burkina Faso,*,*,0.00,0.00,0.00,0.00,0.00
Burma,*,*,0.00,0.00,0.00,0.00,0.00
Burundi,*,*,0.00,0.00,0.00,*,0.00
Cambodia,7145.33,*,6086.96,*,742.71,*,0.00
Cameroon,*,*,0.00,0.00,0.00,0.00,0.00
Canada,2470366.81,1766312.27,339509.27,1543.60,151155.86,182272.29,29573.52
Cape Verde,*,*,*,0.00,0.00,0.00,0.00
Cayman Islands,2580209.29,1854253.36,182650.29,3167.29,39122.62,433218.93,67796.80
Central African Republic,*,*,0.00,0.00,0.00,0.00,0.00
Chad,*,*,0.00,0.00,0.00,0.00,0.00
Chile,74710.02,40413.03,28749.66,*,1220.45,4237.09,*
"China, mainland",1372903.48,361817.50,752890.10,1523.22,232530.47,19713.33,4428.85
Colombia,81352.52,29033.04,41387.61,*,1060.93,9268.11,*
Comoros,*,*,*,0.00,0.00,*,0.00
Congo (Brazzaville),*,*,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,*,*,0.00,0.00,0.00
Cook Islands,*,*,*,0.00,0.00,*,0.00
Costa Rica,9312.74,4793.83,3013.52,*,*,1447.90,*
Cote d`Ivoire,1478.87,1478.87,0.00,0.00,0.00,0.00,0.00
Croatia,3158.05,1276.63,1875.76,*,0.00,*,0.00
Cuba,*,*,0.00,0.00,0.00,0.00,0.00
Curacao,6288.18,3272.89,1507.51,*,*,1467.96,*
Cyprus,8516.42,7712.29,*,*,*,*,*
Czech Republic,44465.81,12140.87,30484.35,*,1731.62,*,*
Denmark,263121.83,231769.71,9440.21,*,*,21362.07,*
Djibouti,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,*,*,0.00,*,*
Dominican Republic,8036.64,*,7066.63,*,*,*,*
East Timor,13973.59,3709.66,10263.93,0.00,0.00,0.00,0.00
Ecuador,1501.63,704.43,*,*,*,*,*
Egypt,646.36,*,*,*,0.00,*,0.00
El Salvador,1358.78,615.69,550.61,*,*,*,*
Equatorial Guinea,*,*,*,0.00,0.00,0.00,0.00
Eritrea,*,*,0.00,0.00,0.00,0.00,0.00
Estonia,2253.08,2022.64,*,*,0.00,*,0.00
Ethiopia,*,*,*,0.00,0.00,*,0.00
Falkland Islands,*,*,0.00,0.00,0.00,*,0.00
Faroe Islands,*,*,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,*,*,*,*,0.00
Fiji,*,*,0.00,*,0.00,*,0.00
Finland,86783.48,74252.41,6302.19,*,0.00,6228.33,*
France,829818.18,457757.20,283054.22,*,26061.38,53027.07,9500.82
French Guiana,*,*,*,0.00,0.00,*,0.00
French Polynesia,*,*,*,0.00,*,*,*
Gabon,*,*,*,0.00,0.00,*,0.00
Gambia,*,*,*,0.00,0.00,0.00,0.00
Georgia,*,*,*,*,0.00,*,0.00
Germany,701617.11,504856.46,76244.42,*,4213.15,109581.54,6574.94
Ghana,1418.01,*,1225.59,0.00,*,*,0.00
Gibraltar,1584.59,844.60,*,*,*,523.10,*
Greece,4907.42,2303.25,2277.42,*,*,*,*
Greenland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,602.56,*,*,*,0.00,*,0.00
Guadeloupe,*,*,0.00,0.00,0.00,0.00,0.00
Guatemala,13578.58,709.86,9575.22,709.98,1812.87,761.00,*
Guernsey,88658.50,69992.82,6546.43,*,*,11575.21,*
Guinea,*,*,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,*,*,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,*,*,*,*,*
Haiti,1761.85,*,*,*,*,760.74,*
Holy See (Vatican),*,*,*,0.00,0.00,*,0.00
Honduras,3750.92,*,3393.25,*,*,*,*
Hong Kong,489287.62,216600.81,193363.15,*,9152.26,67970.36,1892.83
Hungary,4596.45,1338.81,574.98,*,2554.80,*,0.00
