"Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and"
"Type of Treasury Security, as of June 30, 2024"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"Countries and Regions","Total","Total","Nominal","TIPS","FRN","ST debt**"
"Afghanistan",533,533,533,0,0,0
"Albania",853,853,850,"*",0,0
"Algeria",675,"*","*",0,0,674
"Andorra",690,533,511,"*",0,"*"
"Angola",1329,583,583,0,0,746
"Anguilla","*","*","*","*","*","*"
"Antigua and Barbuda","*","*","*",0,"*","*"
"Argentina",9001,2573,2492,"*","*",6428
"Armenia",812,612,609,"*",0,"*"
"Aruba","*","*","*",0,"*","*"
"Australia",64118,56105,53826,1543,736,8013
"Austria",5610,3390,3317,"*","*",2220
"Azerbaijan",13327,12839,12829,"*","*","*"
"Bahamas",47751,13048,12039,985,"*",34703
"Bahrain","*","*","*","*",0,"*"
"Bangladesh",4227,4087,4087,0,0,"*"
"Barbados",3341,1785,1758,"*",0,1556
"Belgium",314814,263688,235410,11138,17140,51127
"Belize",613,"*","*","*",0,"*"
"Bermuda",88166,47704,45419,1522,762,40463
"Bhutan","*","*","*",0,0,0
"Bolivia",598,"*","*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*",0,0,"*"
"Botswana","*","*","*","*",0,"*"
"Brazil",227109,223901,199167,20329,4404,3209
"British Indian Ocean Territory","*","*","*",0,0,"*"
"British Virgin Islands",60524,38164,32775,5376,"*",22360
"Brunei",1441,563,"*","*",0,877
"Bulgaria","*","*","*",0,0,"*"
"Cambodia",6188,6087,6084,"*",0,"*"
"Canada",372999,339509,287550,47868,4092,33490
"Cape Verde","*","*","*",0,0,0
"Cayman Islands",325031,182650,128558,42349,11743,142381
"Central African Republic","*",0,0,0,0,"*"
"Chile",35380,28750,23999,4651,"*",6631
"China, mainland",780390,752890,597946,154944,"*",27500
"Colombia",45717,41388,38715,2673,"*",4329
"Comoros","*","*","*",0,0,"*"
"Congo (Kinshasa)","*","*","*",0,0,"*"
"Cook Islands","*","*","*",0,0,"*"
"Costa Rica",4027,3014,2976,"*","*",1014
"Croatia",2100,1876,1870,"*","*","*"
"Curacao",2502,1508,1500,"*","*",995
"Cyprus",787,"*","*","*","*","*"
"Czech Republic",30574,30484,29681,804,0,"*"
"Denmark",12719,9440,7321,2119,0,3278
"Dominica","*","*","*",0,0,"*"
"Dominican Republic",7401,7067,7049,"*","*","*"
"East Timor",10264,10264,9050,1214,0,0
"Ecuador",1219,"*","*","*","*",982
"Egypt","*","*","*","*",0,"*"
"El Salvador",868,551,539,"*","*","*"
"Equatorial Guinea","*","*","*",0,0,"*"
"Estonia","*","*","*","*","*","*"
"Ethiopia","*","*","*",0,"*",0
"Federated States of Micronesia","*","*","*",0,0,"*"
"Finland",6635,6302,6083,"*","*","*"
"France",300255,283054,228553,52087,2414,17201
"French Guiana","*","*","*","*",0,0
"French Polynesia","*","*","*",0,0,"*"
"Gabon","*","*","*",0,0,0
"Gambia","*","*","*",0,0,"*"
"Georgia","*","*","*",0,0,"*"
"Germany",89440,76244,66418,8901,926,13195
"Ghana",1335,1226,1218,"*",0,"*"
"Gibraltar","*","*","*","*",0,"*"
"Greece",3198,2277,2276,"*","*",921
"Grenada","*","*","*",0,0,"*"
"Guatemala",11139,9575,9226,"*","*",1563
"Guernsey",8580,6546,5977,"*","*",2034
