,Total,LT Treasury Total,LT Treasury Nominal,LT Treasury TIPS,LT Treasury FRN,ST Treasury Total
Afghanistan,532.53,532.53,532.53,0.00,0.00,0.00
Albania,852.82,852.82,849.87,*,0.00,0.00
Algeria,674.87,*,*,0.00,0.00,673.83
Andorra,690.25,532.68,511.05,*,0.00,*
Angola,1329.35,583.14,583.14,0.00,0.00,746.21
Anguilla,*,*,*,*,*,*
Antigua and Barbuda,*,*,*,0.00,*,*
Argentina,9001.14,2573.25,2491.67,*,*,6427.89
Armenia,811.65,611.99,608.57,*,0.00,*
Aruba,*,*,*,0.00,*,*
Australia ,64117.79,56105.27,53826.10,1543.06,736.11,8012.52
Austria,5609.69,3390.00,3316.63,*,*,2219.68
Azerbaijan,13326.99,12839.27,12829.14,*,*,*
Bahamas,47751.10,13047.97,12038.58,985.24,*,34703.13
Bahrain,*,*,*,*,0.00,*
Bangladesh,4226.78,4086.96,4086.96,0.00,0.00,*
Barbados,3340.77,1784.63,1758.28,*,0.00,1556.14
Belarus,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,314814.41,263687.76,235409.81,11138.00,17139.95,51126.65
Belize,613.22,*,*,*,0.00,*
Benin,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,88166.25,47703.60,45418.82,1522.35,762.43,40462.65
Bhutan,*,*,*,0.00,0.00,0.00
Bolivia,598.30,*,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,0.00,0.00,*
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00
Botswana,*,*,*,*,0.00,*
Brazil,227109.29,223900.51,199166.78,20329.40,4404.33,3208.78
British Indian Ocean Territory,*,*,*,0.00,0.00,*
British Virgin Islands,60523.54,38163.88,32774.77,5375.74,*,22359.66
Brunei,1440.83,563.40,*,*,0.00,877.43
Bulgaria,*,*,*,0.00,0.00,*
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00
Burma,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,6188.00,6086.96,6084.34,*,0.00,*
Cameroon,0.00,0.00,0.00,0.00,0.00,0.00
Canada,372999.23,339509.27,287549.79,47867.96,4091.52,33489.96
Cape Verde,*,*,*,0.00,0.00,0.00
Cayman Islands,325030.86,182650.29,128557.78,42349.03,11743.48,142380.57
Central African Republic,*,0.00,0.00,0.00,0.00,*
Chad,0.00,0.00,0.00,0.00,0.00,0.00
Chile,35380.45,28749.66,23999.39,4650.51,*,6630.79
"China, mainland",780390.37,752890.10,597945.91,154943.68,*,27500.27
Colombia,45716.59,41387.61,38714.93,2672.65,*,4328.98
Comoros,*,*,*,0.00,0.00,*
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,*,0.00,0.00,*
Cook Islands,*,*,*,0.00,0.00,*
