"Table A8.  Foreign Holdings of U.S. Equities, by Country and Equity Type,"
"as of June 30, 2024"
"Millions of dollars"
"","Total","Common","","Preferred"
"Countries and Regions","Equities","Stock","Funds","and Other"
"Afghanistan","*","*","*","*"
"Albania","*","*","*","*"
"Algeria","*","*","*","*"
"Andorra",1861,1489,"*","*"
"Angola","*","*","*","*"
"Anguilla",808,611,"*","*"
"Antigua and Barbuda","*","*","*","*"
"Argentina",8920,4701,4034,"*"
"Armenia","*","*","*","*"
"Aruba","*","*","*","*"
"Australia",598170,445539,76186,76445
"Austria",31607,28780,2650,"*"
"Azerbaijan",8871,7590,1045,"*"
"Bahamas",33789,15738,16529,1522
"Bahrain",1094,554,"*","*"
"Bangladesh","*","*","*","*"
"Barbados",2588,701,1785,"*"
"Belarus","*","*","*","*"
"Belgium",114575,100308,13760,507
"Belize",801,"*","*","*"
"Benin","*","*","*",0
"Bermuda",134378,26212,95738,12428
"Bhutan","*","*","*","*"
"Bolivia","*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*"
"Botswana",1337,1196,"*","*"
"Brazil",22725,9295,13244,"*"
"British Indian Ocean Territory","*","*","*",0
"British Virgin Islands",161688,86351,62170,13166
"Brunei",3020,"*",2683,"*"
"Bulgaria",708,"*","*","*"
"Burkina Faso","*","*","*","*"
"Burma","*","*","*","*"
"Burundi","*","*","*",0
"Cambodia","*","*","*",0
"Cameroon","*","*","*","*"
"Canada",1766312,1365754,335803,64755
"Cape Verde","*","*","*","*"
"Cayman Islands",1854253,959831,648450,245973
"Central African Republic","*","*",0,0
"Chad","*","*","*",0
"Chile",40413,4199,33412,2802
"China, mainland",361818,301308,46290,14220
"Colombia",29033,7163,21188,681
"Comoros","*","*","*",0
"Congo (Brazzaville)","*","*","*",0
"Congo (Kinshasa)","*","*","*",0
"Cook Islands","*","*","*","*"
"Costa Rica",4794,858,3899,"*"
"Cote d`Ivoire",1479,"*",1387,0
"Croatia",1277,1098,"*","*"
"Cuba","*","*","*","*"
"Curacao",3273,1201,1362,710
"Cyprus",7712,5988,1142,583
"Czech Republic",12141,10948,1172,"*"
"Denmark",231770,191655,19585,20529
"Dominica","*","*","*","*"
"Dominican Republic","*","*","*","*"
"East Timor",3710,3639,"*",0
"Ecuador",704,"*","*","*"
"Egypt","*","*","*","*"
"El Salvador",616,"*","*","*"
"Equatorial Guinea","*","*","*",0
"Eritrea","*","*","*",0
"Estonia",2023,1522,"*","*"
"Ethiopia","*","*","*",0
"Falkland Islands","*","*","*","*"
"Faroe Islands","*","*","*",0
"Federated States of Micronesia","*","*","*","*"
"Fiji","*","*","*","*"
"Finland",74252,48007,20837,5408
"France",457757,433116,22905,1735
"French Guiana","*","*","*","*"
"French Polynesia","*","*","*","*"
"Gabon","*","*","*","*"
"Gambia","*","*","*",0
"Georgia","*","*","*","*"
"Germany",504857,457622,33974,13260
"Ghana","*","*","*","*"
"Gibraltar",845,540,"*","*"
"Greece",2303,1610,666,"*"
"Grenada","*","*","*","*"
"Guadeloupe","*","*","*",0
"Guatemala",710,"*","*","*"
"Guernsey",69993,24609,21008,24376
"Guinea","*","*","*",0
"Guinea-Bissau","*","*","*","*"
"Guyana","*","*","*","*"
"Haiti","*","*","*","*"
"Holy See (Vatican)","*","*","*","*"
"Honduras","*","*","*","*"
"Hong Kong",216601,152471,54916,9214
"Hungary",1339,564,773,"*"
"Iceland",2037,783,1110,"*"
"India",22055,19786,2229,"*"
"Indonesia",2272,830,1435,"*"
"Iran","*","*","*",0
"Iraq","*","*","*","*"
"Ireland",1130702,1071017,50824,8861
"Isle of Man",3860,2489,1289,"*"
"Israel",153807,92671,56051,5085
"Italy",86850,80467,4085,2298
"Jamaica","*","*","*","*"
"Japan",974821,790311,175783,8728
"Jersey",24480,12670,6308,5502
"Jordan","*","*","*","*"
"Kazakhstan","*","*","*","*"
"Kenya","*","*","*","*"
"Kiribati","*","*","*",0
"Korea, South",485827,304560,93661,87606
"Kosovo","*","*","*",0
"Kuwait",341104,314637,17904,8563
"Kyrgyzstan","*","*","*","*"
"Laos","*","*","*",0
"Latvia",655,607,"*","*"
"Lebanon","*","*","*","*"
"Lesotho","*","*","*",0
"Liberia",1026,"*",569,"*"
"Libya","*","*","*","*"
"Liechtenstein",31715,10763,20519,"*"
"Lithuania","*","*","*","*"
"Luxembourg",1233105,1107030,87599,38476
"Macau",3054,2944,"*","*"
"Macedonia","*","*","*",0
"Madagascar","*","*","*",0
"Malawi","*","*","*",0
"Malaysia",41285,34451,3602,3232
"Maldives","*","*","*","*"
"Mali","*","*","*","*"
"Malta",3238,1586,1441,"*"
"Marshall Islands",2168,1348,710,"*"
"Martinique","*","*","*",0
"Mauritania","*","*","*","*"
"Mauritius",1055,"*","*","*"
"Mexico",107623,26954,78421,2248
"Moldova","*","*","*",0
"Monaco",3163,2165,934,"*"
"Mongolia","*","*","*","*"
"Montenegro","*","*","*",0
"Montserrat","*","*","*","*"
"Morocco","*","*","*",0
"Mozambique","*","*","*","*"
"Namibia",556,525,"*",0
"Nauru","*","*","*","*"
"Nepal","*","*","*","*"
"Netherlands",379919,279606,69910,30403
"New Caledonia",1367,1304,"*","*"
"New Zealand",49446,39504,6752,3190
"Nicaragua","*","*","*","*"
"Niger","*",0,"*",0
"Nigeria","*","*","*","*"
"Niue","*","*","*",0
"Norway",688876,641207,47337,"*"
"Oman",10754,3341,7052,"*"
"Pakistan","*","*","*","*"
"Palau","*","*","*","*"
"Panama",20357,10531,8628,1198
"Papua New Guinea","*","*","*",0
"Paraguay","*","*","*","*"
"Peru",8680,1404,6551,725
"Philippines",2990,827,2158,"*"
"Pitcairn Island","*","*",0,0
"Poland",3671,2936,525,"*"
"Portugal",11598,4567,6762,"*"
"Qatar",43115,36981,4631,1503
"Reunion","*","*","*",0
"Romania",771,710,"*","*"
"Russia",563,"*","*","*"
"Rwanda","*","*","*","*"
"Saint Kitts and Nevis",4965,2671,2089,"*"
"Saint Lucia","*","*","*","*"
"Saint Martin and Saint Barthelemy","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*"
"Samoa",1061,"*",561,"*"
"San Marino","*","*","*","*"
"Sao Tome and Principe","*",0,"*",0
"Saudi Arabia",202127,135300,36903,29924
"Senegal","*","*","*","*"
"Serbia","*","*","*","*"
"Seychelles",690,510,"*","*"
"Sierra Leone","*","*","*","*"
"Singapore",565963,290089,97747,178127
"Sint Maarten","*","*","*","*"
"Slovakia","*","*","*","*"
"Slovenia",3929,3444,"*","*"
"Somalia","*","*","*",0
"South Africa",25018,18915,5076,1028
"Spain",63635,54767,7796,1072
"Sri Lanka","*","*","*","*"
"Sudan","*","*","*",0
"Suriname","*","*","*","*"
"Eswatini","*","*","*",0
"Sweden",396021,369416,16770,9835
"Switzerland",791566,696582,86488,8496
"Syria","*","*","*",0
"Taiwan",145814,83031,58168,4615
"Tajikistan","*","*","*",0
"Tanzania","*","*","*",0
"Thailand",23506,11328,11374,803
"Togo","*","*","*","*"
"Tokelau","*","*","*",0
"Tonga","*","*","*",0
"Trinidad and Tobago",5421,4354,1019,"*"
"Tunisia","*","*","*",0
"Turkey",1351,817,"*","*"
"Turkmenistan","*","*","*",0
"Turks and Caicos Isl.",1601,"*",1107,"*"
"Uganda","*","*","*","*"
"Ukraine","*","*","*","*"
"United Arab Emirates",213562,131243,54082,28237
"United Kingdom",1742590,1479939,160880,101771
"Uruguay",3945,1761,2059,"*"
"Uzbekistan","*","*","*","*"
"Vanuatu","*","*","*","*"
"Venezuela",2996,1880,989,"*"
"Vietnam","*","*","*","*"
"Wallis and Futuna","*","*",0,0
"West Bank and Gaza","*","*","*","*"
"Western Sahara","*","*","*",0
"Yemen","*","*","*",0
"Zambia","*","*","*","*"
"Zimbabwe","*","*","*",0
"Int. and reg. org.",18263,7803,8658,1802
"Country Unknown","*","*","*","*"
""
"Total",16878226,12906976,2884080,1087170
""
"of which: Holdings of foreign official"
"institutions",1964614,1623140,232717,108756
""
"Totals by Region:"
"Total Africa",33141,23203,8237,1702
"Total Asia",3819240,2711134,727490,380616
"Total Caribbean",2205140,1099199,831639,274302
"Total Europe",8129512,7140604,713270,275638
"Total Latin America",253524,70642,174314,8568
"Canada",1766312,1365754,335803,64755
"Australia/Oceania",652962,488553,84623,79786
"Country Unknown","*","*","*","*"
"Int. and reg. org.",18263,7803,8658,1802
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
