,Total Equities,Common Stock,Funds,Preferred and Other
Afghanistan,*,*,*,*
Albania,*,*,*,*
Algeria,*,*,*,*
Andorra,1861.33,1489.22,*,*
Angola,*,*,*,*
Anguilla,807.68,610.87,*,*
Antigua and Barbuda,*,*,*,*
Argentina,8919.75,4701.36,4033.52,*
Armenia,*,*,*,*
Aruba,*,*,*,*
Australia ,598170.02,445538.98,76185.88,76445.16
Austria,31606.92,28779.95,2650.37,*
Azerbaijan,8871.14,7589.50,1045.27,*
Bahamas,33788.96,15738.02,16528.91,1522.03
Bahrain,1094.46,554.06,*,*
Bangladesh,*,*,*,*
Barbados,2587.94,701.29,1785.39,*
Belarus,*,*,*,*
Belgium,114575.21,100308.13,13760.25,506.83
Belize,800.62,*,*,*
Benin,*,*,*,0.00
Bermuda,134378.00,26212.34,95737.66,12428.00
Bhutan,*,*,*,*
Bolivia,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,*
Bosnia and Herzegovina,*,*,*,*
Botswana,1337.02,1195.91,*,*
Brazil,22725.03,9295.36,13244.33,*
British Indian Ocean Territory,*,*,*,0.00
British Virgin Islands,161687.51,86351.46,62169.73,13166.32
Brunei,3019.95,*,2682.61,*
Bulgaria,707.68,*,*,*
Burkina Faso,*,*,*,*
Burma,*,*,*,*
Burundi,*,*,*,-0.01
Cambodia,*,*,*,0.00
Cameroon,*,*,*,*
Canada,1766312.27,1365754.36,335802.72,64755.19
Cape Verde,*,*,*,*
Cayman Islands,1854253.36,959830.86,648449.95,245972.55
Central African Republic,*,*,0.00,0.00
Chad,*,*,*,0.00
Chile,40413.03,4198.81,33412.39,2801.83
"China, mainland",361817.50,301307.73,46289.75,14220.02
Colombia,29033.04,7163.31,21188.35,681.38
Comoros,*,*,*,-0.01
Congo (Brazzaville),*,*,*,0.00
Congo (Kinshasa),*,*,*,0.00
Cook Islands,*,*,*,*
Costa Rica,4793.83,858.45,3899.05,*
Cote d`Ivoire,1478.87,*,1386.64,-0.00
Croatia,1276.63,1097.77,*,*
Cuba,*,*,*,*
Curacao,3272.89,1201.11,1361.94,709.84
Cyprus,7712.29,5988.00,1141.50,582.79
Czech Republic,12140.87,10948.30,1172.16,*
Denmark,231769.71,191655.28,19585.31,20529.12
Djibouti,0.00,0.00,0.00,0.00
Dominica,*,*,*,*
Dominican Republic,*,*,*,*
East Timor,3709.66,3638.91,*,0.00
Ecuador,704.43,*,*,*
Egypt,*,*,*,*
El Salvador,615.69,*,*,*
Equatorial Guinea,*,*,*,0.00
Eritrea,*,*,*,0.00
Estonia,2022.64,1521.76,*,*
Ethiopia,*,*,*,0.00
Falkland Islands,*,*,*,*
Faroe Islands,*,*,*,0.00
Federated States of Micronesia,*,*,*,*
Fiji,*,*,*,*
Finland,74252.41,48007.24,20837.10,5408.07
France,457757.20,433116.33,22905.43,1735.44
French Guiana,*,*,*,*
French Polynesia,*,*,*,*
Gabon,*,*,*,*
Gambia,*,*,*,0.00
Georgia,*,*,*,*
Germany,504856.46,457622.23,33974.23,13260.00
Ghana,*,*,*,*
Gibraltar,844.60,540.17,*,*
Greece,2303.25,1610.09,666.27,*
Greenland,0.00,0.00,0.00,0.00
Grenada,*,*,*,*
Guadeloupe,*,*,*,0.00
Guatemala,709.86,*,*,*
Guernsey,69992.82,24608.65,21007.77,24376.40
Guinea,*,*,*,0.00
Guinea-Bissau,*,*,*,*
Guyana,*,*,*,*
Haiti,*,*,*,*
Holy See (Vatican),*,*,*,*
Honduras,*,*,*,*
Hong Kong,216600.81,152470.88,54915.92,9214.01
Hungary,1338.81,563.63,773.08,*
Iceland,2037.17,782.76,1110.18,*
India,22054.52,19785.69,2228.56,*
Indonesia,2271.82,829.88,1435.06,*
Iran,*,*,*,-0.01
Iraq,*,*,*,*
Ireland,1130701.85,1071016.89,50824.26,8860.70
Isle of Man,3859.63,2489.38,1289.02,*
Israel,153807.32,92671.27,56050.57,5085.48
Italy,86850.22,80467.20,4085.00,2298.02
Jamaica,*,*,*,*
Japan,974821.42,790311.11,175782.80,8727.51
Jersey,24479.62,12669.95,6307.64,5502.03
Jordan,*,*,*,*
Kazakhstan,*,*,*,*
Kenya,*,*,*,*
Kiribati,*,*,*,0.00
"Korea, South",485826.53,304559.96,93660.99,87605.58
Kosovo,*,*,*,-0.00
Kuwait,341103.50,314636.94,17903.86,8562.70
Kyrgyzstan,*,*,*,*
Laos,*,*,*,0.00
Latvia,654.94,606.64,*,*
Lebanon,*,*,*,*
Lesotho,*,*,*,-0.01
Liberia,1026.08,*,569.22,*
Libya,*,*,*,*
Liechtenstein,31715.18,10762.78,20519.24,*
Lithuania,*,*,*,*
Luxembourg,1233104.84,1107029.99,87599.08,38475.77
Macau,3054.38,2944.05,*,*
Macedonia,*,*,*,0.00
Madagascar,*,*,*,0.00
Malawi,*,*,*,0.00
Malaysia,41284.70,34450.63,3602.13,3231.94
Maldives,*,*,*,*
Mali,*,*,*,*
Malta,3238.46,1586.21,1441.06,*
Marshall Islands,2168.14,1347.66,710.24,*
Martinique,*,*,*,0.00
Mauritania,*,*,*,*
Mauritius,1054.58,*,*,*
Mayotte,0.00,0.00,0.00,0.00
Mexico,107622.66,26953.89,78421.23,2247.54
Moldova,*,*,*,0.00
Monaco,3163.14,2165.08,933.83,*
Mongolia,*,*,*,*
Montenegro,*,*,*,-0.00
Montserrat,*,*,*,*
Morocco,*,*,*,-0.00
Mozambique,*,*,*,*
Namibia,555.55,525.25,*,-0.00
Nauru,*,*,*,*
Nepal,*,*,*,*
Netherlands,379918.54,279605.94,69909.87,30402.73
Netherlands Antilles,*,NA,NA,NA
New Caledonia,1366.59,1303.93,*,*
New Zealand,49445.59,39503.57,6752.08,3189.94
Nicaragua,*,*,*,*
Niger,*,0.00,*,0.00
Nigeria,*,*,*,*
Niue,*,*,*,0.00
Norway,688876.09,641207.04,47336.52,*
Oman,10753.97,3340.77,7051.54,*
Pakistan,*,*,*,*
Palau,*,*,*,*
Panama,20357.46,10531.06,8628.04,1198.36
Papua New Guinea,*,*,*,0.00
Paraguay,*,*,*,*
Peru,8679.81,1403.71,6550.69,725.41
Philippines,2990.32,827.10,2158.24,*
Pitcairn Island,*,*,0.00,0.00
Poland,3670.76,2936.37,524.73,*
Portugal,11597.78,4566.95,6762.46,*
Qatar,43115.08,36981.19,4630.88,1503.01
Reunion,*,*,*,0.00
Romania,771.16,710.21,*,*
Russia,562.77,*,*,*
Rwanda,*,*,*,*
Saint Helena,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,4965.45,2670.74,2089.29,*
Saint Lucia,*,*,*,*
Saint Martin and Saint Barthelemy,*,*,*,*
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,*,*,*
Samoa,1060.83,*,561.47,*
San Marino,*,*,*,*
Sao Tome and Principe,*,0.00,*,0.00
Saudi Arabia,202127.44,135300.22,36903.11,29924.11
Senegal,*,*,*,*
Serbia,*,*,*,*
Seychelles,689.69,509.99,*,*
Sierra Leone,*,*,*,*
Singapore,565963.05,290088.72,97747.25,178127.08
Sint Maarten,*,*,*,*
Slovakia,*,*,*,*
Slovenia,3928.93,3443.86,*,*
Solomon Islands,0.00,0.00,0.00,0.00
Somalia,*,*,*,0.00
South Africa,25018.21,18914.83,5075.62,1027.76
South Sudan,0.00,0.00,0.00,0.00
Spain,63634.85,54766.73,7796.35,1071.77
Sri Lanka,*,*,*,*
Sudan,*,*,*,0.00
Suriname,*,*,*,*
Eswatini,*,*,*,0.00
Sweden,396020.69,369415.98,16769.74,9834.97
Switzerland,791565.61,696581.83,86488.12,8495.66
Syria,*,*,*,0.00
Taiwan,145814.29,83031.00,58168.01,4615.28
Tajikistan,*,*,*,0.00
Tanzania,*,*,*,0.00
Thailand,23505.63,11328.29,11374.08,803.26
Togo,*,*,*,*
Tokelau,*,*,*,0.00
Tonga,*,*,*,-0.01
Trinidad and Tobago,5421.11,4353.86,1019.05,*
Tunisia,*,*,*,0.00
Turkey,1350.94,817.11,*,*
Turkmenistan,*,*,*,0.00
Turks and Caicos Isl.,1600.92,*,1106.70,*
Tuvalu,0.00,0.00,0.00,0.00
Uganda,*,*,*,*
Ukraine,*,*,*,*
United Arab Emirates,213562.02,131242.70,54082.42,28236.90
United Kingdom,1742589.88,1479939.18,160880.24,101770.46
Uruguay,3945.46,1760.93,2058.83,*
Uzbekistan,*,*,*,*
Vanuatu,*,*,*,*
Venezuela,2995.63,1879.56,988.99,*
Vietnam,*,*,*,*
Wallis and Futuna,*,*,0.00,0.00
West Bank and Gaza,*,*,*,*
Western Sahara,*,*,*,0.00
Yemen,*,*,*,0.00
Zambia,*,*,*,*
Zimbabwe,*,*,*,0.00
Int. and reg. org.,18263.43,7803.49,8657.73,1802.21
Country Unknown,*,*,*,*
Total Africa,33141.11,23203.01,8236.59,1701.51
Total Asia,3819239.65,2711133.67,727490.16,380615.82
Total Caribbean,2205139.80,1099199.02,831639.31,274301.47
Total Europe,8129511.55,7140603.48,713269.76,275638.31
Total Latin America,253524.39,70641.82,174314.19,8568.38
Australia/Oceania,652962.23,488552.57,84623.28,79786.38
Total,16878225.99,12906975.75,2884080.38,1087169.86
Holdings of FOI,1964613.52,1623140.08,232717.27,108756.17

