"Table A9.  Foreign Holdings of U.S. Long-Term Asset-Backed Securities, by Country and"
"Security Type, as of June 30, 2024"
"Millions of dollars"
"","Total","Agency","","Corporate ABS"
"Countries and Regions","LT ABS","ABS","Total","MBS","NonMBS"
"Albania","*",0,"*","*",0
"Andorra","*",0,"*",0,"*"
"Angola","*","*",0,0,0
"Anguilla","*","*","*",0,"*"
"Antigua and Barbuda","*","*","*","*",0
"Argentina","*","*","*","*","*"
"Aruba","*","*","*","*","*"
"Australia",18972,14007,4965,3494,1471
"Austria","*","*","*","*","*"
"Azerbaijan","*","*",0,0,0
"Bahamas",36726,36383,"*","*","*"
"Bahrain","*","*","*","*","*"
"Barbados",8916,1131,7785,5696,2089
"Belgium",27889,16342,11546,2137,9410
"Belize","*","*","*",0,"*"
"Bermuda",48079,25118,22961,15038,7923
"Bolivia","*","*","*",0,"*"
"Botswana","*","*","*","*","*"
"Brazil","*","*","*","*","*"
"British Virgin Islands",3258,2014,1244,584,661
"Brunei","*",0,"*","*","*"
"Bulgaria","*","*",0,0,0
"Cambodia",743,743,0,0,0
"Canada",180729,151156,29574,18542,11032
"Cayman Islands",106919,39123,67797,46038,21759
"Chile",1298,1220,"*","*","*"
"China, mainland",236959,232531,4429,2809,1620
"Colombia",1383,1061,"*","*","*"
"Costa Rica","*","*","*","*","*"
"Curacao","*","*","*","*","*"
"Cyprus","*","*","*",0,"*"
"Czech Republic",1732,1732,"*","*",0
"Denmark",536,"*","*","*","*"
"Dominica","*",0,"*",0,"*"
"Dominican Republic","*","*","*","*","*"
"Ecuador","*","*","*","*","*"
"El Salvador","*","*","*","*","*"
"Federated States of Micronesia","*","*",0,0,0
"Finland","*",0,"*",0,"*"
"France",35562,26061,9501,6338,3163
"French Polynesia","*","*","*",0,"*"
"Germany",10788,4213,6575,"*",6192
"Ghana","*","*",0,0,0
"Gibraltar","*","*","*",0,"*"
"Greece","*","*","*",0,"*"
"Guatemala",1823,1813,"*","*","*"
"Guernsey","*","*","*","*","*"
"Guyana","*","*","*","*","*"
"Haiti","*","*","*","*","*"
"Honduras","*","*","*","*","*"
"Hong Kong",11045,9152,1893,1149,743
"Hungary",2555,2555,0,0,0
"India","*","*","*",0,"*"
"Indonesia",10741,10553,"*","*","*"
"Ireland",70444,36241,34203,30223,3980
"Isle of Man","*",0,"*",0,"*"
"Israel",3942,3529,"*","*","*"
"Italy",1217,750,"*","*","*"
"Jamaica","*","*",0,0,0
"Japan",252786,241509,11276,5847,5429
"Jersey",677,"*","*","*","*"
"Kazakhstan","*",0,"*",0,"*"
"Kenya","*","*",0,0,0
"Korea, South",36135,33765,2370,1770,599
"Kuwait",7835,4992,2844,1851,993
"Latvia",1237,843,"*","*","*"
"Lebanon","*","*","*",0,"*"
"Liberia","*","*",0,0,0
"Liechtenstein","*","*","*","*","*"
"Lithuania","*","*",0,0,0
"Luxembourg",68434,48872,19562,8900,10662
"Macau",804,603,"*","*","*"
"Malaysia",16528,16526,"*","*","*"
"Malta","*","*",0,0,0
"Marshall Islands","*","*","*","*","*"
"Mauritius","*","*","*",0,"*"
"Mexico",8650,8440,"*","*","*"
"Monaco","*","*","*","*","*"
"Morocco","*","*",0,0,0
"Namibia","*","*","*","*",0
"Netherlands",19602,18526,1076,556,520
"New Zealand",1364,1135,"*","*","*"
"Nicaragua","*","*","*",0,"*"
"Nigeria","*","*","*",0,"*"
"Norway","*","*","*","*","*"
"Oman","*","*","*",0,"*"
"Pakistan","*","*",0,0,0
"Palau","*","*","*",0,"*"
"Panama",1425,921,504,"*","*"
"Paraguay","*",0,"*",0,"*"
"Peru","*","*","*","*","*"
"Philippines","*","*","*","*","*"
"Poland","*","*","*",0,"*"
"Portugal","*","*","*","*","*"
"Qatar","*","*","*","*","*"
"Romania","*",0,"*",0,"*"
"Rwanda","*","*",0,0,0
"Saint Kitts and Nevis","*","*","*","*","*"
"Saint Lucia","*",0,"*",0,"*"
"Samoa","*","*",0,0,0
"Saudi Arabia",8919,8143,776,"*","*"
"Serbia","*",0,"*",0,"*"
"Seychelles","*","*","*",0,"*"
"Singapore",28754,10708,18046,10541,7504
"Sint Maarten","*","*",0,0,0
"Slovakia","*",0,"*",0,"*"
"South Africa",810,668,"*",0,"*"
"Spain",6748,6150,598,"*","*"
"Suriname","*","*",0,0,0
"Sweden","*","*","*","*","*"
"Switzerland",13078,9465,3614,1923,1691
"Taiwan",194013,191995,2018,1616,"*"
"Thailand",11049,11045,"*","*","*"
"Trinidad and Tobago",1181,628,553,"*","*"
"Turkey","*","*","*",0,"*"
"Turks and Caicos Isl.","*","*","*","*","*"
"Uganda","*","*","*","*","*"
"United Arab Emirates",4227,3567,660,"*","*"
"United Kingdom",63264,44382,18882,10705,8176
"Uruguay","*","*","*","*","*"
"Venezuela","*","*","*","*","*"
"Vietnam","*","*",0,0,0
"Int. and reg. org.",12818,6692,6126,"*",5680
"Country Unknown","*","*",0,0,0
""
"Total",1587799,1291297,296502,179770,116732
""
"of which: Holdings of foreign official"
"institutions",604362,582007,22355,11880,10475
""
"Totals by Region:"
"Total Africa",1473,1257,"*","*","*"
"Total Asia",825512,780225,45288,26798,18490
"Total Caribbean",205763,104730,101034,67799,33234
"Total Europe",325608,217744,107864,62104,45760
"Total Latin America",15504,14304,1200,"*",843
"Canada",180729,151156,29574,18542,11032
"Australia/Oceania",20390,15190,5200,3689,1511
"Country Unknown","*","*",0,0,0
"Int. and reg. org.",12818,6692,6126,"*",5680
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
