"Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as"
"of June 30, 2024"
"Millions of dollars"
"","","","","","of which: Comme","rcial Paper"
"","","","","Total","","Asset-backed"
"Countries and Regions","Total ST","Treasury","Agency","Corporate","Total CP","CP"
"Albania","*",0,0,"*",0,0
"Algeria",674,674,0,0,0,0
"Andorra","*","*",0,"*",0,0
"Angola",746,746,0,"*",0,0
"Anguilla","*","*",0,"*",0,0
"Antigua and Barbuda","*","*",0,0,0,0
"Argentina",6461,6428,"*","*","*",0
"Armenia","*","*",0,"*",0,0
"Aruba","*","*",0,"*",0,0
"Australia",9090,8013,"*",1049,506,0
"Austria",2384,2220,0,"*",0,0
"Azerbaijan","*","*",0,0,0,0
"Bahamas",35040,34703,"*","*","*",0
"Bahrain","*","*",0,"*",0,0
"Bangladesh","*","*",0,"*",0,0
"Barbados",1615,1556,0,"*","*",0
"Belgium",52864,51127,"*",1731,762,0
"Belize","*","*",0,"*",0,0
"Bermuda",42509,40463,529,1517,1282,0
"Bolivia","*","*",0,"*","*",0
"Bonaire, Sint Eustatius and Saba","*","*",0,0,0,0
"Bosnia and Herzegovina","*",0,0,"*",0,0
"Botswana","*","*",0,0,0,0
"Brazil",3614,3209,0,"*","*",0
"British Indian Ocean Territory","*","*",0,0,0,0
"British Virgin Islands",22774,22360,"*","*","*",0
"Brunei",877,877,0,0,0,0
"Bulgaria","*","*",0,"*",0,0
"Cambodia","*","*",0,0,0,0
"Canada",37456,33490,541,3425,2990,0
"Cayman Islands",147994,142381,739,4874,1786,0
"Central African Republic","*","*",0,0,0,0
"Chile",7163,6631,0,532,0,0
"China, mainland",28142,27500,"*",640,"*",0
"Colombia",4367,4329,"*","*","*",0
"Comoros","*","*",0,"*",0,0
"Congo (Kinshasa)","*","*",0,0,0,0
"Cook Islands","*","*",0,"*",0,0
"Costa Rica",1029,1014,0,"*","*",0
"Croatia","*","*",0,"*",0,0
"Curacao",1013,995,0,"*","*",0
"Cyprus","*","*",0,"*",0,0
"Czech Republic","*","*",0,"*",0,0
"Denmark",3300,3278,0,"*","*",0
"Dominica","*","*",0,0,0,0
"Dominican Republic","*","*",0,"*","*",0
"Ecuador",999,982,0,"*","*",0
"Egypt","*","*",0,"*",0,0
"El Salvador","*","*",0,"*","*",0
"Equatorial Guinea","*","*",0,0,0,0
"Estonia","*","*",0,0,0,0
"Federated States of Micronesia","*","*",0,"*",0,0
"Finland","*","*",0,"*",0,0
"France",18448,17201,0,1247,1147,0
"French Polynesia","*","*",0,"*",0,0
"Gambia","*","*",0,0,0,0
"Georgia","*","*",0,"*",0,0
"Germany",14152,13195,"*",948,702,0
"Ghana","*","*",0,0,0,0
"Gibraltar","*","*",0,0,0,0
"Greece",930,921,"*","*",0,0
"Grenada","*","*",0,"*",0,0
"Guatemala",1572,1563,0,"*",0,0
"Guernsey",2199,2034,"*","*","*",0
"Guyana","*","*",0,0,0,0
"Haiti","*","*",0,"*",0,0
"Honduras","*","*",0,"*",0,0
"Hong Kong",32885,32708,"*","*","*",0
"Hungary",653,652,0,"*",0,0
"Iceland","*","*",0,0,0,0
"India",8695,8620,0,"*",0,0
"Indonesia",3107,2459,"*",647,"*",0
"Iran","*","*",0,0,0,0
"Ireland",180439,92260,1689,86489,43232,0
"Isle of Man",537,"*",0,"*","*",0
"Israel",9630,8618,"*",533,"*",0
"Italy",8484,8465,"*","*","*",0
"Jamaica","*","*",0,"*",0,0
"Japan",75592,74248,"*",1343,1062,0
"Jersey",1883,1664,"*","*","*",0
"Jordan","*","*",0,0,0,0
