"June              June              June              June              June              June              June"
"2018              2019              2020              2021              2022              2023              2024"
""
"total_tot",10281629,10991368,11558608,12407260,11591332,11967296,12688019
"total_tot_1 year or less",874627,1061384,975488,1016439,1000700,1116992,1192871
"total_tot_1 to 2 years",1299466,1300601,1300539,1281832,1315275,1376209,1476424
"total_tot_2 to 3 years",1147984,1125074,1104093,1212459,1118716,1213194,1259077
"total_tot_3 to 4 years",963760,971271,987387,1106197,999730,997447,1156585
"total_tot_4 to 5 years",951277,943160,1118570,1134974,991083,1117579,1243614
"total_tot_5 to 6 years",646092,742523,756642,744409,756459,813834,703991
"total_tot_6 to 7 years",650716,678825,688393,806099,797958,632868,664280
"total_tot_7 to 8 years",430920,473208,445445,524684,460204,454496,494790
"total_tot_8 to 9 years",411628,390475,431005,460948,482369,455314,469403
"total_tot_9 to 10 years",334345,405461,468306,534464,451186,431164,494026
"total_tot_10 to 15 years",265979,268831,318997,356517,356017,392452,406262
"total_tot_15 to 20 years",357849,378771,453838,605957,586641,658508,748457
"total_tot_20 to 25 years",526223,636570,726895,681749,573007,562542,583917
"total_tot_25 to 30 years",1261083,1443689,1598668,1721935,1512255,1552490,1583060
"total_tot_30+ years",119027,128430,167693,197669,169503,176312,168493
"total_foi",4385782,4678973,4649079,4759428,4409100,4368208,4359398
"total_foi_1 year or less",408826,511620,448412,486976,461012,472979,472279
"total_foi_1 to 2 years",732516,689495,702101,594754,613863,594892,609383
"total_foi_2 to 3 years",617013,593020,520781,644677,488342,515389,499765
"total_foi_3 to 4 years",463923,437778,495182,515489,407814,386068,451496
"total_foi_4 to 5 years",416811,464154,502122,488818,383006,440210,464653
"total_foi_5 to 6 years",287304,327350,332810,258318,314497,322799,217550
"total_foi_6 to 7 years",272812,304416,245645,325915,329372,195847,252334
"total_foi_7 to 8 years",142950,144936,153616,144671,130536,172915,191569
"total_foi_8 to 9 years",129209,151752,147223,119169,180578,191801,181823
"total_foi_9 to 10 years",115542,141607,125844,184614,173871,152148,165929
"total_foi_10 to 15 years",32544,26840,26012,28352,31337,37108,42513
"total_foi_15 to 20 years",35790,38344,55989,141986,177338,201505,215621
"total_foi_20 to 25 years",227180,280542,307826,234062,173858,166178,155128
"total_foi_25 to 30 years",543358,603449,632453,636037,606840,599939,526253
"total_foi_30+ years",6741,8926,13412,16157,9280,8288,8171
"total_private",5895847,6312395,6909529,7647833,7182232,7599088,8328621
"total_private_1 year or less",465801,549764,527077,529463,539688,644014,720592
"total_private_1 to 2 years",566950,611106,598438,687079,701412,781318,867042
"total_private_2 to 3 years",530972,532054,583312,567782,630375,697805,759312
"total_private_3 to 4 years",499837,533493,492204,590708,591916,611379,705090
"total_private_4 to 5 years",534466,479007,616448,646156,608077,677369,778961
"total_private_5 to 6 years",358788,415173,423833,486091,441962,491035,486441
"total_private_6 to 7 years",377904,374409,442748,480184,468585,437021,411945
"total_private_7 to 8 years",287970,328273,291828,380012,329668,281582,303222
"total_private_8 to 9 years",282418,238723,283782,341780,301791,263513,287581
"total_private_9 to 10 years",218803,263854,342462,349850,277314,279016,328097
"total_private_10 to 15 years",233435,241991,292985,328165,324680,355344,363749
"total_private_15 to 20 years",322059,340426,397849,463972,409303,457003,532836
"total_private_20 to 25 years",299043,356028,419069,447687,399149,396364,428789
"total_private_25 to 30 years",717725,840240,966215,1085897,905415,952550,1056807
"total_private_30+ years",112286,119503,154281,181512,160223,168024,160322
""
""
""
""
""
""
"","June","June","June","June","June","June","June"
"",2018,2019,2020,2021,2022,2023,2024
""
"us_treasuries_tot",5466965,5903163,6005341,6574107,6481669,6638763,7110504
"us_treasuries_tot_1 year or less",635955,783058,714992,760253,767756,863685,895227
"us_treasuries_tot_1 to 2 years",977509,965902,977382,967442,1028470,1018223,1081828
"us_treasuries_tot_2 to 3 years",783486,750306,737150,897915,757889,808610,828568
"us_treasuries_tot_3 to 4 years",595503,598017,666937,696412,628514,616076,742398
"us_treasuries_tot_4 to 5 years",567461,616492,690880,706843,620416,735836,803767
"us_treasuries_tot_5 to 6 years",382022,447197,444577,381395,470352,506650,365742
"us_treasuries_tot_6 to 7 years",375340,410951,363034,502030,529243,334208,421989
"us_treasuries_tot_7 to 8 years",205717,213538,223490,243218,201578,261511,312122
"us_treasuries_tot_8 to 9 years",202923,230703,244918,191922,308242,298731,307737
"us_treasuries_tot_9 to 10 years",187599,244377,209594,325334,302024,278725,309887
"us_treasuries_tot_10 to 15 years",46207,22320,12828,18406,23704,24303,31807
"us_treasuries_tot_15 to 20 years",27474,36646,68198,219868,293839,369391,454660
"us_treasuries_tot_20 to 25 years",181651,258135,298498,273001,207459,198909,198269
"us_treasuries_tot_25 to 30 years",279841,301848,352827,390051,342163,323247,330203
"us_treasuries_tot_30+ years",0,0,0,0,0,0,0
"us_treasuries_foi",3650929,3852190,3762958,3940118,3606799,3543978,3557321
"us_treasuries_foi_1 year or less",385151,481786,427987,470713,449351,458033,452933
"us_treasuries_foi_1 to 2 years",704124,665996,677397,578884,594275,570120,583645
"us_treasuries_foi_2 to 3 years",594896,564943,498965,623725,464997,491804,473668
"us_treasuries_foi_3 to 4 years",444311,419588,477295,495741,388814,366550,427168
"us_treasuries_foi_4 to 5 years",398152,446245,475538,469454,363706,420839,439412
"us_treasuries_foi_5 to 6 years",275395,313151,317278,241808,299914,308286,196534
"us_treasuries_foi_6 to 7 years",259919,292001,228983,312143,317694,179927,237261
"us_treasuries_foi_7 to 8 years",133306,133351,142748,133688,116612,161928,180633
"us_treasuries_foi_8 to 9 years",119333,143259,136335,104364,170741,181981,171086
"us_treasuries_foi_9 to 10 years",105891,131609,106702,172075,163962,141357,149224
"us_treasuries_foi_10 to 15 years",19747,8506,2136,2570,4362,5947,7584
"us_treasuries_foi_15 to 20 years",12373,13133,23331,107066,141745,158506,168583
"us_treasuries_foi_20 to 25 years",117439,157614,163988,120926,72617,69130,60848
"us_treasuries_foi_25 to 30 years",109539,109836,129509,149116,107207,92080,69882
"us_treasuries_foi_30+ years",0,0,0,0,0,0,0
"us_treasuries_private",1816036,2050972,2242383,2633989,2874870,3094784,3553183
"us_treasuries_private_1 year or less",250804,301272,287005,289539,318405,405652,442294
"us_treasuries_private_1 to 2 years",273386,299905,299985,388558,434195,448104,498184
"us_treasuries_private_2 to 3 years",188590,185362,238185,274190,292891,316806,354900
"us_treasuries_private_3 to 4 years",151192,178428,189642,200671,239700,249526,315230
"us_treasuries_private_4 to 5 years",169309,170247,215342,237389,256710,314997,364354
"us_treasuries_private_5 to 6 years",106627,134046,127300,139587,170438,198364,169208
"us_treasuries_private_6 to 7 years",115421,118950,134051,189887,211549,154281,184727
"us_treasuries_private_7 to 8 years",72410,80187,80742,109530,84966,99583,131489
"us_treasuries_private_8 to 9 years",83590,87444,108583,87558,137501,116750,136651
"us_treasuries_private_9 to 10 years",81708,112768,102893,153259,138062,137369,160663
"us_treasuries_private_10 to 15 years",26459,13814,10693,15836,19342,18356,24223
"us_treasuries_private_15 to 20 years",15101,23514,44867,112802,152094,210885,286077
"us_treasuries_private_20 to 25 years",64212,100521,134510,152075,134842,129779,137421
"us_treasuries_private_25 to 30 years",170302,192012,223317,240935,234956,231167,260321
"us_treasuries_private_30+ years",0,0,0,0,0,0,0
""
""
""
""
""
""
"","June","June","June","June","June","June","June"
"",2018,2019,2020,2021,2022,2023,2024
""
"agencies_tot",1024200,1144971,1222537,1252339,1193689,1269623,1330019
"agencies_tot_1 year or less",15655,20156,11731,13275,9342,14771,12986
"agencies_tot_1 to 2 years",22313,13643,16232,9091,10118,14609,11688
"agencies_tot_2 to 3 years",12293,13058,7895,9819,9871,10408,9156
"agencies_tot_3 to 4 years",9648,4308,4876,7765,8893,8247,6593
"agencies_tot_4 to 5 years",5986,4842,11283,9333,10882,6102,11366
"agencies_tot_5 to 6 years",3714,7055,4514,8235,7148,7370,6266
"agencies_tot_6 to 7 years",7344,3352,7596,6808,11513,7719,7310
"agencies_tot_7 to 8 years",3525,4412,5412,8644,8345,6428,8583
"agencies_tot_8 to 9 years",5625,6010,9401,11815,8591,10021,10556
"agencies_tot_9 to 10 years",5199,10337,11878,10051,9709,11071,9161
