                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A4.  Foreign Holdings of U.S. Short-Term Debt Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2018            2019            2020            2021            2022            2023            2024            2025
  Afghanistan                                          0               *               0               1               0               0               0               0
  Albania                                              0               0               0               0               *               *               *               *
  Algeria                                              1               1               1               1               1               1               1               1
  Andorra                                              *               *               *               *               *               *               *               *
  Angola                                               *               0               0               0               0               *               1               1
  Anguilla                                             *               *               *               *               *               *               *               *
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            2               6               4               2               3               7               6               6
  Armenia                                              0               *               *               *               *               *               *               *
  Aruba                                                *               *               *               *               *               *               *               *
  Australia                                           10               8              11               9               9              14               9              10
  Austria                                              *               1               1               *               1               1               2               2
  Azerbaijan                                           1               *               1               *               1               1               *               2
  Bahamas                                              5               4               4              12              29              14              35              18
  Bahrain                                              *               1               1               1               1               1               *               3
  Bangladesh                                           1               1               1               1               1               *               *               *
  Barbados                                             1               1               1               1               1               2               2               1
  Belgium                                             31              27              46              34              41              72              53              81
  Belize                                               *               *               *               *               *               *               *               *
  Bermuda                                             21              26              33              34              39              45              43              44
  Bolivia                                              1               2               1               *               *               *               *               *
  Bonaire, Sint Eustatius and Saba                     *               *               0               0               0               *               *               *
  Bosnia and Herzegovina                               0               0               0               0               0               0               *               *
  Botswana                                             *               *               *               0               *               *               *               *
  Brazil                                               8               3              16               1               1               5               4               5
  British Indian Ocean Territory                       *               0               0               0               0               *               *               0
  British Virgin Islands                              13              14               8               5               8              23              23              23
  Brunei                                               *               *               *               *               1               1               1               1
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         *               *               0               0               1              18               0               *
  Burma                                                0               0               *               *               0               0               0               0
  Burundi                                              0               0               0               0               0               *               0               *
  Cambodia                                             *               *               0               0               *               *               *               *
  Cameroon                                             0               0               0               0               0               0               0               *
  Canada                                              19              16              29              20              21              30              37              39
  Cape Verde                                           *               *               *               *               0               *               0               0
  Cayman Islands                                     115              99             124             126             143             128             148             158
  Central African Republic                             0               0               0               0               0               0               *               0
  Chile                                               10               4               8               5               7               4               7               3
  China, Mainland                                      5               4              34               3               2               5              28              75
  Colombia                                             2               1               2               *               1               2               4               4
  Comoros                                              0               0               0               0               0               0               *               *
  Congo (Kinshasa)                                     0               0               0               0               0               *               *               *
  Cook Islands                                         0               *               *               *               *               *               *               *
  Costa Rica                                           *               *               *               *               *               1               1               1
  Croatia                                              *               *               *               *               1               *               *               *
  Curacao                                              1               1               1               1               2               1               1               2
  Cyprus                                               *               *               *               *               *               *               *               *
  Czech Republic                                       *               *               2               *               *               *               *               *
  Denmark                                              1               1               4               1               1               3               3               2
  Dominica                                             *               *               *               *               *               *               *               *
  Dominican Republic                                   *               *               *               *               *               *               *               1
  Ecuador                                              *               *               *               *               *               1               1               1
  Egypt                                               18              18              15              15               5               3               *               1
  El Salvador                                          *               1               1               *               *               *               *              88
  Equatorial Guinea                                    0               0               0               0               0               0               *               0
  Estonia                                              *               *               *               *               *               *               *               *
  Ethiopia                                             *               *               0               0               0               *               0               0
  Federated States of Micronesia                       *               *               0               0               0               *               *               *
  Fiji                                                 *               *               *               0               0               0               0               0
  Finland                                              *               *               1               1               *               1               *               *
  France                                              18              19              25              20              18              22              18              20
  French Guiana                                        0               0               0               0               0               0               0               *
  French Polynesia                                     *               *               *               *               *               *               *               *
  Gabon                                                0               0               *               0               *               *               0               *
  Gambia                                               0               *               *               *               *               *               *               *
  Georgia                                              0               0               0               0               0               *               *               *
  Germany                                              7              11              12               8               8              13              14              23
  Ghana                                                *               *               *               *               *               *               *               *
  Gibraltar                                            *               *               *               *               *               *               *               *
  Greece                                               *               1               1               2               1               2               1               1
  Grenada                                              0               *               *               *               *               *               *               *
  Guatemala                                            *               *               *               *               1               1               2               1
  Guernsey                                             1               2               2               3               2               2               2               3
  Guinea                                               0               *               0               0               0               0               0               0
  Guyana                                               0               *               0               0               0               *               *               *
