"Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as"
"of June 30, 2025"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Afghanistan","*","*","*","*",0,"*",0
"Albania",1288,"*",1279,1253,"*","*","*"
"Algeria",684,"*","*","*",0,"*",675
"Andorra",4236,2270,1764,759,"*",1005,"*"
"Angola",2399,560,1240,1178,"*","*",600
"Anguilla",1390,916,"*","*","*","*","*"
"Antigua and Barbuda",622,"*","*","*","*","*","*"
"Argentina",23323,11180,5712,3409,"*",2280,6430
"Armenia",1142,"*",715,713,0,"*","*"
"Aruba",2047,"*",1654,647,"*",674,"*"
"Australia",804416,693573,100350,53104,6808,40438,10493
"Austria",46517,37275,7556,4988,"*",2563,1686
"Azerbaijan",21158,10185,8776,8300,"*","*",2197
"Bahamas",71088,34244,19032,7972,1202,9858,17812
"Bahrain",4635,1113,"*","*","*","*",3455
"Bangladesh",4181,"*",4160,4159,"*","*","*"
"Barbados",22473,3052,18149,1529,2590,14030,1272
"Belarus","*","*","*",0,0,"*",0
"Belgium",1180639,134916,965034,349114,15783,600137,80690
"Belize",1850,820,693,"*","*","*","*"
"Benin","*","*",0,0,0,0,0
"Bermuda",466264,150128,272485,52729,30494,189261,43651
"Bhutan","*","*","*","*","*","*",0
"Bolivia",1468,"*",772,"*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*",0,0,"*","*"
"Bosnia and Herzegovina","*","*","*",0,0,"*","*"
"Botswana",2208,1725,"*","*","*","*","*"
"Brazil",243412,25077,213679,211366,"*",2188,4656
"British Indian Ocean Territory","*","*","*",0,0,"*",0
"British Virgin Islands",354087,190230,140937,55856,44989,40091,22921
"Brunei",4592,2660,879,605,"*","*",1052
"Bulgaria",1348,947,"*","*","*","*","*"
"Burkina Faso","*","*",0,0,0,0,"*"
"Burma","*","*",0,0,0,0,0
"Burundi","*","*","*",0,0,"*","*"
"Cambodia",8122,"*",7631,6585,850,"*","*"
"Cameroon","*","*","*",0,0,"*","*"
"Canada",2899665,2065248,794994,405427,159785,229782,39422
"Cape Verde","*","*","*","*",0,"*",0
"Cayman Islands",3180295,2160062,861771,286251,56424,519096,158461
"Central African Republic","*","*",0,0,0,0,0
"Chad","*","*",0,0,0,0,0
"Chile",94376,49262,42241,36552,1106,4582,2874
"China, Mainland",1278617,344470,859048,656511,186036,16501,75099
"Colombia",92561,38146,50732,39292,750,10691,3683
"Comoros","*","*","*","*",0,0,"*"
"Congo (Brazzaville)","*","*",0,0,0,0,0
"Congo (Kinshasa)","*","*","*","*","*",0,"*"
"Cook Islands","*","*","*","*",0,"*","*"
"Costa Rica",11542,6003,4490,2700,"*",1768,1049
"Cote d`Ivoire",1648,1648,"*","*",0,"*",0
"Croatia",2722,1342,1233,1216,"*","*","*"
"Cuba","*","*",0,0,0,0,0
"Curacao",7524,2838,3174,1609,"*",1539,1512
"Cyprus",11770,9981,1313,"*","*",893,"*"
"Czech Republic",48291,17322,30916,28911,1888,"*","*"
"Denmark",301745,269273,30254,8766,"*",21407,2218
"Djibouti","*","*",0,0,0,0,0
"Dominica","*","*","*","*","*","*","*"
"Dominican Republic",8258,"*",7210,6633,"*","*",554
"East Timor",13987,3579,10409,10409,0,0,0
"Ecuador",2819,868,950,"*","*",554,1000
"Egypt",1278,557,"*","*","*","*",508
"El Salvador",90364,1219,1185,866,"*","*",87960
"Equatorial Guinea","*","*","*","*",0,0,0
"Eritrea","*","*","*",0,0,"*",0
"Estonia",3144,2310,695,667,0,"*","*"
"Ethiopia","*","*","*",0,0,"*",0
"Falkland Islands","*","*",0,0,0,0,0
"Faroe Islands","*","*",0,0,0,0,0
"Federated States of Micronesia","*","*","*","*","*","*","*"
"Fiji","*","*","*","*",0,"*",0
"Finland",97098,82683,14048,9083,"*",4959,"*"
"France",1081870,601215,460306,353742,36880,69684,20349
"French Guiana","*","*","*","*",0,"*","*"
"French Polynesia","*","*","*","*","*","*","*"
"Gabon","*","*","*","*",0,"*","*"
"Gambia","*","*",0,0,0,0,"*"
"Georgia","*","*","*","*","*","*","*"
"Germany",800450,572073,205408,77026,4752,123630,22969
"Ghana",1890,"*",1719,1462,"*","*","*"
"Gibraltar",1574,883,625,"*","*",600,"*"
"Greece",6473,2723,2465,2143,"*","*",1284
"Grenada",772,"*",525,"*","*","*","*"
"Guadeloupe","*","*",0,0,0,0,0
"Guatemala",19090,803,17627,13236,3153,1238,659
"Guernsey",104667,81267,20426,7748,"*",12479,2974
"Guinea","*","*",0,0,0,0,0
"Guinea-Bissau","*","*",0,0,0,0,0
"Guyana",535,"*","*","*","*","*","*"
"Haiti",2021,"*",1834,606,"*",831,"*"
"Holy See (Vatican)","*","*","*","*",0,"*",0
"Honduras",4231,"*",3857,3602,"*","*","*"
"Hong Kong",607895,263097,293035,190469,11505,91061,51762
"Hungary",5543,1418,3587,797,2674,"*",537
"Iceland",2873,2199,"*","*","*","*","*"
"India",256756,28731,212031,211120,"*",741,15993
"Indonesia",45586,1424,37866,26802,8764,2300,6295
"Iran","*","*",0,0,0,0,0
"Iraq",10749,"*",10748,10748,0,0,0
"Ireland",2222259,1469030,549083,219786,33591,295706,204147
"Isle of Man",9573,6936,2046,1253,"*",784,590
"Israel",314409,182523,105161,75418,5217,24526,26726
"Italy",184926,99331,80903,55102,610,25191,4692
"Jamaica",2834,"*",1892,1154,"*",656,515
"Japan",2882912,1168726,1589301,1023937,250323,315041,124886
"Jersey",38950,27495,9855,5012,"*",4383,1601
"Jordan",2843,"*",2685,2675,"*","*","*"
"Kazakhstan",12837,"*",6129,3086,"*",3031,6231
"Kenya",5588,"*",5079,5026,"*","*","*"
"Kiribati","*","*",0,0,0,0,0
"Korea, South",804325,591938,204377,119546,34394,50437,8010
"Kosovo","*","*","*","*",0,"*","*"
"Kuwait",495067,377219,106584,57126,5592,43866,11264
"Kyrgyzstan","*","*",0,0,0,0,0
"Laos","*","*","*",0,0,"*",0
"Latvia",2928,1372,1441,"*",884,"*","*"
"Lebanon","*","*","*","*","*","*","*"
"Lesotho","*","*","*","*","*",0,"*"
"Liberia",2199,1213,"*","*","*","*",510
"Libya",1517,"*",1407,1407,0,0,"*"
"Liechtenstein",38023,36072,1599,"*","*",1358,"*"
"Lithuania",2791,"*",2384,2036,"*","*","*"
"Luxembourg",2640654,1356936,1123952,308148,76710,739095,159765
"Macau",12994,3566,9139,5985,1152,2003,"*"
"Macedonia","*","*",0,0,0,0,0
"Madagascar",1620,"*",1600,1595,"*","*",0
"Malawi","*","*","*","*","*","*",0
"Malaysia",90845,54089,36673,15260,19152,2261,"*"
"Maldives","*","*","*","*",0,0,0
"Mali","*","*",0,0,0,0,0
"Malta",5745,3601,1910,"*","*",1592,"*"
"Marshall Islands",3839,2143,1124,"*","*",780,572
"Martinique","*","*","*",0,0,"*",0
"Mauritania","*","*","*","*","*","*",0
"Mauritius",3656,846,2368,1639,"*",726,"*"
"Mayotte","*","*",0,0,0,0,0
"Mexico",234885,121845,93870,75933,6566,11371,19169
"Moldova",1756,"*",1742,1742,0,0,"*"
"Monaco",5590,4080,986,680,"*","*",524
"Mongolia","*","*","*","*","*",0,"*"
"Montenegro","*","*","*",0,0,"*",0
"Montserrat","*","*","*","*","*","*","*"
"Morocco",4212,"*",3919,3543,"*","*","*"
"Mozambique",560,"*",550,536,"*","*","*"
"Namibia",884,610,"*","*","*","*","*"
"Nauru","*","*",0,0,0,0,0
"Nepal",5601,"*",4479,4478,"*","*",1113
"Netherlands",644089,461203,179309,79458,18306,81546,3577
"New Caledonia",1388,1316,"*",0,0,"*",0
"New Zealand",80114,59235,17896,13141,974,3781,2983
"Nicaragua","*","*","*","*","*","*","*"
"Niger","*","*",0,0,0,0,0
"Nigeria",8039,"*",7724,7149,"*","*","*"
"Niue","*","*",0,0,0,0,0
"Norway",1109152,826129,282595,194804,"*",87360,"*"
"Oman",20046,10673,8285,7732,"*","*",1088
"Pakistan","*","*","*","*","*","*","*"
"Palau","*","*","*","*","*","*","*"
"Panama",45653,23202,17715,4182,1727,11806,4736
"Papua New Guinea","*","*","*","*",0,0,"*"
"Paraguay",7922,"*",7193,6954,"*","*","*"
"Peru",57300,10873,43311,39328,752,3231,3117
"Philippines",61601,3454,55868,54409,669,791,2278
"Pitcairn Island","*","*",0,0,0,0,0
"Poland",71371,4876,57720,57644,"*","*",8775
"Portugal",15853,12821,2523,1401,"*",1116,510
"Qatar",82397,57854,23672,22923,"*",612,871
"Reunion","*","*",0,0,0,0,0
"Romania",11423,938,10465,10058,0,"*","*"
"Russia",2406,2293,"*","*","*","*","*"
"Rwanda",1019,"*",1014,962,"*","*","*"
"Saint Kitts and Nevis",12425,6903,4209,1232,"*",2858,1313
"Saint Lucia",1558,"*",925,"*","*","*","*"
"Saint Martin and Saint Barthelemy","*","*","*","*",0,"*","*"
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*"
"Samoa",1683,1316,"*","*","*","*","*"
"San Marino","*","*","*","*",0,"*",0
"Sao Tome and Principe","*","*","*","*",0,0,0
"Saudi Arabia",360881,215299,118568,103363,4051,11154,27015
"Senegal",696,645,"*","*",0,"*","*"
"Serbia",2803,"*",2262,2260,0,"*","*"
"Seychelles",1086,702,"*","*","*","*","*"
"Sierra Leone","*","*","*",0,0,"*","*"
"Singapore",1118412,758799,345453,239435,16509,89508,14160
"Sint Maarten","*","*","*","*","*","*","*"
"Slovakia",908,"*",624,603,0,"*","*"
"Slovenia",6015,4924,955,"*","*",728,"*"
"Solomon Islands","*",0,"*","*",0,0,0
"Somalia","*","*",0,0,0,0,0
"South Africa",45472,28130,12041,9543,637,1862,5301
"South Sudan","*","*",0,0,0,0,0
"Spain",153036,74808,74132,59352,7285,7495,4096
"Sri Lanka","*","*","*","*",0,"*","*"
"Sudan","*","*",0,0,0,0,0
"Suriname",711,"*","*","*","*","*","*"
"Eswatini","*","*","*","*","*","*","*"
"Sweden",454051,396013,57622,47911,"*",9675,"*"
"Switzerland",1376840,938993,375974,239277,8288,128409,61873
"Syria","*","*",0,0,0,0,0
"Taiwan",853747,172178,676627,303791,184545,188291,4943
"Tajikistan","*","*","*","*","*","*","*"
"Tanzania",1851,"*",1833,1826,"*","*","*"
"Thailand",127186,30317,75099,61437,10803,2860,21769
"Togo","*","*",0,0,0,0,0
"Tokelau","*","*",0,0,0,0,0
"Tonga","*","*",0,0,0,0,0
"Trinidad and Tobago",14900,5890,7428,2703,776,3950,1581
"Tunisia","*","*","*","*","*","*","*"
"Turkey",9144,1292,5678,5526,"*","*",2174
"Turkmenistan","*","*",0,0,0,0,0
"Turks and Caicos Isl.",2314,1641,538,"*","*","*","*"
"Uganda",1478,"*",1010,825,"*","*","*"
"Ukraine",13575,"*",12967,12952,"*","*","*"
"United Arab Emirates",333492,231325,43225,37668,988,4569,58943
"United Kingdom",3462111,2057156,1313506,768284,56410,488812,91449
"Uruguay",29010,4772,15732,12654,517,2562,8506
"Uzbekistan",870,"*","*","*","*",0,710
"Vanuatu","*","*","*","*",0,"*","*"
"Venezuela",5751,3355,1927,"*","*",1558,"*"
"Vietnam",29987,"*",29839,29835,"*","*","*"
"West Bank and Gaza","*","*",0,0,0,0,"*"
"Western Sahara","*","*",0,0,0,0,0
"Yemen","*","*",0,0,0,0,0
"Zambia","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*",0,"*","*"
"Int. and reg. org.",169815,19562,109074,63180,15077,30817,41178
"Country Unknown",116793,"*",116788,"*",0,116788,0
""
"Total",35348680,19859814,13839701,7664654,1344352,4830694,1649164
""
"of which: Holdings of foreign official"
"institutions",6906993,2229695,4272676,3499698,523825,249153,404622
""
"Totals by Region:"
"Total Africa",91679,37558,44450,38703,1660,4087,9672
"Total Asia",9833670,4504004,4872042,3283554,740917,847571,457623
"Total Caribbean",4151889,2558341,1343235,420787,137658,784791,250313
"Total Europe",16224559,9618111,5915829,2933867,266017,2715945,690618
"Euro area countries",9109887,4929046,3675274,1524950,195171,1955153,505567
"Total Latin America",967274,298459,522696,451872,15389,55435,146120
"Total Oceania",893335,758525,120592,67264,7850,45478,14218
""
