,Total,Equities,Total LT Debt,LT Debt Treasury,LT Debt Agency,LT Debt Corp,ST Debt
Afghanistan,*,*,*,*,0.00,*,0.00
Albania,1287.60,*,1279.39,1253.40,*,*,*
Algeria,684.08,*,*,*,0.00,*,674.84
Andorra,4235.84,2269.98,1764.17,759.44,*,1004.67,*
Angola,2399.42,559.76,1239.68,1178.21,*,*,599.98
Anguilla,1390.38,916.08,*,*,*,*,*
Antigua and Barbuda,621.72,*,*,*,*,*,*
Argentina,23322.79,11180.29,5712.29,3408.98,*,2280.28,6430.20
Armenia,1142.06,*,714.97,713.08,0.00,*,*
Aruba,2047.33,*,1654.48,647.29,*,674.39,*
Australia ,804415.57,693572.47,100349.98,53104.33,6807.89,40437.77,10493.12
Austria,46517.26,37274.89,7556.05,4987.95,*,2563.19,1686.32
Azerbaijan,21157.67,10185.48,8775.67,8299.54,*,*,2196.52
Bahamas,71087.72,34243.69,19032.37,7972.22,1202.18,9857.96,17811.67
Bahrain,4635.31,1113.34,*,*,*,*,3454.75
Bangladesh,4180.95,*,4159.54,4159.08,*,*,*
Barbados,22473.40,3052.04,18148.97,1529.02,2590.34,14029.61,1272.39
Belarus,*,*,*,0.00,0.00,*,0.00
Belgium,1180639.26,134915.49,965034.09,349114.35,15783.10,600136.64,80689.68
Belize,1850.47,819.95,693.14,*,*,*,*
Benin,*,*,0.00,0.00,0.00,0.00,0.00
Bermuda,466263.69,150127.67,272484.55,52729.21,30494.41,189260.94,43651.46
Bhutan,*,*,*,*,*,*,0.00
Bolivia,1468.10,*,772.21,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,0.00,0.00,*,*
Bosnia and Herzegovina,*,*,*,0.00,0.00,*,*
Botswana,2208.46,1725.24,*,*,*,*,*
Brazil,243412.00,25076.71,213678.95,211365.51,*,2188.39,4656.34
British Indian Ocean Territory,*,*,*,0.00,0.00,*,0.00
British Virgin Islands,354087.44,190229.77,140936.59,55856.21,44989.18,40091.20,22921.08
Brunei,4591.72,2660.37,879.41,605.29,*,*,1051.95
Bulgaria,1348.26,946.88,*,*,*,*,*
Burkina Faso,*,*,0.00,0.00,0.00,0.00,*
Burma,*,*,0.00,0.00,0.00,0.00,0.00
Burundi,*,*,*,0.00,0.00,*,*
Cambodia,8122.05,*,7630.54,6585.48,849.90,*,*
Cameroon,*,*,*,0.00,0.00,*,*
Canada,2899665.12,2065248.41,794994.34,405427.17,159784.91,229782.26,39422.38
Cape Verde,*,*,*,*,0.00,*,0.00
Cayman Islands,3180294.89,2160062.62,861771.10,286251.02,56424.12,519095.96,158461.16
Central African Republic,*,*,0.00,0.00,0.00,0.00,0.00
Chad,*,*,0.00,0.00,0.00,0.00,0.00
Chile,94376.41,49262.31,42240.57,36552.32,1105.95,4582.30,2873.52
"China, Mainland",1278616.60,344470.38,859047.59,656510.55,186036.21,16500.83,75098.63
Colombia,92560.97,38145.74,50732.45,39292.16,749.69,10690.60,3682.77
Comoros,*,*,*,*,0.00,0.00,*
Congo (Brazzaville),*,*,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,*,*,*,0.00,*
Cook Islands,*,*,*,*,0.00,*,*
Costa Rica,11541.92,6003.05,4490.12,2699.84,*,1767.50,1048.75
Cote d`Ivoire,1648.21,1648.17,*,*,0.00,*,0.00
Croatia,2721.87,1342.46,1232.53,1215.89,*,*,*
Cuba,*,*,0.00,0.00,0.00,0.00,0.00
Curacao,7524.16,2837.50,3174.49,1609.26,*,1539.41,1512.17
Cyprus,11770.49,9980.82,1312.52,*,*,892.92,*
Czech Republic,48291.11,17321.73,30915.80,28911.09,1887.53,*,*
Denmark,301745.40,269273.35,30254.16,8765.53,*,21407.39,2217.89
Djibouti,*,*,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,*,*,*,*,*
Dominican Republic,8258.04,*,7210.44,6632.56,*,*,553.76
East Timor,13987.37,3578.80,10408.57,10408.57,0.00,0.00,0.00
Ecuador,2818.62,868.24,950.19,*,*,554.05,1000.19
Egypt,1278.11,556.68,*,*,*,*,507.51
El Salvador,90364.16,1218.57,1185.49,866.00,*,*,87960.11
Equatorial Guinea,*,*,*,*,0.00,0.00,0.00
Eritrea,*,*,*,0.00,0.00,*,0.00
Estonia,3144.12,2309.95,695.11,666.58,0.00,*,*
Ethiopia,*,*,*,0.00,0.00,*,0.00
Falkland Islands,*,*,0.00,0.00,0.00,0.00,0.00
Faroe Islands,*,*,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,*,*,*,*,*
Fiji,*,*,*,*,0.00,*,0.00
Finland,97098.37,82683.44,14047.93,9082.72,*,4958.95,*
