                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2025
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Afghanistan                                               *               *               *               0               0               *               0
  Albania                                                1288               *            1253               *               0               *               *
  Algeria                                                   *               *               *               0               0               *               0
  Andorra                                                4034            2270             759               *               0            1005               0
  Angola                                                 1799             560            1178               0               *               *               0
  Anguilla                                               1304             916               *               *               *               *               *
  Antigua and Barbuda                                     578               *               *               *               0               *               *
  Argentina                                             16893           11180            3409               *               *            2276               *
  Armenia                                                 818               *             713               0               0               *               0
  Aruba                                                  2019               *             647               *               *               *               *
  Australia                                            793922          693573           53104               *            6712           35249            5189
  Austria                                               44831           37275            4988               *               *            2559               *
  Azerbaijan                                            18961           10185            8300               *               *               *               0
  Bahamas                                               53276           34244            7972               *             739            9770               *
  Bahrain                                                1181            1113               *               *               *               *               *
  Bangladesh                                             4181               *            4159               *               0               *               0
  Barbados                                              21201            3052            1529               *            2276            6607            7423
  Belarus                                                   *               *               0               0               0               *               0
  Belgium                                             1099950          134916          349114            2672           13112          589952           10184
  Belize                                                 1513             820               *               *               *               *               *
  Benin                                                     *               *               0               0               0               0               0
  Bermuda                                              422612          150128           52729            1863           28631          160871           28390
  Bhutan                                                    *               *               *               *               0               *               0
  Bolivia                                                1064               *               *               *               *               *               *
  Bonaire, Sint Eustatius and Saba                          *               *               0               0               0               *               0
  Bosnia and Herzegovina                                    *               *               0               0               0               *               0
  Botswana                                               2098            1725               *               0               *               *               *
  Brazil                                               238756           25077          211366               *               *            2104               *
  British Indian Ocean Territory                            *               *               0               0               0               *               0
  British Virgin Islands                               331166          190230           55856               *           44700           38711            1380
  Brunei                                                 3540            2660             605               *               0               *               *
  Bulgaria                                               1338             947               *               0               *               *               0
  Burkina Faso                                              *               *               0               0               0               0               0
  Burma                                                     *               *               0               0               0               0               0
  Burundi                                                   *               *               0               0               0               *               0
  Cambodia                                               7770               *            6585               *             840               *               0
  Cameroon                                                  *               *               0               0               0               *               0
  Canada                                              2860243         2065248          405427             789          158995          198791           30992
  Cape Verde                                                *               *               *               0               0               *               0
  Cayman Islands                                      3021834         2160062          286251            3513           52912          451096           68000
  Central African Republic                                  *               *               0               0               0               0               0
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 91503           49262           36552               *            1071            4499               *
  China, Mainland                                     1203518          344470          656511               *          185949           13040            3460
  Colombia                                              88878           38146           39292               *             535           10484               *
  Comoros                                                   *               *               *               0               0               0               0
  Congo (Brazzaville)                                       *               *               0               0               0               0               0
  Congo (Kinshasa)                                          *               *               *               0               *               0               0
  Cook Islands                                              *               *               *               0               0               *               0
  Costa Rica                                            10493            6003            2700               *               *            1748               *
  Cote d`Ivoire                                          1648            1648               *               0               0               *               0
  Croatia                                                2575            1342            1216               *               0               *               0
  Cuba                                                      *               *               0               0               0               0               0
  Curacao                                                6012            2838            1609               *               *            1513               *
  Cyprus                                                11293            9981               *               *               *             891               *
  Czech Republic                                        48238           17322           28911               *            1886               *               0
  Denmark                                              299528          269273            8766               *               *           21184               *
  Djibouti                                                  *               *               0               0               0               0               0
  Dominica                                                  *               *               *               *               0               *               0
  Dominican Republic                                     7704               *            6633               *               *               *               *
  East Timor                                            13987            3579           10409               0               0               0               0
  Ecuador                                                1818             868               *               *               *             553               *
  Egypt                                                   771             557               *               *               *               *               *
  El Salvador                                            2404            1219             866               *               *               *               *
  Equatorial Guinea                                         *               *               *               0               0               0               0
  Eritrea                                                   *               *               0               0               0               *               0
  Estonia                                                3005            2310             667               0               0               *               0
  Ethiopia                                                  *               *               0               0               0               *               0
  Falkland Islands                                          *               *               0               0               0               0               0
  Faroe Islands                                             *               *               0               0               0               0               0
  Federated States of Micronesia                            *               *               *               *               *               *               *
  Fiji                                                      *               *               *               0               0               *               0
  Finland                                               96731           82683            9083               *               *            4959               *
  France                                              1061521          601215          353742               *           36465           61526            8158
  French Guiana                                             *               *               *               0               0               *               0
  French Polynesia                                          *               *               *               0               *               *               *
  Gabon                                                     *               *               *               0               0               *               0
  Gambia                                                    *               *               0               0               0               0               0
  Georgia                                                   *               *               *               *               *               *               0
  Germany                                              777480          572073           77026               *            4642          120043            3587
  Ghana                                                  1751               *            1462               *               *               *               0
  Gibraltar                                              1508             883               *               *               *             599               *
  Greece                                                 5189            2723            2143               *               *               *               *
  Grenada                                                 673               *               *               *               *               *               0
  Guadeloupe                                                *               *               0               0               0               0               0
  Guatemala                                             18431             803           13236            1229            1924            1226               *
  Guernsey                                             101693           81267            7748               *               *           12249               *
  Guinea                                                    *               *               0               0               0               0               0
  Guinea-Bissau                                             *               *               0               0               0               0               0
  Guyana                                                    *               *               *               *               *               *               *
  Haiti                                                  1968               *             606               *               *             829               *
  Holy See (Vatican)                                        *               *               *               0               0               *               0
  Honduras                                               4044               *            3602               *               *               *               *
  Hong Kong                                            556132          263097          190469               *           11029           87655            3405
  Hungary                                                5005            1418             797               *            2673               *               0
  Iceland                                                2542            2199               *               *               0               *               0
  India                                                240763           28731          211120               *               *             740               *
  Indonesia                                             39290            1424           26802               *            8764            2168               *
  Iran                                                      *               *               0               0               0               0               0
  Iraq                                                  10749               *           10748               0               0               0               0
  Ireland                                             2018112         1469030          219786            1096           32495          260272           35434
  Isle of Man                                            8982            6936            1253               *               *             778               *
  Israel                                               287683          182523           75418            1331            3886           24052               *
  Italy                                                180234           99331           55102               *             605           25090               *
  Jamaica                                                2319               *            1154               *               *             559               *
