                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and
Type of Treasury Security, as of June 30, 2025
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Afghanistan                                               *               *               *               0               0               0
  Albania                                                1253            1253            1251               *               0               *
  Algeria                                                 675               *               *               0               0             675
  Andorra                                                 961             759             742               *               0               *
  Angola                                                 1778            1178            1178               *               0             600
  Anguilla                                                  *               *               *               *               0               *
  Antigua and Barbuda                                       *               *               *               0               *               *
  Argentina                                              9820            3409            3218               *               *            6411
  Armenia                                                1037             713             713               0               0               *
  Aruba                                                   675             647             647               0               *               *
  Australia                                             61307           53104           50980            1597             528            8203
  Austria                                                6242            4988            4899               *               *            1254
  Azerbaijan                                            10496            8300            8279               *               0            2197
  Bahamas                                               25610            7972            6697            1270               *           17638
  Bahrain                                                3503               *               *               *               0            3455
  Bangladesh                                             4159            4159            4159               0               0               *
  Barbados                                               2779            1529            1519               *               0            1250
  Belgium                                              429475          349114          321820           18117            9176           80361
  Belize                                                  581               *               *               *               0               *
  Bermuda                                               95078           52729           50340            1780             609           42349
  Bhutan                                                    *               *               *               0               0               0
  Bolivia                                                 843               *               *               *               *               *
  Bonaire, Sint Eustatius and Saba                          *               0               0               0               0               *
  Botswana                                                  *               *               *               0               0               *
  Brazil                                               215500          211366          187569           19636            4161            4134
  British Virgin Islands                                78460           55856           51969            3868               *           22604
  Brunei                                                 1657             605               *               *               0            1052
  Bulgaria                                                  *               *               *               0               0               *
  Burkina Faso                                              *               0               0               0               0               *
  Cambodia                                               6938            6585            6583               *               0               *
  Cameroon                                                  *               0               0               0               0               *
  Canada                                               438520          405427          341466           61793            2168           33093
  Cape Verde                                                *               *               *               0               0               0
  Cayman Islands                                       440383          286251          238010           44479            3762          154132
  Chile                                                 39208           36552           30229            6292               *            2656
  China, Mainland                                      731488          656511          508826          147684               *           74977
  Colombia                                              42957           39292           36754            2538               *            3665
  Comoros                                                   *               *               *               0               0               *
  Congo (Kinshasa)                                          *               *               *               0               0               *
  Cook Islands                                              *               *               *               0               0               *
  Costa Rica                                             3735            2700            2675               *               *            1035
  Cote d`Ivoire                                             *               *               *               0               0               0
  Croatia                                                1363            1216            1215               *               0               *
  Curacao                                                3108            1609            1602               *               0            1498
  Cyprus                                                  897               *               *               *               0               *
  Czech Republic                                        28964           28911           27768            1143               0               *
  Denmark                                               10941            8766            7014            1752               0            2176
  Dominica                                                  *               *               *               *               0               *
  Dominican Republic                                     7173            6633            6617               *               *             540
  East Timor                                            10409           10409            9185            1224               0               0
  Ecuador                                                1305               *               *               *               0             987
  Egypt                                                   670               *               *               *               0             506
  El Salvador                                           88621             866             866               *               *           87755
  Equatorial Guinea                                         *               *               *               0               0               0
  Estonia                                                 806             667               *               *               0               *
  Federated States of Micronesia                            *               *               *               0               0               *
  Fiji                                                      *               *               *               0               0               0
  Finland                                                9450            9083            8889               *               0               *
  France                                               371506          353742          296099           54492            3151           17764
  French Guiana                                             *               *               *               *               *               *
  French Polynesia                                          *               *               *               0               0               *
  Gabon                                                     *               *               *               0               0               *
  Gambia                                                    *               0               0               0               0               *
  Georgia                                                   *               *               *               0               0               *
  Germany                                               99185           77026           67166            8937             923           22159
  Ghana                                                  1602            1462            1462               0               0               *
  Gibraltar                                                 *               *               *               0               0               *
  Greece                                                 3418            2143            2142               *               0            1276
  Grenada                                                   *               *               *               0               0               *
  Guatemala                                             13758           13236           12794               *               *             521
  Guernsey                                              10474            7748            7247               *               *            2726
  Guyana                                                    *               *               *               0               0               *
  Haiti                                                   656             606             606               *               0               *
  Holy See (Vatican)                                        *               *               *               0               0               0
  Honduras                                               3784            3602            3583               *               *               *
  Hong Kong                                            241917          190469          183575            6327             567           51447
  Hungary                                                1334             797             784               *               0             537
  Iceland                                                 664               *               *               *               0               *
  India                                                227043          211120          211106               *               0           15923
  Indonesia                                             31353           26802           26679               *               0            4551
  Iraq                                                  10748           10748           10748               0               0               0
  Ireland                                              315960          219786          181720           29296            8770           96174
  Isle of Man                                            1616            1253            1247               *               *               *
  Israel                                               101623           75418           74445               *               *           26205
  Italy                                                 59763           55102           52241            2860               *            4661
  Jamaica                                                1667            1154            1153               *               *             513
  Japan                                               1147506         1023937         1010835           12905               *          123569
  Jersey                                                 6558            5012            3551            1333               *            1546
  Jordan                                                 2677            2675            2675               0               0               *
  Kazakhstan                                             9317            3086            3086               *               0            6231
  Kenya                                                  5416            5026            5026               0               0               *
