,Total,LT Treasury Total,LT Treasury Nominal,LT Treasury TIPS,LT Treasury FRN,ST Treasury Total
Afghanistan,*,*,*,0.00,0.00,0.00
Albania,1253.45,1253.40,1251.41,*,0.00,*
Algeria,675.03,*,*,0.00,0.00,674.84
Andorra,961.13,759.44,741.97,*,0.00,*
Angola,1778.11,1178.21,1177.90,*,0.00,599.90
Anguilla,*,*,*,*,0.00,*
Antigua and Barbuda,*,*,*,0.00,*,*
Argentina,9820.03,3408.98,3218.16,*,*,6411.05
Armenia,1037.47,713.08,713.08,0.00,0.00,*
Aruba,675.26,647.29,647.28,0.00,*,*
Australia ,61307.49,53104.33,50979.65,1596.71,527.97,8203.16
Austria,6242.29,4987.95,4899.03,*,*,1254.34
Azerbaijan,10496.06,8299.54,8279.34,*,0.00,2196.52
Bahamas,25610.16,7972.22,6697.16,1270.23,*,17637.94
Bahrain,3502.94,*,*,*,0.00,3454.75
Bangladesh,4159.38,4159.08,4159.08,0.00,0.00,*
Barbados,2778.55,1529.02,1519.40,*,0.00,1249.53
Belarus,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,429474.96,349114.35,321820.45,18117.48,9176.42,80360.60
Belize,580.54,*,*,*,0.00,*
Benin,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,95078.45,52729.21,50339.93,1780.24,609.04,42349.24
Bhutan,*,*,*,0.00,0.00,0.00
Bolivia,843.46,*,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,0.00,0.00,0.00,0.00,*
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00
Botswana,*,*,*,0.00,0.00,*
Brazil,215499.69,211365.51,187569.03,19635.83,4160.65,4134.18
British Indian Ocean Territory,0.00,0.00,0.00,0.00,0.00,0.00
British Virgin Islands,78459.78,55856.21,51969.13,3868.23,*,22603.57
Brunei,1657.24,605.29,*,*,0.00,1051.95
Bulgaria,*,*,*,0.00,0.00,*
Burkina Faso,*,0.00,0.00,0.00,0.00,*
Burma,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,6937.81,6585.48,6582.79,*,0.00,*
Cameroon,*,0.00,0.00,0.00,0.00,*
Canada,438520.04,405427.17,341466.22,61793.29,2167.66,33092.87
Cape Verde,*,*,*,0.00,0.00,0.00
Cayman Islands,440382.97,286251.02,238009.76,44479.10,3762.16,154131.95
Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00
Chad,0.00,0.00,0.00,0.00,0.00,0.00
Chile,39207.84,36552.32,30228.74,6291.53,*,2655.52
"China, Mainland",731487.78,656510.55,508825.81,147683.85,*,74977.23
Colombia,42957.10,39292.16,36754.44,2537.69,*,3664.94
Comoros,*,*,*,0.00,0.00,*
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,*,0.00,0.00,*
Cook Islands,*,*,*,0.00,0.00,*
Costa Rica,3734.54,2699.84,2675.36,*,*,1034.70
Cote d`Ivoire,*,*,*,0.00,0.00,0.00
Croatia,1362.62,1215.89,1214.74,*,0.00,*
Cuba,0.00,0.00,0.00,0.00,0.00,0.00
Curacao,3107.65,1609.26,1601.80,*,0.00,1498.39
Cyprus,896.55,*,*,*,0.00,*
Czech Republic,28964.12,28911.09,27768.05,1143.04,0.00,*
Denmark,10941.45,8765.53,7014.02,1751.51,0.00,2175.92
Djibouti,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,*,*,0.00,*
Dominican Republic,7172.79,6632.56,6616.77,*,*,540.23
East Timor,10408.57,10408.57,9184.92,1223.65,0.00,0.00
Ecuador,1305.32,*,*,*,0.00,987.27
Egypt,670.37,*,*,*,0.00,506.46
El Salvador,88621.30,866.00,865.96,*,*,87755.30
Equatorial Guinea,*,*,*,0.00,0.00,0.00
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,805.64,666.58,*,*,0.00,*
Ethiopia,0.00,0.00,0.00,0.00,0.00,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,*,0.00,0.00,*
Fiji,*,*,*,0.00,0.00,0.00
Finland,9449.53,9082.72,8888.70,*,0.00,*
France,371506.20,353742.06,296098.81,54491.76,3151.49,17764.14
French Guiana,*,*,*,*,*,*
French Polynesia,*,*,*,0.00,0.00,*
Gabon,*,*,*,0.00,0.00,*
Gambia,*,0.00,0.00,0.00,0.00,*
Georgia,*,*,*,0.00,0.00,*
Germany,99184.82,77025.83,67165.72,8936.69,923.42,22158.99
Ghana,1601.57,1462.39,1462.39,0.00,0.00,*
Gibraltar,*,*,*,0.00,0.00,*
Greece,3418.39,2142.51,2141.71,*,0.00,1275.88
Greenland,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,*,*,*,0.00,0.00,*
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,13757.68,13236.49,12793.99,*,*,521.19
Guernsey,10473.55,7747.99,7246.54,*,*,2725.56
Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,*,0.00,0.00,*
Haiti,656.33,605.77,605.50,*,0.00,*
Holy See (Vatican),*,*,*,0.00,0.00,0.00
Honduras,3783.83,3601.58,3582.96,*,*,*
Hong Kong,241916.55,190469.13,183575.30,6327.10,566.73,51447.42
Hungary,1333.77,796.90,783.73,*,0.00,536.87
Iceland,663.86,*,*,*,0.00,*
India,227042.63,211119.77,211105.68,*,0.00,15922.86
Indonesia,31352.95,26801.77,26679.48,*,0.00,4551.18
