"Table A8.  Foreign Holdings of U.S. Equities, by Country and Equity Type,"
"as of June 30, 2025"
"Millions of dollars"
"","Total","Common","","Preferred"
"Countries and Regions","Equities","Stock","Funds","and Other"
"Afghanistan","*","*","*","*"
"Albania","*","*","*",0
"Algeria","*","*","*","*"
"Andorra",2270,1738,508,"*"
"Angola",560,547,"*","*"
"Anguilla",916,788,"*","*"
"Antigua and Barbuda","*","*","*","*"
"Argentina",11180,5746,5244,"*"
"Armenia","*","*","*","*"
"Aruba","*","*","*","*"
"Australia",693573,519631,83439,90502
"Austria",37275,33673,3239,"*"
"Azerbaijan",10185,8840,966,"*"
"Bahamas",34244,19772,12119,2353
"Bahrain",1113,612,"*","*"
"Bangladesh","*","*","*","*"
"Barbados",3052,754,2155,"*"
"Belarus","*","*","*",0
"Belgium",134916,119069,15208,639
"Belize",820,"*","*","*"
"Benin","*","*","*",0
"Bermuda",150128,28908,105656,15563
"Bhutan","*","*","*",0
"Bolivia","*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*"
"Botswana",1725,1574,"*","*"
"Brazil",25077,9588,14320,1168
"British Indian Ocean Territory","*","*","*",0
"British Virgin Islands",190230,104919,69270,16041
"Brunei",2660,"*",2398,"*"
"Bulgaria",947,599,"*","*"
"Burkina Faso","*","*","*",0
"Burma","*","*","*","*"
"Burundi","*","*","*",0
"Cambodia","*","*","*",0
"Cameroon","*","*","*","*"
"Canada",2065248,1578214,407446,79588
"Cape Verde","*","*","*",0
"Cayman Islands",2160062,1168251,681299,310513
"Central African Republic","*","*",0,0
"Chad","*","*","*",0
"Chile",49262,9966,36313,2983
"China, Mainland",344470,277090,48553,18828
"Colombia",38146,9569,27421,1156
"Comoros","*","*","*","*"
"Congo (Brazzaville)","*","*","*",0
"Congo (Kinshasa)","*","*","*","*"
"Cook Islands","*","*","*","*"
"Costa Rica",6003,1030,4936,"*"
"Cote d`Ivoire",1648,"*",1513,0
"Croatia",1342,1148,"*","*"
"Cuba","*","*","*",0
"Curacao",2838,1243,917,677
"Cyprus",9981,8034,1337,610
"Czech Republic",17322,15732,1575,"*"
"Denmark",269273,225815,20672,22787
"Djibouti","*",0,"*",0
"Dominica","*","*","*","*"
"Dominican Republic","*","*","*","*"
"East Timor",3579,3508,"*","*"
"Ecuador",868,"*","*","*"
"Egypt",557,"*","*","*"
"El Salvador",1219,600,581,"*"
"Equatorial Guinea","*","*","*",0
"Eritrea","*","*","*","*"
"Estonia",2310,2112,"*","*"
"Ethiopia","*","*","*","*"
"Falkland Islands","*","*","*",0
"Faroe Islands","*","*","*",0
"Federated States of Micronesia","*","*","*","*"
"Fiji","*","*","*",0
"Finland",82683,50779,24806,7098
"France",601215,568224,29817,3174
"French Guiana","*","*","*",0
"French Polynesia","*","*","*","*"
"Gabon","*","*","*","*"
"Gambia","*","*","*","*"
"Georgia","*","*","*","*"
"Germany",572073,518661,36966,16445
"Ghana","*","*","*","*"
"Gibraltar",883,616,"*","*"
"Greece",2723,1921,781,"*"
"Grenada","*","*","*","*"
"Guadeloupe","*","*","*",0
"Guatemala",803,"*","*","*"
"Guernsey",81267,27179,22797,31290
"Guinea","*","*","*","*"
"Guinea-Bissau","*","*","*",0
"Guyana","*","*","*","*"
"Haiti","*","*","*","*"
"Holy See (Vatican)","*","*",0,0
"Honduras","*","*","*","*"
"Hong Kong",263097,183594,66310,13194
"Hungary",1418,616,801,"*"
"Iceland",2199,834,1061,"*"
"India",28731,25567,3065,"*"
"Indonesia",1424,818,595,"*"
"Iran","*","*","*",0
"Iraq","*","*","*","*"
"Ireland",1469030,1386405,70959,11666
"Isle of Man",6936,4159,1789,988
"Israel",182523,104875,72561,5087
"Italy",99331,92323,4217,2791
"Jamaica","*","*","*","*"
"Japan",1168726,963053,195290,10383
"Jersey",27495,14048,6761,6686
"Jordan","*","*","*","*"
"Kazakhstan","*","*","*","*"
"Kenya","*","*","*","*"
"Kiribati","*","*","*",0
"Korea, South",591938,372433,122230,97275
"Kosovo","*","*","*","*"
"Kuwait",377219,344355,18369,14495
"Kyrgyzstan","*","*","*",0
"Laos","*","*","*","*"
"Latvia",1372,1306,"*","*"
"Lebanon","*","*","*","*"
"Lesotho","*","*","*",0
"Liberia",1213,"*",665,"*"
"Libya","*","*","*","*"
"Liechtenstein",36072,13679,21576,816
"Lithuania","*","*","*","*"
"Luxembourg",1356936,1198437,104188,54311
"Macau",3566,3473,"*","*"
"Macedonia","*","*","*",0
"Madagascar","*","*","*",0
"Malawi","*","*","*","*"
"Malaysia",54089,44736,4400,4953
"Maldives","*","*","*","*"
"Mali","*","*","*",0
"Malta",3601,1767,1779,"*"
"Marshall Islands",2143,1307,750,"*"
"Martinique","*","*","*","*"
"Mauritania","*","*","*",0
"Mauritius",846,"*","*","*"
"Mayotte","*","*",0,0
"Mexico",121845,29581,90110,2154
"Moldova","*","*","*",0
"Monaco",4080,2690,1248,"*"
"Mongolia","*","*","*","*"
"Montenegro","*","*","*",0
"Montserrat","*","*","*","*"
"Morocco","*","*","*",0
"Mozambique","*","*","*","*"
"Namibia",610,585,"*",0
"Nauru","*","*","*","*"
"Nepal","*","*","*",0
"Netherlands",461203,354444,74129,32630
"New Caledonia",1316,1254,"*","*"
"New Zealand",59235,47340,8508,3387
"Nicaragua","*","*","*","*"
"Niger","*","*","*",0
"Nigeria","*","*","*","*"
"Niue","*","*","*","*"
"Norway",826129,775657,49852,620
"Oman",10673,5373,4485,815
"Pakistan","*","*","*","*"
"Palau","*","*","*","*"
"Panama",23202,12104,9981,1117
"Papua New Guinea","*","*","*",0
"Paraguay","*","*","*","*"
"Peru",10873,1522,8242,1108
"Philippines",3454,895,2548,"*"
"Pitcairn Island","*","*",0,0
"Poland",4876,3479,1387,"*"
"Portugal",12821,4695,7753,"*"
"Qatar",57854,49853,4742,3260
"Reunion","*","*","*",0
"Romania",938,861,"*","*"
"Russia",2293,2004,"*","*"
"Rwanda","*","*","*",0
"Saint Kitts and Nevis",6903,3795,2881,"*"
"Saint Lucia","*","*","*","*"
"Saint Martin and Saint Barthelemy","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*"
"Samoa",1316,681,630,"*"
"San Marino","*","*","*","*"
"Sao Tome and Principe","*",0,"*",0
"Saudi Arabia",215299,131872,41514,41913
"Senegal",645,572,"*","*"
"Serbia","*","*","*",0
"Seychelles",702,"*","*","*"
"Sierra Leone","*","*","*","*"
"Singapore",758799,405324,103518,249957
"Sint Maarten","*","*","*","*"
"Slovakia","*","*","*","*"
"Slovenia",4924,4340,584,"*"
"Somalia","*","*","*",0
"South Africa",28130,20992,5983,1154
"South Sudan","*",0,"*",0
"Spain",74808,62662,10581,1566
"Sri Lanka","*","*","*","*"
"Sudan","*","*","*",0
"Suriname","*","*","*","*"
"Eswatini","*","*","*",0
"Sweden",396013,366183,19563,10267
"Switzerland",938993,804453,122529,12011
"Syria","*","*","*",0
"Taiwan",172178,98353,68589,5236
"Tajikistan","*","*","*",0
"Tanzania","*","*","*",0
"Thailand",30317,14753,14473,1091
"Togo","*","*","*",0
"Tokelau","*","*",0,"*"
"Tonga","*","*","*",0
"Trinidad and Tobago",5890,4764,1080,"*"
"Tunisia","*","*","*",0
"Turkey",1292,897,"*","*"
"Turkmenistan","*","*","*",0
"Turks and Caicos Isl.",1641,"*",1105,"*"
"Uganda","*","*","*","*"
"Ukraine","*","*","*","*"
"United Arab Emirates",231325,124468,57759,49097
"United Kingdom",2057156,1770897,171434,114825
"Uruguay",4772,2047,2589,"*"
"Uzbekistan","*","*","*","*"
"Vanuatu","*","*","*","*"
"Venezuela",3355,2029,1210,"*"
"Vietnam","*","*","*","*"
"West Bank and Gaza","*","*","*",0
"Western Sahara","*","*","*","*"
"Yemen","*","*","*","*"
"Zambia","*","*","*",0
"Zimbabwe","*","*","*",0
"Int. and reg. org.",19562,8024,9806,1731
"Country Unknown","*","*","*","*"
""
"Total",19859814,15211355,3266332,1382127
""
"of which: Holdings of foreign official"
"institutions",2229695,1856226,238413,135057
""
"Totals by Region:"
"Total Africa",37558,26504,9629,1425
"Total Asia",4504004,3155817,832161,516027
"Total Caribbean",2558341,1334730,877867,345745
"Total Europe",9618111,8452015,833016,333080
"Euro area countries",4929046,4410316,386923,131806
"Total Latin America",298459,85393,202561,10505
"Total Oceania",758525,570658,93842,94025
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
