,Total Equities,Common Stock,Funds,Preferred and Other
Afghanistan,*,*,*,*
Albania,*,*,*,0.00
Algeria,*,*,*,*
Andorra,2269.98,1738.31,508.25,*
Angola,559.76,546.70,*,*
Anguilla,916.08,788.02,*,*
Antigua and Barbuda,*,*,*,*
Argentina,11180.29,5745.90,5244.23,*
Armenia,*,*,*,*
Aruba,*,*,*,*
Australia ,693572.47,519631.04,83439.02,90502.41
Austria,37274.89,33672.53,3239.44,*
Azerbaijan,10185.48,8839.53,966.01,*
Bahamas,34243.69,19772.46,12118.64,2352.59
Bahrain,1113.34,612.27,*,*
Bangladesh,*,*,*,*
Barbados,3052.04,754.05,2155.25,*
Belarus,*,*,*,-0.00
Belgium,134915.49,119069.05,15207.91,638.53
Belize,819.95,*,*,*
Benin,*,*,*,0.00
Bermuda,150127.67,28907.96,105656.40,15563.31
Bhutan,*,*,*,0.00
Bolivia,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,*
Bosnia and Herzegovina,*,*,*,*
Botswana,1725.24,1573.60,*,*
Brazil,25076.71,9588.04,14320.22,1168.45
British Indian Ocean Territory,*,*,*,0.00
British Virgin Islands,190229.77,104919.25,69269.65,16040.87
Brunei,2660.37,*,2398.08,*
Bulgaria,946.88,599.10,*,*
Burkina Faso,*,*,*,-0.01
Burma,*,*,*,*
Burundi,*,*,*,-0.01
Cambodia,*,*,*,-0.01
Cameroon,*,*,*,*
Canada,2065248.41,1578214.29,407445.71,79588.41
Cape Verde,*,*,*,0.00
Cayman Islands,2160062.62,1168250.72,681298.66,310513.24
Central African Republic,*,*,0.00,0.00
Chad,*,*,*,0.00
Chile,49262.31,9966.16,36313.07,2983.08
"China, Mainland",344470.38,277089.84,48552.63,18827.91
Colombia,38145.74,9568.54,27421.09,1156.11
Comoros,*,*,*,*
Congo (Brazzaville),*,*,*,0.00
Congo (Kinshasa),*,*,*,*
Cook Islands,*,*,*,*
Costa Rica,6003.05,1030.49,4935.90,*
Cote d`Ivoire,1648.17,*,1512.91,0.00
Croatia,1342.46,1148.11,*,*
Cuba,*,*,*,-0.01
Curacao,2837.50,1242.91,917.19,677.40
Cyprus,9980.82,8033.85,1337.35,609.62
Czech Republic,17321.73,15732.30,1575.30,*
Denmark,269273.35,225815.01,20671.68,22786.66
Djibouti,*,0.00,*,0.00
Dominica,*,*,*,*
Dominican Republic,*,*,*,*
East Timor,3578.80,3507.77,*,*
Ecuador,868.24,*,*,*
Egypt,556.68,*,*,*
El Salvador,1218.57,599.77,580.90,*
Equatorial Guinea,*,*,*,-0.01
Eritrea,*,*,*,*
Estonia,2309.95,2112.24,*,*
Ethiopia,*,*,*,*
Falkland Islands,*,*,*,0.00
Faroe Islands,*,*,*,0.00
Federated States of Micronesia,*,*,*,*
Fiji,*,*,*,0.00
Finland,82683.44,50778.84,24806.42,7098.18
France,601215.45,568223.71,29817.49,3174.25
French Guiana,*,*,*,0.00
French Polynesia,*,*,*,*
Gabon,*,*,*,*
Gambia,*,*,*,*
Georgia,*,*,*,*
Germany,572072.71,518661.00,36966.30,16445.41
Ghana,*,*,*,*
Gibraltar,883.32,615.83,*,*
Greece,2723.41,1921.47,781.03,*
Greenland,0.00,0.00,0.00,0.00
Grenada,*,*,*,*
Guadeloupe,*,*,*,-0.00
Guatemala,803.11,*,*,*
Guernsey,81266.79,27179.04,22797.46,31290.29
Guinea,*,*,*,*
Guinea-Bissau,*,*,*,0.00
Guyana,*,*,*,*
Haiti,*,*,*,*
Holy See (Vatican),*,*,0.00,0.00
Honduras,*,*,*,*
Hong Kong,263097.17,183593.97,66309.63,13193.57
Hungary,1418.41,615.97,800.95,*
Iceland,2199.44,833.91,1061.39,*
India,28731.35,25567.20,3065.26,*
Indonesia,1424.08,818.40,595.26,*
Iran,*,*,*,0.00
Iraq,*,*,*,*
Ireland,1469029.47,1386404.66,70958.99,11665.82
Isle of Man,6936.33,4158.74,1789.35,988.24
Israel,182522.47,104875.07,72560.54,5086.86
Italy,99330.69,92322.82,4217.14,2790.73
Jamaica,*,*,*,*
Japan,1168725.47,963052.85,195289.88,10382.74
Jersey,27494.57,14048.34,6760.62,6685.61
Jordan,*,*,*,*
Kazakhstan,*,*,*,*
Kenya,*,*,*,*
Kiribati,*,*,*,0.00
"Korea, South",591937.69,372432.94,122229.86,97274.89
Kosovo,*,*,*,*
Kuwait,377218.88,344354.91,18369.01,14494.96
Kyrgyzstan,*,*,*,0.00
Laos,*,*,*,*
Latvia,1371.56,1305.50,*,*
Lebanon,*,*,*,*
Lesotho,*,*,*,0.00
Liberia,1212.92,*,664.94,*
Libya,*,*,*,*
Liechtenstein,36071.77,13679.41,21576.03,816.33
Lithuania,*,*,*,*
Luxembourg,1356936.02,1198437.37,104187.64,54311.01
Macau,3565.92,3473.12,*,*
Macedonia,*,*,*,-0.01
Madagascar,*,*,*,0.00
Malawi,*,*,*,*
Malaysia,54089.21,44736.11,4400.09,4953.01
Maldives,*,*,*,*
Mali,*,*,*,0.00
Malta,3600.75,1767.17,1779.24,*
Marshall Islands,2143.27,1306.99,749.80,*
Martinique,*,*,*,*
Mauritania,*,*,*,-0.01
Mauritius,846.04,*,*,*
Mayotte,*,*,0.00,0.00
Mexico,121845.23,29581.45,90109.94,2153.84
Moldova,*,*,*,-0.00
Monaco,4079.73,2689.65,1248.27,*
Mongolia,*,*,*,*
Montenegro,*,*,*,-0.00
Montserrat,*,*,*,*
Morocco,*,*,*,0.00
Mozambique,*,*,*,*
Namibia,609.92,585.46,*,-0.00
Nauru,*,*,*,*
Nepal,*,*,*,0.00
Netherlands,461202.52,354443.50,74128.74,32630.28
Netherlands Antilles,*,NA,NA,NA
New Caledonia,1316.12,1253.98,*,*
New Zealand,59235.13,47339.89,8508.23,3387.01
Nicaragua,*,*,*,*
Niger,*,*,*,0.00
Nigeria,*,*,*,*
Niue,*,*,*,*
Norway,826128.59,775657.33,49851.68,619.58
Oman,10672.97,5372.83,4485.26,814.88
Pakistan,*,*,*,*
Palau,*,*,*,*
Panama,23201.74,12103.66,9981.46,1116.62
Papua New Guinea,*,*,*,-0.01
Paraguay,*,*,*,*
Peru,10872.52,1521.99,8242.21,1108.32
Philippines,3453.98,895.10,2547.88,*
Pitcairn Island,*,*,0.00,0.00
Poland,4876.03,3478.59,1386.93,*
Portugal,12820.77,4694.94,7753.37,*
Qatar,57854.11,49853.06,4741.53,3259.52
Reunion,*,*,*,0.00
Romania,937.72,860.97,*,*
Russia,2293.37,2004.37,*,*
Rwanda,*,*,*,-0.01
Saint Helena,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,6902.56,3795.37,2880.54,*
