,Total LT ABS,Agency ABS,Corp ABS Total,Corp ABS MBS,Corp ABS NonMBS
Afghanistan,0.00,0.00,0.00,0.00,0.00
Albania,*,0.00,*,*,0.00
Algeria,0.00,0.00,0.00,0.00,0.00
Andorra,0.00,0.00,0.00,0.00,0.00
Angola,*,*,0.00,0.00,0.00
Anguilla,*,*,*,0.00,*
Antigua and Barbuda,*,0.00,*,*,0.00
Argentina,*,*,*,*,*
Armenia,0.00,0.00,0.00,0.00,0.00
Aruba,543.30,*,*,*,*
Australia ,11900.37,6711.84,5188.53,3628.21,1560.32
Austria,*,*,*,*,*
Azerbaijan,*,*,0.00,0.00,0.00
Bahamas,826.10,738.62,*,*,*
Bahrain,*,*,*,*,*
Bangladesh,0.00,0.00,0.00,0.00,0.00
Barbados,9698.83,2275.85,7422.98,4026.08,3396.90
Belarus,0.00,0.00,0.00,0.00,0.00
Belgium,23295.82,13111.60,10184.22,2450.12,7734.10
Belize,*,*,*,0.00,*
Benin,0.00,0.00,0.00,0.00,0.00
Bermuda,57021.14,28631.42,28389.72,19520.13,8869.59
Bhutan,0.00,0.00,0.00,0.00,0.00
Bolivia,*,*,*,*,*
"Bonaire, Sint Eustatius and Saba",0.00,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00
Botswana,*,*,*,0.00,*
Brazil,*,*,*,*,*
British Indian Ocean Territory,0.00,0.00,0.00,0.00,0.00
British Virgin Islands,46079.86,44699.88,1379.98,788.55,591.43
Brunei,*,0.00,*,*,*
Bulgaria,*,*,0.00,0.00,0.00
Burkina Faso,0.00,0.00,0.00,0.00,0.00
Burma,0.00,0.00,0.00,0.00,0.00
Burundi,0.00,0.00,0.00,0.00,0.00
Cambodia,840.21,840.21,0.00,0.00,0.00
Cameroon,0.00,0.00,0.00,0.00,0.00
Canada,189987.07,158995.42,30991.65,21534.67,9456.98
Cape Verde,0.00,0.00,0.00,0.00,0.00
Cayman Islands,120911.28,52911.55,67999.73,47990.89,20008.84
Central African Republic,0.00,0.00,0.00,0.00,0.00
Chad,0.00,0.00,0.00,0.00,0.00
Chile,1153.64,1070.62,*,*,*
"China, Mainland",189409.18,185948.83,3460.35,1753.93,1706.42
Colombia,741.61,534.88,*,*,*
Comoros,0.00,0.00,0.00,0.00,0.00
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,0.00,0.00,0.00
Cook Islands,0.00,0.00,0.00,0.00,0.00
Costa Rica,*,*,*,*,*
Cote d`Ivoire,0.00,0.00,0.00,0.00,0.00
Croatia,0.00,0.00,0.00,0.00,0.00
Cuba,0.00,0.00,0.00,0.00,0.00
Curacao,*,*,*,*,*
Cyprus,*,*,*,0.00,*
Czech Republic,1886.29,1886.29,0.00,0.00,0.00
Denmark,*,*,*,*,*
Djibouti,0.00,0.00,0.00,0.00,0.00
Dominica,0.00,0.00,0.00,0.00,0.00
Dominican Republic,*,*,*,*,*
East Timor,0.00,0.00,0.00,0.00,0.00
Ecuador,*,*,*,*,*
Egypt,*,*,*,*,*
El Salvador,*,*,*,*,*
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00
Eritrea,0.00,0.00,0.00,0.00,0.00
Estonia,0.00,0.00,0.00,0.00,0.00
Ethiopia,0.00,0.00,0.00,0.00,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,*,0.00,*
Fiji,0.00,0.00,0.00,0.00,0.00
Finland,*,*,*,0.00,*
France,44622.99,36465.17,8157.82,5420.53,2737.29
French Guiana,0.00,0.00,0.00,0.00,0.00
French Polynesia,*,*,*,0.00,*
Gabon,0.00,0.00,0.00,0.00,0.00
Gambia,0.00,0.00,0.00,0.00,0.00
Georgia,*,*,0.00,0.00,0.00
Germany,8229.23,4642.15,3587.08,*,3252.48
Ghana,*,*,0.00,0.00,0.00
Gibraltar,*,*,*,0.00,*
Greece,*,*,*,*,*
Greenland,0.00,0.00,0.00,0.00,0.00
Grenada,*,*,0.00,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00
Guatemala,1935.22,1923.89,*,*,*
Guernsey,*,*,*,*,*
Guinea,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,*,*,0.00
Haiti,*,*,*,*,*
Holy See (Vatican),0.00,0.00,0.00,0.00,0.00
Honduras,*,*,*,*,*
Hong Kong,14433.97,11028.61,3405.36,2262.40,1142.96
Hungary,2673.40,2673.40,0.00,0.00,0.00
Iceland,0.00,0.00,0.00,0.00,0.00
India,*,*,*,0.00,*
Indonesia,8895.96,8763.81,*,*,*
Iran,0.00,0.00,0.00,0.00,0.00
Iraq,0.00,0.00,0.00,0.00,0.00
Ireland,67929.12,32495.02,35434.10,30630.08,4804.02
Isle of Man,*,*,*,*,*
Israel,4359.88,3886.07,*,*,*
Italy,705.58,604.83,*,*,*
Jamaica,*,*,*,*,*
Japan,264353.80,249673.87,14679.93,7922.39,6757.54
Jersey,814.58,*,*,*,*
Jordan,*,0.00,*,0.00,*
Kazakhstan,*,0.00,*,0.00,*
Kenya,0.00,0.00,0.00,0.00,0.00
Kiribati,0.00,0.00,0.00,0.00,0.00
"Korea, South",34788.38,32596.64,2191.74,1654.38,537.36
Kosovo,0.00,0.00,0.00,0.00,0.00
Kuwait,9084.74,5420.78,3663.96,2310.31,1353.65
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00
Laos,0.00,0.00,0.00,0.00,0.00
Latvia,1304.52,883.69,*,0.00,*
Lebanon,*,*,0.00,0.00,0.00
Lesotho,0.00,0.00,0.00,0.00,0.00
Liberia,*,*,0.00,0.00,0.00
Libya,0.00,0.00,0.00,0.00,0.00
Liechtenstein,*,*,*,*,*
Lithuania,*,*,0.00,0.00,0.00
Luxembourg,96259.49,74314.67,21944.82,11690.94,10253.88
Macau,1395.19,1102.57,*,*,*
Macedonia,0.00,0.00,0.00,0.00,0.00
Madagascar,0.00,0.00,0.00,0.00,0.00
Malawi,0.00,0.00,0.00,0.00,0.00
Malaysia,18746.41,18737.89,*,*,*
Maldives,0.00,0.00,0.00,0.00,0.00
Mali,0.00,0.00,0.00,0.00,0.00
Malta,*,*,0.00,0.00,0.00
Marshall Islands,*,*,*,*,*
Martinique,0.00,0.00,0.00,0.00,0.00
Mauritania,*,0.00,*,0.00,*
Mauritius,*,0.00,*,0.00,*
Mayotte,0.00,0.00,0.00,0.00,0.00
Mexico,6543.48,6408.48,*,*,*
Moldova,0.00,0.00,0.00,0.00,0.00
Monaco,*,*,*,*,*
Mongolia,0.00,0.00,0.00,0.00,0.00
Montenegro,0.00,0.00,0.00,0.00,0.00
Montserrat,0.00,0.00,0.00,0.00,0.00
Morocco,*,*,0.00,0.00,0.00
Mozambique,0.00,0.00,0.00,0.00,0.00
Namibia,*,*,*,*,0.00
Nauru,0.00,0.00,0.00,0.00,0.00
Nepal,0.00,0.00,0.00,0.00,0.00
Netherlands,19577.49,18166.23,1411.26,1012.58,*
Netherlands Antilles,NA,NA,NA,NA,NA
New Caledonia,0.00,0.00,0.00,0.00,0.00
New Zealand,1227.90,955.90,*,*,*
Nicaragua,*,*,*,0.00,*
Niger,0.00,0.00,0.00,0.00,0.00
Nigeria,*,*,*,0.00,*
Niue,0.00,0.00,0.00,0.00,0.00
Norway,*,*,*,*,*
Oman,*,*,*,0.00,*
Pakistan,*,*,0.00,0.00,0.00
Palau,*,*,*,0.00,*
Panama,2040.58,1579.91,*,*,*
Papua New Guinea,0.00,0.00,0.00,0.00,0.00
Paraguay,*,0.00,*,0.00,*
Peru,*,*,*,*,*
Philippines,589.67,587.25,*,*,*
Pitcairn Island,0.00,0.00,0.00,0.00,0.00
Poland,*,*,*,0.00,*
Portugal,*,*,*,*,*
Qatar,*,*,*,*,*
Reunion,0.00,0.00,0.00,0.00,0.00
Romania,0.00,0.00,0.00,0.00,0.00
Russia,0.00,0.00,0.00,0.00,0.00
Rwanda,*,*,0.00,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,*,*,*,*,*
Saint Lucia,*,0.00,*,0.00,*
Saint Martin and Saint Barthelemy,0.00,0.00,0.00,0.00,0.00
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,0.00,*,0.00,*
Samoa,*,*,0.00,0.00,0.00
San Marino,0.00,0.00,0.00,0.00,0.00
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,4804.67,3995.70,808.97,*,*
Senegal,0.00,0.00,0.00,0.00,0.00
Serbia,*,0.00,*,0.00,*
Seychelles,*,*,*,0.00,*
Sierra Leone,0.00,0.00,0.00,0.00,0.00
Singapore,34277.23,16201.32,18075.91,11543.74,6532.17
Sint Maarten,*,*,0.00,0.00,0.00
Slovakia,0.00,0.00,0.00,0.00,0.00
Slovenia,0.00,0.00,0.00,0.00,0.00
Solomon Islands,0.00,0.00,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00
South Africa,669.49,625.58,*,0.00,*
South Sudan,0.00,0.00,0.00,0.00,0.00
Spain,8802.05,7247.65,1554.40,748.39,806.01
Sri Lanka,0.00,0.00,0.00,0.00,0.00
Sudan,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,*,*,*
Eswatini,0.00,0.00,0.00,0.00,0.00
Sweden,*,*,*,*,*
Switzerland,11053.80,7693.67,3360.13,1795.17,1564.96
Syria,0.00,0.00,0.00,0.00,0.00
Taiwan,185907.92,183836.91,2071.01,1540.02,530.99
Tajikistan,0.00,0.00,0.00,0.00,0.00
Tanzania,0.00,0.00,0.00,0.00,0.00
Thailand,10793.72,10785.84,*,*,*
Togo,0.00,0.00,0.00,0.00,0.00
Tokelau,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,1308.31,713.36,594.95,*,*
Tunisia,0.00,0.00,0.00,0.00,0.00
Turkey,*,*,*,0.00,*
Turkmenistan,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,*,*,*,*,*
Tuvalu,0.00,0.00,0.00,0.00,0.00
Uganda,*,*,*,*,*
Ukraine,0.00,0.00,0.00,0.00,0.00
United Arab Emirates,1241.64,849.75,*,*,*
United Kingdom,79690.52,53247.96,26442.56,15275.57,11166.99
Uruguay,518.91,500.03,*,*,*
Uzbekistan,0.00,0.00,0.00,0.00,0.00
Vanuatu,0.00,0.00,0.00,0.00,0.00
Venezuela,*,*,*,*,*
Vietnam,*,*,0.00,0.00,0.00
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,0.00,0.00,0.00,0.00,0.00
Western Sahara,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00
Zambia,0.00,0.00,0.00,0.00,0.00
Zimbabwe,0.00,0.00,0.00,0.00,0.00
Int. and reg. org.,17688.75,10092.62,7596.13,668.32,6927.81
Country Unknown,0.00,0.00,0.00,0.00,0.00
Total Africa,1485.28,1333.97,*,*,*
Total Asia,784389.65,734603.78,49785.87,30155.05,19630.82
Total Caribbean,236844.43,130575.92,106268.51,72494.42,33774.09
Total Europe,368747.44,254857.23,113890.21,69895.96,43994.25
Euro area countries,271087.92,188285.18,82802.74,52326.25,30476.49
Total Latin America,13549.26,12437.98,1111.28,521.17,590.11
Total Oceania,13184.85,7715.40,5469.45,3835.74,1633.71
Total,1625876.73,1310612.32,315264.41,199165.70,116098.71
Holdings of FOI,539224.88,517185.17,22039.71,13215.01,8824.70

