                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as
of June 30, 2025
 Millions of dollars
                                                                                                               of which: Commercial Paper
                                                                                                 Total                        Asset-backed
 Countries and Regions                         Total ST         Treasury         Agency        Corporate        Total CP           CP
  Albania                                                   *               *               0               *               0               0
  Algeria                                                 675             675               0               0               0               0
  Andorra                                                   *               *               0               0               0               0
  Angola                                                  600             600               0               *               0               0
  Anguilla                                                  *               *               0               *               0               0
  Antigua and Barbuda                                       *               *               0               *               0               0
  Argentina                                              6430            6411               *               *               *               0
  Armenia                                                   *               *               0               0               0               0
  Aruba                                                     *               *               0               *               0               0
  Australia                                             10493            8203               *            2273               *               0
  Austria                                                1686            1254               0               *               0               0
  Azerbaijan                                             2197            2197               0               0               0               0
  Bahamas                                               17812           17638               0               *               *               0
  Bahrain                                                3455            3455               0               0               0               0
  Bangladesh                                                *               *               0               *               0               0
  Barbados                                               1272            1250               0               *               *               0
  Belgium                                               80690           80361               *               *               *               0
  Belize                                                    *               *               0               *               *               0
  Bermuda                                               43651           42349               *             865             836               0
  Bolivia                                                   *               *               0               *               *               0
  Bonaire, Sint Eustatius and Saba                          *               *               0               0               0               0
  Bosnia and Herzegovina                                    *               0               0               *               0               0
  Botswana                                                  *               *               0               0               0               0
  Brazil                                                 4656            4134               0             522               *               0
  British Virgin Islands                                22921           22604               *               *               *               0
  Brunei                                                 1052            1052               0               0               0               0
  Bulgaria                                                  *               *               0               *               *               0
  Burkina Faso                                              *               *               0               0               0               0
  Burundi                                                   *               0               0               *               0               0
  Cambodia                                                  *               *               0               0               0               0
  Cameroon                                                  *               *               0               0               0               0
  Canada                                                39422           33093            1180            5150            4574               0
  Cayman Islands                                       158461          154132               *            3854            1600               0
  Chile                                                  2874            2656               0               *               0               0
  China, Mainland                                       75099           74977               *               *               *               0
  Colombia                                               3683            3665               0               *               0               0
  Comoros                                                   *               *               0               0               0               0
  Congo (Kinshasa)                                          *               *               0               0               0               0
  Cook Islands                                              *               *               0               *               0               0
  Costa Rica                                             1049            1035               0               *               *               0
  Croatia                                                   *               *               0               *               0               0
  Curacao                                                1512            1498               0               *               *               0
  Cyprus                                                    *               *               0               0               0               0
  Czech Republic                                            *               *               0               *               0               0
  Denmark                                                2218            2176               *               *               *               0
  Dominica                                                  *               *               0               0               0               0
  Dominican Republic                                      554             540               0               *               *               0
  Ecuador                                                1000             987               0               *               *               0
  Egypt                                                   508             506               0               *               0               0
  El Salvador                                           87960           87755               0               *               *               0
  Estonia                                                   *               *               0               0               0               0
  Federated States of Micronesia                            *               *               0               *               *               0
  Finland                                                   *               *               0               *               0               0
  France                                                20349           17764               *            2584            2426               0
  French Guiana                                             *               *               0               0               0               0
  French Polynesia                                          *               *               0               *               0               0
  Gabon                                                     *               *               0               0               0               0
  Gambia                                                    *               *               0               0               0               0
  Georgia                                                   *               *               0               *               0               0
  Germany                                               22969           22159               *             807             620               0
  Ghana                                                     *               *               0               0               0               0
  Gibraltar                                                 *               *               0               *               0               0
  Greece                                                 1284            1276               0               *               0               0
  Grenada                                                   *               *               0               0               0               0
  Guatemala                                               659             521               0               *               *               0
  Guernsey                                               2974            2726               *               *               *               0
  Guyana                                                    *               *               0               0               0               0
