,Total ST,Treasury,Agency,Corp,Corp CP,Corp CP Asset-backed
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00
Albania,*,*,0.00,*,0.00,0.00
Algeria,674.84,674.84,0.00,0.00,0.00,0.00
Andorra,*,*,0.00,0.00,0.00,0.00
Angola,599.98,599.90,0.00,*,0.00,0.00
Anguilla,*,*,0.00,*,0.00,0.00
Antigua and Barbuda,*,*,0.00,*,0.00,0.00
Argentina,6430.20,6411.05,*,*,*,0.00
Armenia,*,*,0.00,0.00,0.00,0.00
Aruba,*,*,0.00,*,0.00,0.00
Australia ,10493.12,8203.16,*,2273.30,*,0.00
Austria,1686.32,1254.34,0.00,*,0.00,0.00
Azerbaijan,2196.52,2196.52,0.00,0.00,0.00,0.00
Bahamas,17811.67,17637.94,0.00,*,*,0.00
Bahrain,3454.75,3454.75,0.00,0.00,0.00,0.00
Bangladesh,*,*,0.00,*,0.00,0.00
Barbados,1272.39,1249.53,0.00,*,*,0.00
Belarus,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,80689.68,80360.60,*,*,*,0.00
Belize,*,*,0.00,*,*,0.00
Benin,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,43651.46,42349.24,*,865.03,836.33,0.00
Bhutan,0.00,0.00,0.00,0.00,0.00,0.00
Bolivia,*,*,0.00,*,*,0.00
"Bonaire, Sint Eustatius and Saba",*,*,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,*,0.00,0.00,*,0.00,0.00
Botswana,*,*,0.00,0.00,0.00,0.00
Brazil,4656.34,4134.18,0.00,522.16,*,0.00
British Indian Ocean Territory,0.00,0.00,0.00,0.00,0.00,0.00
British Virgin Islands,22921.08,22603.57,*,*,*,0.00
Brunei,1051.95,1051.95,0.00,0.00,0.00,0.00
Bulgaria,*,*,0.00,*,*,0.00
Burkina Faso,*,*,0.00,0.00,0.00,0.00
Burma,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,*,0.00,0.00,*,0.00,0.00
Cambodia,*,*,0.00,0.00,0.00,0.00
Cameroon,*,*,0.00,0.00,0.00,0.00
Canada,39422.38,33092.87,1179.93,5149.58,4573.57,0.00
Cape Verde,0.00,0.00,0.00,0.00,0.00,0.00
Cayman Islands,158461.16,154131.95,*,3854.35,1600.09,0.00
Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00
Chad,0.00,0.00,0.00,0.00,0.00,0.00
Chile,2873.52,2655.52,0.00,*,0.00,0.00
"China, Mainland",75098.63,74977.23,*,*,*,0.00
Colombia,3682.77,3664.94,0.00,*,0.00,0.00
Comoros,*,*,0.00,0.00,0.00,0.00
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,0.00,0.00,0.00,0.00
Cook Islands,*,*,0.00,*,0.00,0.00
Costa Rica,1048.75,1034.70,0.00,*,*,0.00
Cote d`Ivoire,0.00,0.00,0.00,0.00,0.00,0.00
Croatia,*,*,0.00,*,0.00,0.00
Cuba,0.00,0.00,0.00,0.00,0.00,0.00
Curacao,1512.17,1498.39,0.00,*,*,0.00
Cyprus,*,*,0.00,0.00,0.00,0.00
Czech Republic,*,*,0.00,*,0.00,0.00
Denmark,2217.89,2175.92,*,*,*,0.00
Djibouti,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,0.00,0.00,0.00,0.00
Dominican Republic,553.76,540.23,0.00,*,*,0.00
East Timor,0.00,0.00,0.00,0.00,0.00,0.00
Ecuador,1000.19,987.27,0.00,*,*,0.00
Egypt,507.51,506.46,0.00,*,0.00,0.00
El Salvador,87960.11,87755.30,0.00,*,*,0.00
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,*,*,0.00,0.00,0.00,0.00
Ethiopia,0.00,0.00,0.00,0.00,0.00,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,0.00,*,*,0.00
Fiji,0.00,0.00,0.00,0.00,0.00,0.00
Finland,*,*,0.00,*,0.00,0.00
France,20349.19,17764.14,*,2584.24,2425.80,0.00
French Guiana,*,*,0.00,0.00,0.00,0.00
French Polynesia,*,*,0.00,*,0.00,0.00
Gabon,*,*,0.00,0.00,0.00,0.00
Gambia,*,*,0.00,0.00,0.00,0.00
Georgia,*,*,0.00,*,0.00,0.00
Germany,22969.43,22158.99,*,806.60,619.53,0.00
Ghana,*,*,0.00,0.00,0.00,0.00
Gibraltar,*,*,0.00,*,0.00,0.00
Greece,1284.18,1275.88,0.00,*,0.00,0.00
Greenland,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,*,*,0.00,0.00,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,659.27,521.19,0.00,*,*,0.00
Guernsey,2974.19,2725.56,*,*,*,0.00
Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,0.00,0.00,0.00,0.00
Haiti,*,*,0.00,*,0.00,0.00
Holy See (Vatican),0.00,0.00,0.00,0.00,0.00,0.00
Honduras,*,*,0.00,*,0.00,0.00
Hong Kong,51762.49,51447.42,*,*,*,0.00
Hungary,537.16,536.87,0.00,*,0.00,0.00
Iceland,*,*,0.00,0.00,0.00,0.00
India,15993.01,15922.86,0.00,*,0.00,0.00
Indonesia,6295.49,4551.18,0.00,1744.31,1161.37,0.00
Iran,0.00,0.00,0.00,0.00,0.00,0.00
Iraq,0.00,0.00,0.00,0.00,0.00,0.00
Ireland,204146.93,96174.09,2215.60,105757.24,58869.56,0.00
Isle of Man,590.37,*,0.00,*,*,0.00
Israel,26725.55,26204.53,*,*,*,0.00
Italy,4691.78,4661.07,*,*,*,0.00
Jamaica,514.75,513.34,0.00,*,0.00,0.00
Japan,124885.50,123568.69,*,1218.28,985.94,0.00
Jersey,1600.62,1545.50,*,*,*,0.00
Jordan,*,*,0.00,0.00,0.00,0.00
Kazakhstan,6231.08,6231.08,0.00,0.00,0.00,0.00
Kenya,*,*,0.00,0.00,0.00,0.00
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00
"Korea, South",8009.70,6925.68,*,1031.81,*,0.00
Kosovo,*,*,0.00,0.00,0.00,0.00
Kuwait,11264.19,1082.80,*,10074.85,6838.08,0.00
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.00
Laos,0.00,0.00,0.00,0.00,0.00,0.00
Latvia,*,*,0.00,0.00,0.00,0.00
Lebanon,*,*,0.00,0.00,0.00,0.00
Lesotho,*,*,0.00,0.00,0.00,0.00
Liberia,510.43,*,0.00,*,*,0.00
Libya,*,*,0.00,0.00,0.00,0.00
Liechtenstein,*,*,0.00,*,*,0.00
Lithuania,*,*,0.00,0.00,0.00,0.00
Luxembourg,159765.18,93503.07,3516.15,62745.97,35316.43,0.00
Macau,*,*,0.00,*,*,0.00
Macedonia,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,0.00,0.00,0.00,0.00,0.00,0.00
Malawi,0.00,0.00,0.00,0.00,0.00,0.00
Malaysia,*,*,0.00,*,0.00,0.00
Maldives,0.00,0.00,0.00,0.00,0.00,0.00
Mali,0.00,0.00,0.00,0.00,0.00,0.00
Malta,*,*,0.00,*,0.00,0.00
Marshall Islands,572.42,534.48,0.00,*,*,0.00
Martinique,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,0.00,0.00,0.00,0.00,0.00,0.00
Mauritius,*,*,0.00,*,*,0.00
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,19169.46,18430.76,0.00,738.69,*,0.00
Moldova,*,*,0.00,0.00,0.00,0.00
Monaco,524.36,520.98,0.00,*,0.00,0.00
Mongolia,*,*,0.00,0.00,0.00,0.00
Montenegro,0.00,0.00,0.00,0.00,0.00,0.00
Montserrat,*,*,0.00,0.00,0.00,0.00
Morocco,*,*,0.00,0.00,0.00,0.00
Mozambique,*,*,0.00,0.00,0.00,0.00
Namibia,*,*,0.00,0.00,0.00,0.00
Nauru,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,1112.72,1112.49,0.00,*,0.00,0.00
Netherlands,3576.77,2041.70,*,1307.98,1063.63,0.00
Netherlands Antilles,*,*,*,*,NA,NA
New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,2983.32,2921.58,0.00,*,*,0.00
Nicaragua,*,*,0.00,0.00,0.00,0.00
Niger,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,*,*,0.00,*,*,0.00
Niue,0.00,0.00,0.00,0.00,0.00,0.00
Norway,*,*,0.00,*,0.00,0.00
Oman,1088.26,1065.49,0.00,*,*,0.00
Pakistan,*,*,0.00,*,0.00,0.00
Palau,*,*,0.00,*,0.00,0.00
Panama,4736.45,4631.21,0.00,*,*,0.00
Papua New Guinea,*,*,0.00,0.00,0.00,0.00
Paraguay,*,*,0.00,*,*,0.00
Peru,3116.68,2523.75,0.00,592.94,*,0.00
Philippines,2278.49,2273.08,0.00,*,0.00,0.00
Pitcairn Island,0.00,0.00,0.00,0.00,0.00,0.00
Poland,8775.33,8775.10,0.00,*,0.00,0.00
Portugal,509.84,507.49,0.00,*,0.00,0.00
Qatar,870.78,870.63,0.00,*,0.00,0.00
Reunion,0.00,0.00,0.00,0.00,0.00,0.00
Romania,*,*,0.00,*,0.00,0.00
Russia,*,*,0.00,*,0.00,0.00
Rwanda,*,*,0.00,0.00,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,1313.39,1307.65,*,*,0.00,0.00
Saint Lucia,*,*,0.00,0.00,0.00,0.00
Saint Martin and Saint Barthelemy,*,*,0.00,0.00,0.00,0.00
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,*,0.00,0.00,0.00,0.00
Samoa,*,*,0.00,0.00,0.00,0.00
San Marino,0.00,0.00,0.00,0.00,0.00,0.00
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,27014.58,26953.85,0.00,*,*,0.00
Senegal,*,*,0.00,0.00,0.00,0.00
Serbia,*,*,0.00,*,0.00,0.00
Seychelles,*,*,0.00,0.00,0.00,0.00
Sierra Leone,*,*,0.00,0.00,0.00,0.00
Singapore,14160.11,13583.03,*,*,*,0.00
Sint Maarten,*,*,0.00,0.00,0.00,0.00
Slovakia,*,*,0.00,0.00,0.00,0.00
Slovenia,*,*,0.00,*,0.00,0.00
Solomon Islands,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,5301.19,5297.23,0.00,*,0.00,0.00
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Spain,4095.60,3567.01,0.00,528.59,504.69,0.00
Sri Lanka,*,*,0.00,*,0.00,0.00
Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,0.00,*,0.00,0.00
Eswatini,*,*,0.00,0.00,0.00,0.00
Sweden,*,*,0.00,*,0.00,0.00
Switzerland,61873.14,59825.12,*,2016.50,1206.53,0.00
Syria,0.00,0.00,0.00,0.00,0.00,0.00
Taiwan,4942.91,3532.53,*,1394.56,720.51,0.00
Tajikistan,*,*,0.00,0.00,0.00,0.00
Tanzania,*,*,0.00,0.00,0.00,0.00
Thailand,21769.40,21767.54,0.00,*,0.00,0.00
Togo,0.00,0.00,0.00,0.00,0.00,0.00
Tokelau,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,1581.31,1571.81,0.00,*,*,0.00
Tunisia,*,*,0.00,0.00,0.00,0.00
Turkey,2174.43,2145.25,0.00,*,0.00,0.00
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,*,*,0.00,*,*,0.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,*,*,0.00,0.00,0.00,0.00
Ukraine,*,*,0.00,0.00,0.00,0.00
United Arab Emirates,58942.59,58329.11,0.00,613.47,568.32,0.00
United Kingdom,91449.00,84573.46,*,6802.00,5782.33,0.00
Uruguay,8505.89,7889.13,0.00,616.75,578.26,0.00
Uzbekistan,709.82,709.82,0.00,0.00,0.00,0.00
Vanuatu,*,*,0.00,0.00,0.00,0.00
Venezuela,*,*,0.00,*,*,0.00
