                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A2.  Value of foreign holdings of U.S. long-term securities, by country and type of
security, as of June 30, 2016
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Afghanistan                                            1147               7            1139               0               0               1               0
  Albania                                                 477               1             470               0               0               7               0
  Algeria                                                  19              18               0               0               0               1               0
  Andorra                                                2467            1039             819               1               0             608               *
  Angola                                                  690             387               0               0               0             304               0
  Anguilla                                              16325           16067             117               1               1              80              59
  Antigua and Barbuda                                     169             119               2               8               *              39               *
  Argentina                                              6493            4435             544              13              28            1472               2
  Armenia                                                 377               4             372               0               0               *               0
  Aruba                                                   969             340             126             100              37             189             177
  Australia                                            228723          170945           23825             624            1890           28279            3160
  Austria                                               19054            9105            5533              28             437            3869              82
  Azerbaijan                                             6651            1006             662               0               0            4983               0
  Bahamas                                               38281           17380            6535            1258            1190            9804            2115
  Bahrain                                                1851             835             621               5             191             154              46
  Bangladesh                                                6               6               *               0               0               *               0
  Barbados                                              22907            1698            1126              81             261            7187           12553
  Belarus                                                 240               8             232               0               0               *               0
  Belgium                                              528429           31229           95245            2622            1678          378118           19538
  Belize                                                  535             336              13               1               1             183               *
  Benin                                                     *               *               0               0               0               *               0
  Bermuda                                              279670           86259           50199            4725           23994           92744           21749
  Bhutan                                                   47              47               0               0               0               0               0
  Bolivia                                                 592             147             299               *               1             145               *
  Bonaire, Sint Eustatius & Saba (1)                       33              29               1               0               0               3               0
  Bosnia and Herzegovina                                    1               1               0               0               0               *               0
  Botswana                                               2285             485            1794               0               *               6               0
  Brazil                                               245284            5236          238597             692               1             757               1
  British Indian Ocean Territory                            *               *               0               0               0               0               0
  British Virgin Islands                               146236          105162           20025             277             560           17955            2257
  Brunei                                                 3105            2242             304               0               2             411             146
  Bulgaria                                                135             129               *               0               *               6               0
  Burkina Faso                                              *               *               0               0               0               0               0
  Burma                                                   204               1             203               0               *               0               0
  Burundi                                                   *               *               0               0               0               0               0
  Cambodia                                               1833              16            1621               2               0             194               0
  Cameroon                                                  2               2               0               0               0               0               0
  Canada                                               930201          695440           68997            1593            4373          133457           26341
  Cape Verde                                               14               *              14               0               0               0               0
  Cayman Islands                                      1421874          796205          175003            8261           22815          327769           91821
  Central African Republic                                  *               *               0               0               0               0               0
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 50988           20693           27675              26               4            2577              13
  China, mainland (2)                                 1627646          177738         1238077            8940          186993           11485            4412
  Colombia                                              47120           13029           31073             282            1065            1670               1
  Comoros                                                   1               1               0               0               0               0               0
  Congo (Brazzaville)                                       2               2               0               0               0               *               0
  Congo (Kinshasa)                                         13               *               0              12               0               1               0
  Cook Islands                                            210             140               1               1               *              68               1
  Costa Rica                                             3063             835            2005              15               8             199               1
  Cote d`Ivoire (Ivory Coast)                               2               2               0               0               0               0               0
  Croatia                                                1391             194            1196               0               0               *               0
  Cuba                                                      *               *               0               0               0               0               0
  Curacao (1)                                            5088            2863            1058             232              17             913               5
  Cyprus                                                  459             306             121               2               0              30               0
  Czech Republic                                        11002            2306            8593               *               0             103               0
  Denmark                                              115719           68328           22046              46             245           24260             794
  Djibouti                                                  *               *               0               0               0               0               0
  Dominica                                                 41              29               *               *               0              11               *
  Dominican Republic                                     1877             341            1307               8               5             214               2
  East Timor                                            11464            3563            7901               0               0               0               0
  Ecuador                                                1183             753              91             121               1             216               *
  Egypt                                                  1456             454             677              11             265              50               *
  El Salvador                                            1026             243             667               2               8             105               *
  Equatorial Guinea                                         *               *               0               0               0               0               0
  Eritrea                                                   *               *               0               0               0               0               0
  Estonia                                                 538             290             228               2               0              18               *
  Ethiopia                                                  8               7               0               0               0               *               0
  Falkland Islands                                         19              16               3               0               0               1               *
  Faroe Islands                                             *               *               0               0               0               0               0
  Federated States of Micronesia                          116              61              17              14               7              17               0
  Fiji                                                      6               6               0               0               0               *               0
  Finland                                               36540           21044            9955              13               0            5474              54
  France                                               216169          119619           40635             404            2666           46133            6712
  French Guiana                                            15              13               0               0               0               2               0
  French Polynesia                                         15              14               *               *               *               1               0
  Gabon                                                   175              14              34               0               0             127               0
  Gambia                                                    6               6               0               0               0               0               0
  Georgia                                                1154              18            1054               0              75               7               0
  Germany                                              350891          155276           77503            1969            2638           99735           13770
