"Table A3.  Value of foreign holdings of U.S. Treasury debt securities, by country and"
"type of Treasury security, as of June 30, 2015"
"Millions of dollars"
"","","","Treasury L","T debt**"
"","","","of which:","of which:","of which:","Treasury"
"Countries and Regions","Total","Total","Nominal","TIPS","FRN","ST debt**"
"Afghanistan",1103,1103,1103,0,0,0
"Albania",446,446,443,0,3,0
"Algeria",680,0,0,0,0,680
"Andorra",269,268,268,"*",0,1
"Angola",176,102,102,0,0,73
"Anguilla",339,279,279,"*",0,60
"Antigua and Barbuda",30,2,2,"*",0,28
"Argentina",644,545,471,74,"*",99
"Armenia",375,375,375,0,0,0
"Aruba",123,121,121,"*","*",3
"Australia",34021,24519,18425,5861,234,9501
"Austria",5885,5180,5004,166,10,705
"Azerbaijan",732,632,620,0,12,100
"Bahamas",5712,4237,4192,16,29,1475
"Bahrain",904,748,620,128,"*",156
"Bangladesh",1071,"*","*",0,0,1070
"Barbados",1406,942,877,65,0,464
"Belarus",248,248,248,0,0,0
"Belgium",206229,195574,190334,3924,1316,10655
"Belize",160,155,154,"*",0,6
"Bermuda",54177,37586,35414,1603,569,16591
"Bolivia",895,655,655,0,0,240
"Bonaire, Sint Eustatius & Saba (1)",1,1,1,0,0,0
"Botswana",1642,1613,1592,21,0,29
"Brazil",256173,237775,205261,12747,19766,18398
"British Virgin Islands",30583,17132,11938,5034,160,13452
"Brunei",208,196,121,75,0,12
"Bulgaria","*","*","*",0,0,0
"Cambodia",1727,1727,1726,1,0,0
"Canada",67827,47727,38775,8421,531,20101
"Cape Verde",52,0,0,0,0,52
"Cayman Islands",219239,135313,82675,47017,5620,83926
"Chile",28899,22464,21160,917,386,6435
"China, mainland (2)",1270539,1267500,1097393,169967,140,3038
"Colombia",37824,36849,35773,793,283,975
"Cook Islands","*","*",0,"*",0,0
"Costa Rica",1635,1307,1307,"*","*",328
"Croatia",1897,1467,1412,0,55,430
"Curacao (1)",1135,986,984,"*",2,150
"Cyprus",151,126,126,0,"*",24
"Czech Republic",5400,5378,5368,10,0,22
"Denmark",17026,16025,15238,787,0,1002
"Dominica","*","*","*",0,0,0
"Dominican Republic",1163,1161,742,"*",419,2
"East Timor",8442,8438,8438,0,0,4
"Ecuador",247,92,92,"*","*",154
"Egypt",4737,3807,3793,14,0,930
"El Salvador",580,574,267,"*",307,6
"Estonia",237,215,215,"*",0,23
"Falkland Islands",1,1,1,0,0,0
"Federated States of Micronesia",20,20,20,0,0,"*"
"Finland",8233,8142,7693,449,0,92
"France",55996,49205,40552,8034,620,6791
"French Polynesia","*","*","*",0,0,0
"Gabon","*","*","*",0,0,0
"Georgia",646,641,641,0,0,5
"Germany",74865,69848,62041,7585,222,5018
"Ghana",849,636,636,0,0,213
"Gibraltar",68,68,68,0,0,0
"Greece",3598,997,993,4,0,2601
"Grenada","*","*","*",0,0,0
"Guatemala",2016,2014,1932,"*",82,2
"Guernsey",7028,4863,4257,565,41,2165
"Guyana",18,18,18,"*",0,0
"Haiti",52,52,50,2,0,"*"
"Honduras",823,822,799,"*",23,"*"
"Hong Kong",181276,123040,88869,3729,30443,58236
"Hungary",1260,1069,1062,7,0,191
"Iceland",901,867,866,1,0,33
"India",116825,101044,101044,"*",0,15781
"Indonesia",20791,19411,19411,"*",0,1380
"Iraq",30111,12362,12362,0,0,17750
"Ireland",216620,173617,156671,13216,3729,43004
"Isle of Man",705,617,613,4,0,88
"Israel",19959,15708,15552,152,4,4251
"Italy",32971,32462,31498,823,141,509
"Jamaica",140,140,136,0,4,0
"Japan",1196247,1123146,1088587,34345,214,73101
"Jersey",2640,1399,1048,347,4,1240
"Jordan",705,280,280,0,0,425
"Kazakhstan",28377,9102,9061,42,0,19274
"Kenya",747,747,734,0,12,0
"Kiribati",23,23,23,0,0,0
"Korea, South",76787,66059,33708,9590,22761,10727
"Kuwait",31022,27924,19397,8121,406,3098
"Latvia",1139,817,817,0,0,323
"Lebanon",1,1,1,"*",0,0
"Lesotho",94,94,90,0,4,0
"Liberia",159,136,115,0,22,23
"Liechtenstein",4,2,2,0,0,2
"Lithuania",249,243,243,0,0,7
"Luxembourg",184055,134794,123583,10476,735,49261
"Macau",1170,1138,1072,66,0,32
"Macedonia",196,196,196,0,0,0
"Madagascar",246,246,246,0,0,0
"Malawi","*","*","*",0,0,0
"Malaysia",7096,6979,4431,2516,32,117
"Malta",315,314,314,0,0,1
"Marshall Islands",13,4,4,"*",0,9
"Mauritania",106,106,106,0,0,0
"Mauritius",1127,927,924,1,2,200
"Mexico",86114,77633,49000,3672,24960,8481
"Moldova",385,385,385,0,0,0
"Monaco",342,251,250,1,"*",91
"Mongolia",146,146,133,0,13,0
"Morocco",1616,1616,1616,0,0,0
"Mozambique",189,189,186,0,3,0
"Namibia",62,62,60,0,2,0
"Nepal",748,598,598,0,0,150
"Netherlands",36626,33782,29475,4204,103,2844
"New Zealand",4959,4237,4033,174,30,723
"Nicaragua",207,207,207,0,0,0
