                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A3.  Value of foreign holdings of U.S. Treasury debt securities, by country and
type of Treasury security, as of June 30, 2016
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Afghanistan                                            1179            1139            1139               0               0              40
  Albania                                                 470             470             469               1               0               0
  Algeria                                                 680               0               0               0               0             680
  Andorra                                                 849             819             813               6               0              30
  Angola                                                    1               0               0               0               0               1
  Anguilla                                               1913             117             117               *               0            1796
  Antigua and Barbuda                                       3               2               2               *               *               *
  Argentina                                               640             544             468              76               *              96
  Armenia                                                 372             372             372               0               0               0
  Aruba                                                   126             126             126               *               *               *
  Australia                                             31312           23825           20785            2569             471            7487
  Austria                                                5848            5533            5135             374              25             315
  Azerbaijan                                              706             662             653               9               0              44
  Bahamas                                                8751            6535            6457              77               *            2216
  Bahrain                                                 709             621             589              32               0              88
  Bangladesh                                              200               *               *               0               0             200
  Barbados                                               1412            1126            1074              52               0             286
  Belarus                                                 232             232             232               0               0               0
  Belgium                                              154795           95245           87353            7242             650           59550
  Belize                                                   23              13              12               1               0              10
  Bermuda                                               69218           50199           48111            1891             198           19019
  Bolivia                                                 364             299             298               1               0              65
  Bonaire, Sint Eustatius & Saba (1)                        1               1               1               0               0               0
  Botswana                                               1823            1794            1743              50               0              29
  Brazil                                               251466          238597          217385           12833            8379           12868
  British Virgin Islands                                31930           20025           17770            2209              46           11905
  Brunei                                                  648             304             280              24               0             344
  Bulgaria                                                  *               *               *               0               0               0
  Burma                                                   203             203             203               0               0               0
  Cambodia                                               1622            1621            1615               6               0               1
  Canada                                                85323           68997           58363            9356            1278           16326
  Cape Verde                                               39              14              14               0               0              25
  Cayman Islands                                       267647          175003          110856           56742            7404           92644
  Chile                                                 33311           27675           26040            1263             371            5636
  China, mainland (2)                                 1239794         1238077         1067544          170376             157            1717
  Colombia                                              31411           31073           28309            1129            1635             338
  Cook Islands                                              1               1               0               *               *               *
  Costa Rica                                             2005            2005            2005               *               0               *
  Croatia                                                1400            1196            1165               0              31             204
  Curacao (1)                                            1715            1058            1056               1               1             657
  Cyprus                                                  144             121             121               0               0              23
  Czech Republic                                         8593            8593            8583              10               0               0
  Denmark                                               23245           22046           20918            1129               0            1198
  Dominica                                                  *               *               *               0               0               *
  Dominican Republic                                     1310            1307             792               *             516               3
  East Timor                                             7901            7901            7898               3               0               0
  Ecuador                                                 232              91              91               *               *             140
  Egypt                                                  1778             677             644              31               1            1101
  El Salvador                                             948             667             667               *               0             280
  Estonia                                                 238             228             228               *               0              10
  Ethiopia                                                  *               0               0               0               0               *
  Falkland Islands                                          3               3               2               1               0               0
  Federated States of Micronesia                           17              17              17               0               0               0
  Finland                                               10023            9955            8743            1212               0              67
  France                                                52878           40635           35874            4094             668           12243
  French Polynesia                                          2               *               *               0               0               2
  Gabon                                                    34              34              34               0               0               0
  Georgia                                                1054            1054            1054               0               0               0
  Germany                                               99273           77503           68797            8463             244           21770
  Ghana                                                   875             875             852              23               0               0
  Gibraltar                                               358             349             349               0               0               9
  Greece                                                 4023            1354            1341              13               0            2669
  Grenada                                                   *               *               *               0               0               0
  Guatemala                                              2552            2551            2535              16               0               1
  Guernsey                                               6808            4833            4553             264              16            1974
  Guyana                                                   12              12              12               *               0               0
  Haiti                                                    80              80              76               5               0               0
  Holy See (Vatican)                                       12              12              12               0               0               0
  Honduras                                                800             800             800               *               0               *
  Hong Kong                                            184537          136601           99128            3873           33599           47935
  Hungary                                                1152             801             793               8               0             351
  Iceland                                                1873            1834            1794              39               0              40
  India                                                117186          110172          110172               *               0            7015
  Indonesia                                             18657           17504           17488              16               0            1152
  Iraq                                                  15312            7318            7318               0               0            7994
  Ireland                                              269418          234513          198610           19563           16339           34906
  Isle of Man                                             713             709             704               5               0               3
  Israel                                                30614           28890           26009            2227             655            1723
  Italy                                                 38921           38159           35188            2818             153             761
  Jamaica                                                 170             109             109               *               0              62
  Japan                                               1146478         1085645         1043509           41580             556           60833
  Jersey                                                 4636            2018            1087             716             216            2618
  Jordan                                                  248             241             241               0               0               7
  Kazakhstan                                            21485           15383           15255             127               0            6103
  Kenya                                                   989             989             989               *               0               0
  Korea, South                                          82082           75486           50728            9399           15358            6596
  Kuwait                                                30561           28649           19800            8448             401            1912
  Latvia                                                  730             700             700               0               0              30
  Lebanon                                                   1               1               1               0               0               0
  Lesotho                                                  83              83              83               0               0               0
  Liberia                                                 437             432             422               0              10               5
  Liechtenstein                                            15              15              14               1               0               0
  Lithuania                                               250             227             227               0               0              22
  Luxembourg                                           224953          179989          145667           21402           12920           44964
  Macau                                                  1378            1333            1207             126               0              45
  Macedonia                                               229             229             219               0              10               0
  Madagascar                                               77              77              77               0               0               0
  Malawi                                                    1               1               1               0               0               0
  Malaysia                                              13511           13301           11676            1626               *             210
  Malta                                                   354             350             350               *               0               3
  Marshall Islands                                         49               5               5               *               0              44
  Mauritania                                              115             115             115               0               0               0
  Mauritius                                              1101             921             817               0             105             180
  Mexico                                                51279           39163           22276            5227           11659           12116
  Moldova                                                 469             469             469               0               0               0
  Monaco                                                  404             326             320               6               0              78
  Mongolia                                                145             145             145               0               0               0
  Montserrat                                                2               2               2               0               0               0
  Morocco                                                2407            2403            2403               0               0               4
  Mozambique                                              173             173             173               0               0               0
  Namibia                                                  57              57              57               0               0               0
  Nepal                                                   864             714             714               0               0             150
