                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Value of foreign holdings of U.S. equities, by country and type of equities,
as of June 30, 2016
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Afghanistan                                               7               2               5               *
  Albania                                                   1               *               1               *
  Algeria                                                  18              16               2               *
  Andorra                                                1039             752             204              83
  Angola                                                  387             205               2             180
  Anguilla                                              16067           15437             621               9
  Antigua and Barbuda                                     119              76              31              12
  Argentina                                              4435            1632            2309             493
  Armenia                                                   4               4               1               0
  Aruba                                                   340              51             285               4
  Australia                                            170945          127454           24910           18582
  Austria                                                9105            7846            1070             189
  Azerbaijan                                             1006             960              47               *
  Bahamas                                               17380            6833            9895             652
  Bahrain                                                 835             650             154              32
  Bangladesh                                                6               2               4               *
  Barbados                                               1698             775             838              84
  Belarus                                                   8               7               1               0
  Belgium                                               31229           26171            4271             787
  Belize                                                  336              74             217              45
  Benin                                                     *               *               *               0
  Bermuda                                               86259           32671           46717            6870
  Bhutan                                                   47               *              47               0
  Bolivia                                                 147              53              85               9
  Bonaire, Sint Eustatius & Saba (1)                       29              14              15               *
  Bosnia and Herzegovina                                    1               *               *               *
  Botswana                                                485             450              29               6
  Brazil                                                 5236            3311            1833              92
  British Indian Ocean Territory                            *               *               *               0
  British Virgin Islands                               105162           49778           41408           13977
  Brunei                                                 2242            1075            1040             127
  Bulgaria                                                129             100              28               1
  Burkina Faso                                              *               *               *               *
  Burma                                                     1               *               1               0
  Burundi                                                   *               *               0               *
  Cambodia                                                 16              12               4               *
  Cameroon                                                  2               1               1               *
  Canada                                               695440          561843          105152           28446
  Cape Verde                                                *               0               *               0
  Cayman Islands                                       796205          441161          199257          155787
  Central African Republic                                  *               *               0               *
  Chad                                                      *               *               *               0
  Chile                                                 20693            2313           17917             463
  China, mainland (2)                                  177738          129257           10649           37832
  Colombia                                              13029             396           12218             415
  Comoros                                                   1               1               *               *
  Congo (Brazzaville)                                       2               *               1               0
  Congo (Kinshasa)                                          *               *               *               *
  Cook Islands                                            140              23             116               1
  Costa Rica                                              835             195             604              37
  Cote d`Ivoire (Ivory Coast)                               2               2               *               *
  Croatia                                                 194             137              57               *
  Cuba                                                      *               *               *               0
  Curacao (1)                                            2863             934            1124             806
  Cyprus                                                  306             197              84              25
  Czech Republic                                         2306            1958             344               4
  Denmark                                               68328           55196           10126            3006
  Djibouti                                                  *               *               *               *
  Dominica                                                 29               4              24               1
  Dominican Republic                                      341             117             191              33
  East Timor                                             3563            3451             111               1
  Ecuador                                                 753              91             626              36
  Egypt                                                   454             350             101               3
  El Salvador                                             243              57             136              50
  Equatorial Guinea                                         *               *               *               0
  Eritrea                                                   *               0               *               0
  Estonia                                                 290              75             212               3
  Ethiopia                                                  7               4               3               *
  Falkland Islands                                         16              15               *               0
  Faroe Islands                                             *               *               *               *
  Federated States of Micronesia                           61              48              11               3
  Fiji                                                      6               1               4               0
  Finland                                               21044           10865            8527            1652
  France                                               119619          102459           13916            3244
  French Guiana                                            13               6               7               *
  French Polynesia                                         14               7               7               *
  Gabon                                                    14               3              11               0
  Gambia                                                    6               5               1               *
  Georgia                                                  18              10               8               *
  Germany                                              155276          135582           12677            7017
  Ghana                                                    21              16               4               *
  Gibraltar                                               296             225              67               3
  Greece                                                 1852            1275             537              40
  Greenland                                                 *               *               *               0
  Grenada                                                  36              10              24               2
  Guadeloupe (1)                                           14              12               1               1
  Guatemala                                               288             130             133              25
  Guernsey                                              26658           10183            7251            9224
  Guinea                                                    *               *               *               0
  Guyana                                                   43               7              30               6
  Haiti                                                   137              43              60              33
  Holy See (Vatican)                                        9               2               7               *
  Honduras                                                 64              14              44               5
  Hong Kong                                             74599           53023           14859            6717
  Hungary                                                 676             128             548               1
  Iceland                                                 952             350             492             111
  India                                                  2181            1603             533              45
  Indonesia                                               275             158              93              24
  Iran                                                      3               1               1               *
  Iraq                                                      *               *               *               *
  Ireland                                              238264          212772           19494            5998
  Isle of Man                                             842             371             354             117
  Israel                                                37352           16567           18608            2176
  Italy                                                 24129           20600            3237             293
  Jamaica                                                 156              71              84               2
  Japan                                                427512          324916           95883            6713
  Jersey                                                17446           11650            3184            2612
  Jordan                                                   68              39              26               4
  Kazakhstan                                             4680            4591              89               *
  Kenya                                                    28              15              13               *
  Kiribati                                                305               0              72             233
  Korea, South                                          74962           56364           11524            7074
  Kosovo (1)                                                1               1               1               0
  Kuwait                                               131119          115447            7046            8627
  Kyrgyzstan                                                *               *               0               0
  Laos                                                      *               *               *               0
  Latvia                                                  102              72              30               *
  Lebanon                                                 173             100              46              27
  Liberia                                                 502             222             205              74
  Libya                                                    80               *               *              80
  Liechtenstein                                          2636            2350             190              96
  Lithuania                                                32              26               6               *
  Luxembourg                                           516395          472203           35858            8335
  Macau                                                  1180             361             818               1
  Macedonia                                                 3               1               2               *
  Madagascar                                                9               *               9               *
  Malawi                                                    4               2               2               *
  Malaysia                                              10084            9409             603              71
  Maldives                                                  *               *               *               0
  Mali                                                      3               *               3               0
  Malta                                                   594             375             189              30
  Marshall Islands                                        874             271             581              23
  Martinique                                                1               1               *               0
  Mauritania                                                *               *               0               0
  Mauritius                                               897             792              70              35
  Mexico                                                35506            9247           25531             728
  Moldova                                                   3               3               1               0
