"Table A8.  Foreign holdings of U.S. equities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2008,2009,2010,2011,2012,2013,2014,2015
"Afghanistan","*","*","*","*","*","*","*","*"
"Albania","*","*","*","*","*","*","*","*"
"Algeria","*","*","*","*","*","*","*","*"
"Andorra",1,"*",1,1,1,1,1,1
"Angola",1,"*",1,2,1,1,"*","*"
"Anguilla",3,8,11,16,15,21,17,19
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",3,4,4,5,5,5,5,5
"Armenia","*","*","*","*","*","*","*","*"
"Aruba",1,"*","*","*","*","*","*","*"
"Australia",81,61,74,106,112,149,170,176
"Austria",13,5,5,7,7,7,9,8
"Azerbaijan","*","*","*","*","*","*","*",1
"Bahamas",17,15,17,19,18,19,22,21
"Bahrain","*",1,"*",1,1,1,1,1
"Bangladesh","*","*","*","*","*","*","*","*"
"Barbados",1,1,1,1,1,1,1,2
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",20,17,19,25,22,29,34,34
"Belize","*","*","*","*","*","*",1,1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",52,39,44,59,68,74,93,89
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia","*","*",1,"*","*","*","*","*"
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",1,1,1,1,1,1,1,1
"Brazil",2,1,2,2,4,4,7,8
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",53,36,42,61,84,101,128,119
"Brunei",2,1,1,2,2,2,4,2
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*","*","*","*","*","*","*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*","*","*","*"
"Cambodia","*","*","*","*","*","*","*","*"
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",321,242,298,415,471,617,769,761
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",317,227,290,393,516,628,838,884
"Central African Republic","*","*","*","*","*","*","*","*"
"Chad","*","*","*","*","*","*","*","*"
"Chile",9,9,13,18,17,22,27,29
"China, mainland (2)",100,78,127,159,221,261,320,330
"Colombia",2,2,4,7,6,7,11,18
"Comoros","*","*","*","*","*","*",1,1
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*","*","*"
"Costa Rica","*",1,1,1,1,1,1,2
"Cote d`Ivoire (Ivory Coast)","*","*","*","*","*","*","*","*"
"Croatia","*","*","*","*","*","*","*","*"
"Cuba","*","*","*","*","*","*","*","*"
"Curacao (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",2,2
"Cyprus","*","*","*","*","*","*",1,"*"
"Czech Republic",1,1,1,1,1,2,2,2
"Denmark",28,19,26,34,37,48,53,61
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic","*","*","*","*","*","*","*","*"
"East Timor","*","*","*","*",1,2,3,4
"Ecuador","*","*","*","*","*","*","*",1
"Egypt","*","*","*","*","*","*","*","*"
"El Salvador","*","*","*","*","*","*","*","*"
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*","*","*","*","*","*","*","*"
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",7,6,9,14,12,14,21,18
"France",133,81,115,140,120,115,157,168
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia","*","*","*","*","*","*","*","*"
"Germany",71,45,57,81,79,111,137,159
"Ghana","*","*","*","*","*","*","*","*"
"Gibraltar",1,"*",1,"*","*","*","*","*"
"Greece",1,1,1,2,3,4,5,4
