"Table A4.  Value of foreign holdings of U.S. equities, by country and type of equities,"
"as of June 30, 2017"
"Millions of dollars"
"","Total","Common","","Preferred"
"Countries and Regions","Equities","Stock","Funds","and Other"
"Afghanistan",8,2,6,"*"
"Albania",3,3,1,0
"Algeria",19,18,1,"*"
"Andorra",947,682,228,37
"Angola",602,409,44,149
"Anguilla",15288,14908,369,10
"Antigua and Barbuda",137,102,31,5
"Argentina",4716,1792,2488,436
"Armenia",6,4,3,0
"Aruba",634,364,266,3
"Australia",193409,148868,21947,22594
"Austria",10977,9576,1207,193
"Azerbaijan",1182,1134,48,"*"
"Bahamas",21195,10389,10124,682
"Bahrain",820,577,197,46
"Bangladesh",7,2,4,"*"
"Barbados",1358,463,860,35
"Belarus",9,9,"*",0
"Belgium",38116,31253,6344,519
"Belize",414,104,254,57
"Benin","*",0,"*",0
"Bermuda",95341,37978,52015,5347
"Bhutan",53,0,53,0
"Bolivia",213,78,124,11
"Bonaire, Sint Eustatius & Saba (1)",99,19,28,52
"Bosnia and Herzegovina",1,1,"*",0
"Botswana",605,540,59,6
"Brazil",4699,3468,1142,89
"British Indian Ocean Territory","*",0,"*","*"
"British Virgin Islands",111724,48608,56174,6942
"Brunei",4269,1449,2669,151
"Bulgaria",151,117,34,"*"
"Burkina Faso",178,60,118,"*"
"Burma",2,"*",1,"*"
"Burundi","*","*",0,"*"
"Cambodia",5,2,3,"*"
"Cameroon",3,2,1,"*"
"Canada",810003,640713,134215,35075
"Cape Verde","*",0,"*",0
"Cayman Islands",927697,530775,235981,160940
"Central African Republic","*",0,0,"*"
"Chad","*","*","*",0
"Chile",23876,2331,20597,948
"China, mainland (2)",193996,136052,11171,46773
"Colombia",13169,392,12350,427
"Comoros",189,189,"*","*"
"Congo (Brazzaville)",2,"*",1,"*"
"Congo (Kinshasa)",4,"*",4,0
"Cook Islands",701,650,49,1
"Costa Rica",890,213,636,41
"Cote d`Ivoire (Ivory Coast)",4,3,1,"*"
"Croatia",230,202,27,"*"
"Cuba","*","*",0,0
"Curacao (1)",3385,1250,1495,639
"Cyprus",466,301,120,45
"Czech Republic",2791,2421,365,4
"Denmark",82724,62910,16107,3707
"Djibouti",1,1,"*","*"
"Dominica",37,8,27,2
"Dominican Republic",384,133,215,37
"East Timor",3562,3469,92,1
"Ecuador",460,110,307,43
"Egypt",402,296,103,3
"El Salvador",325,69,176,80
"Equatorial Guinea","*","*",0,0
"Eritrea","*","*","*",0
"Estonia",360,104,254,2
"Ethiopia",7,4,3,"*"
"Falkland Islands",17,16,1,"*"
"Faroe Islands","*",0,"*","*"
"Federated States of Micronesia",71,57,11,3
"Fiji",3,2,2,0
"Finland",27623,12806,12758,2058
"France",153504,132323,17052,4128
"French Guiana",14,7,7,"*"
"French Polynesia",14,7,6,1
"Gabon",25,4,21,"*"
"Gambia",7,6,1,"*"
"Georgia",5,3,2,"*"
"Germany",207687,185524,14859,7305
"Ghana",11,6,5,"*"
"Gibraltar",191,127,58,6
"Greece",1832,1315,493,24
"Greenland","*","*","*",0
"Grenada",57,22,34,1
"Guadeloupe (1)",13,12,1,"*"
"Guatemala",335,161,144,30
"Guernsey",31582,14348,7494,9740
"Guinea","*","*","*",0
"Guyana",33,10,16,7
"Haiti",119,56,34,30
"Holy See (Vatican)",5,1,4,"*"
"Honduras",84,23,56,6
"Hong Kong",95754,64934,24948,5872
"Hungary",808,160,648,1
"Iceland",1079,482,578,19
"India",2653,2009,583,61
"Indonesia",288,177,89,22
"Iran",2,2,"*",0
"Iraq",1,"*","*","*"
"Ireland",295681,265083,23861,6737
"Isle of Man",951,462,401,88
"Israel",48853,23669,21401,3783
"Italy",27068,24554,2040,474
"Jamaica",278,99,175,4
"Japan",490186,394055,88287,7845
"Jersey",15889,10692,2673,2524
"Jordan",85,52,32,2
"Kazakhstan",5647,5562,85,"*"
"Kenya",31,13,17,1
"Kiribati",289,0,174,115
"Korea, South",101829,75694,16402,9733
