"Table A5.  Foreign holdings of U.S. long-term asset-backed securities, by country and"
"type of security, as of June 30, 2017"
"Millions of dollars"
"","Total","Agency","","Corporate ABS"
"Countries and Regions","LT ABS","ABS","Total","MBS","NonMBS"
"Andorra",41,40,1,1,0
"Anguilla",89,16,73,62,12
"Antigua and Barbuda","*","*","*","*","*"
"Argentina",11,9,2,1,1
"Aruba",246,15,231,"*",231
"Australia",5547,2237,3311,2377,934
"Austria",599,483,116,9,107
"Bahamas",4451,1069,3382,637,2745
"Bahrain",169,131,39,19,20
"Barbados",12857,1393,11464,9609,1855
"Belgium",16013,1831,14182,3044,11138
"Belize",1,1,"*",0,"*"
"Bermuda",44721,23156,21566,11807,9758
"Bolivia",1,1,"*","*","*"
"Botswana","*","*",0,0,0
"Brazil",2,2,1,"*",1
"British Virgin Islands",2499,939,1560,1012,548
"Brunei",136,1,135,86,49
"Bulgaria","*","*","*",0,"*"
"Burma","*","*",0,0,0
"Canada",28534,3646,24888,20087,4800
"Cayman Islands",128195,24897,103298,77181,26117
"Chile",15,9,6,"*",6
"China, mainland (2)",180947,177546,3401,2243,1158
"Colombia",1028,1026,2,"*",1
"Cook Islands",1,"*",1,0,1
"Costa Rica",5,5,1,"*",1
"Curacao (1)",48,25,22,5,17
"Denmark",1072,331,740,490,250
"Dominica","*",0,"*","*","*"
"Dominican Republic",5,4,1,"*",1
"Ecuador",3,3,"*","*","*"
"Egypt",201,200,2,2,0
"El Salvador",9,9,"*","*","*"
"Falkland Islands","*",0,"*",0,"*"
"Federated States of Micronesia",5,5,0,0,0
"Finland",14,0,14,"*",13
"France",9299,3037,6261,3223,3038
"French Polynesia","*","*",0,0,0
"Georgia","*","*",0,0,0
"Germany",27058,5587,21471,1930,19542
"Ghana",1,0,1,0,1
"Gibraltar",1,1,0,0,0
"Greece",1,1,"*","*",0
"Guatemala",53,9,44,14,30
"Guernsey",403,114,289,169,120
"Guyana","*","*","*",0,"*"
"Haiti",6,"*",6,"*",6
"Honduras",1,"*","*","*",0
"Hong Kong",10220,8815,1405,461,945
"Hungary",856,856,0,0,0
"India",121,121,"*","*","*"
"Indonesia",3706,3640,65,0,65
"Ireland",77656,33663,43994,22148,21846
"Isle of Man","*","*","*",0,"*"
"Israel",1804,1578,227,138,89
"Italy",411,265,146,33,113
"Jamaica","*",0,"*",0,"*"
"Japan",235465,221528,13938,5196,8742
"Jersey",630,220,410,383,27
"Jordan","*","*",0,0,0
"Kazakhstan","*","*",0,0,0
"Korea, South",35987,33891,2096,1372,725
"Kuwait",5020,4260,760,387,373
"Latvia",1488,1077,411,5,406
"Lebanon","*","*",0,0,0
"Liberia",97,53,44,26,18
"Liechtenstein",88,72,16,"*",16
"Luxembourg",67351,28314,39037,16107,22930
"Macau",417,190,227,56,171
"Malaysia",12093,11905,188,15,172
"Malta",3,0,3,0,3
"Marshall Islands",3,1,1,1,"*"
"Mauritius",311,10,301,7,294
"Mexico",5409,5223,186,2,185
"Monaco",125,118,7,"*",7
"Netherlands",14901,11462,3439,2802,637
"New Zealand",713,579,134,99,35
"Nicaragua","*","*","*",0,"*"
"Nigeria",211,211,0,0,0
"Norway",402,2,399,88,311
"Oman",88,75,14,4,10
"Palau",5,5,"*",0,"*"
"Panama",1121,956,164,80,84
"Paraguay",2,2,"*","*",0
"Peru",15,1,14,2,13
"Philippines",21,21,"*","*",0
"Poland","*",0,"*","*",0
"Portugal",150,147,2,0,2
"Qatar",709,238,471,412,59
"Russia",2,1,1,"*",1
"Saint Kitts and Nevis",13,11,2,1,2
"Saint Lucia","*","*","*",0,"*"
"Saint Vincent and the Grenadines","*","*",0,0,0
"Samoa","*","*","*","*","*"
"Saudi Arabia",5785,4642,1142,459,683
"Seychelles",2,"*",2,0,2
"Singapore",10146,4615,5531,1103,4429
"Sint Maarten (1)",4,4,"*",0,"*"
"Slovenia","*",0,"*","*",0
"South Africa",1650,1553,97,97,0
"Spain",1661,593,1069,11,1058
"Suriname","*","*","*","*",0
"Swaziland",90,10,80,34,46
"Sweden",756,89,667,114,553
"Switzerland",22400,13867,8533,5769,2764
"Taiwan",228059,227073,986,831,155
"Thailand",3910,3901,10,7,3
"Trinidad and Tobago",1428,724,704,34,670
"Tunisia","*",0,"*",0,"*"
"Turkey","*","*",0,0,0
"Turks and Caicos Islands",17,14,3,2,2
"Uganda",84,15,69,32,37
"Ukraine","*",0,"*",0,"*"
"United Arab Emirates",1017,698,319,243,75
"United Kingdom",30425,9809,20616,8066,12550
"Uruguay",498,470,28,"*",28
"Venezuela",25,16,9,6,4
"Vietnam","*","*","*",0,"*"
"International and regional organizations",11942,5332,6610,308,6301
"Country Unknown",1,1,"*","*",0
""
"Total",1261804,890712,371092,200951,170142
""
"of which: Holdings of foreign official"
"institutions",398036,383724,14312,5337,8975
""
"Totals by Region:"
"Total Africa",2648,2053,595,197,398
"Total Asia",735821,704867,30954,13033,17921
"Total Caribbean",194579,52266,142313,100350,41963
"Total Europe",273805,111979,161826,64394,97433
"Total Latin America",8200,7741,459,105,354
"Canada",28534,3646,24888,20087,4800
"Australia/Oceania",6274,2826,3448,2477,971
"Country Unknown",1,1,"*","*",0
"International and regional organizations",11942,5332,6610,308,6301
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
