"Table A7.  Foreign holdings of U.S. securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2010,2011,2012,2013,2014,2015,2016,2017
"Afghanistan",1,1,1,1,1,1,1,1
"Albania","*","*","*",1,1,"*","*","*"
"Algeria",1,1,1,1,1,1,1,1
"Andorra",1,2,1,2,2,2,3,2
"Angola",1,2,1,1,1,1,1,1
"Anguilla",11,17,16,23,17,20,18,17
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",9,9,8,8,8,7,7,7
"Armenia","*","*","*","*","*","*","*",1
"Aruba",1,1,1,2,1,1,1,1
"Australia",118,161,161,215,238,242,237,271
"Austria",9,12,13,13,16,18,19,20
"Azerbaijan",3,5,7,5,8,8,7,7
"Bahamas",29,33,29,29,33,37,42,52
"Bahrain",7,6,3,3,3,3,2,2
"Bangladesh",2,2,1,1,1,1,"*",1
"Barbados",19,12,14,13,13,16,23,24
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",408,443,447,490,713,602,589,691
"Belize","*","*","*","*",1,1,1,1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",249,272,300,325,301,287,307,318
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia",2,1,1,1,3,3,2,2
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","n.a.","n.a.","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",3,3,3,2,2,2,2,2
"Brazil",169,221,252,261,263,268,259,277
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",85,107,131,139,176,173,161,166
"Brunei",2,3,4,3,4,3,3,5
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*","*","*","*","*","*","*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*","*","*","*"
"Cambodia",1,1,1,1,"*",2,2,2
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",424,559,635,814,988,992,951,1061
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",743,889,1031,1168,1409,1506,1525,1687
"Central African Republic","*","*","*","*","*","*","*","*"
"Chad","*","*","*","*","*","*","*","*"
"Chile",28,43,48,55,60,64,59,57
"China, mainland (2)",1611,1727,1592,1735,1817,1844,1630,1541
"Colombia",25,32,36,42,48,59,48,45
"Comoros","*","*","*","*",1,1,"*","*"
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*","*",1
"Costa Rica",2,2,2,3,3,4,3,3
"Cote d`Ivoire (Ivory Coast)","*","*","*","*","*","*","*","*"
"Croatia",2,2,2,2,2,2,2,2
"Cuba","*","*","*","*","*","*","*","*"
"Curacao (1)","n.a.","n.a.","n.a.","n.a.",4,4,6,6
"Cyprus","*","*","*",1,1,1,"*",1
"Czech Republic",7,7,8,8,8,8,11,24
"Denmark",49,63,76,88,98,105,117,125
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic",1,1,1,1,1,2,2,2
"East Timor",6,8,10,12,13,12,11,11
