                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A9.  Foreign holdings of U.S. long-term debt securities, by country, as of selected survey dates

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2010            2011            2012            2013            2014            2015            2016            2017
  Afghanistan                                          1               1               1               1               1               1               1               1
  Albania                                              *               *               *               1               1               *               *               *
  Algeria                                              *               *               *               *               *               *               *               *
  Andorra                                              1               1               1               1               1               1               1               1
  Angola                                               *               *               *               *               *               1               *               *
  Anguilla                                             *               *               1               2               *               *               *               *
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            4               4               3               3               3               2               2               2
  Armenia                                              *               *               *               *               *               *               *               1
  Aruba                                                1               1               *               1               1               1               1               1
  Australia                                           38              48              43              49              55              56              58              69
  Austria                                              4               5               5               6               7               9              10               9
  Azerbaijan                                           3               5               5               4               7               7               6               5
  Bahamas                                             10              11               9               9               8              12              21              25
  Bahrain                                              5               4               2               2               1               1               1               1
  Bangladesh                                           *               *               *               *               *               *               *               *
  Barbados                                             6               7               9               9               8              13              21              22
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                            383             412             414             448             666             555             497             638
  Belize                                               *               *               *               *               *               *               *               *
  Benin                                                0               0               *               *               *               0               *               *
  Bermuda                                            176             185             210             225             184             175             193             199
  Bhutan                                               *               *               0               0               0               0               0               *
  Bolivia                                              *               *               *               *               1               1               *               1
  Bonaire, Sint Eustatius & Saba (1)                n.a.            n.a.            n.a.            n.a.               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             2               2               2               1               2               2               2               1
  Brazil                                             135             214             239             237             229             239             240             253
  British Indian Ocean Territory                       *               *               *               *               *               *               0               *
  British Virgin Islands                              27              29              34              27              31              38              41              43
  Brunei                                               1               1               1               1               1               1               1               1
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         *               *               *               *               0               *               0               0
  Burma                                                0               *               0               *               *               *               *               *
  Burundi                                              *               *               *               *               *               0               0               0
  Cambodia                                             *               *               *               *               *               2               2               2
  Cameroon                                             *               *               *               *               0               0               0               0
  Canada                                             114             131             148             174             195             207             235             238
  Cape Verde                                           0               0               0               0               0               0               *               *
  Cayman Islands                                     371             416             432             444             486             525             626             657
  Central African Republic                             *               *               0               0               *               0               0               0
  Chad                                                 0               0               0               0               *               0               0               0
  Chile                                               11              17              20              22              23              25              30              24
  China, mainland (2)                               1479            1563            1363            1469            1489            1510            1450            1344
  Colombia                                             8              11              30              34              34              39              34              32
  Congo (Brazzaville)                                  *               *               *               0               *               *               *               0
  Congo (Kinshasa)                                     *               *               *               *               *               *               *               *
  Cook Islands                                         *               *               *               *               *               *               *               *
  Costa Rica                                           1               1               2               2               2               2               2               2
  Cote d`Ivoire (Ivory Coast)                          *               *               0               0               0               0               0               0
  Croatia                                              *               *               *               *               *               1               1               1
  Curacao (1)                                       n.a.            n.a.            n.a.            n.a.               2               2               2               2
  Cyprus                                               *               *               *               *               *               *               *               *
  Czech Republic                                       5               6               6               6               6               6               9              21
  Denmark                                             20              26              36              35              45              43              47              40
  Djibouti                                             *               *               0               0               0               0               0               0
