naics_code,industry_classification,total,equity,debt_long_term,debt_short_term
"21"," Mining, quarrying, and oil and gas extraction","268","163","105","*"
"2111"," Oil and gas extraction","169","101","67","*"
"2122"," Metal ore mining","29","16","13","0"
"213111-213112"," Oil and gas well drilling and support","51","31","20","*"
"213114"," Support activities for metal mining","2","1","1","0"
""," Other","18","14","4","*"
"22-23"," Utilities and construction","323","169","150","4"
"2211"," Electric power generation and distribution","220","111","106","3"
"2212"," Natural gas distribution","56","34","22","*"
"2213"," Water, sewage, and other systems","8","6","2","*"
"23"," Construction","39","18","20","0"
"31"," Consumer goods manufacturing","492","312","176","5"
"311"," Food manufacturing","135","81","52","2"
"3121"," Beverage manufacturing","177","95","81","2"
"3122"," Tobacco product manufacturing","124","87","37","*"
""," Other","55","49","6","*"
"325"," Chemical manufacturing","759","561","190","8"
"3254"," Pharmaceutical and medicine manufacturing","532","397","133","2"
""," Other","227","164","57","7"
"326-333"," Other primary and machinery manufacturing","292","189","101","1"
"331"," Primary metal manufacturing","29","18","11","0"
"333"," Machinery manufacturing","193","127","66","*"
""," Other","69","44","24","1"
"334-335"," Computer and electronic product manufacturing","754","565","186","3"
"3341"," Computer and peripheral equipment manufacturing","327","234","91","2"
"3342"," Communications equipment manufacturing","25","11","15","*"
"3344"," Semiconductor and other electronic component mfg.","226","176","50","*"
"3345"," Navigational, measuring, electromed., control instr. mfg.","129","104","25","*"
"335"," Electrical equipment, appliance, and component mfg.","44","37","6","*"
""," Other","3","3","*","*"
"336-339"," All other manufacturing","441","292","146","3"
"3361"," Motor vehicle manufacturing","131","43","86","3"
"3363"," Motor vehicle parts manufacturing","30","25","5","0"
"3364"," Aircraft manufacturing","95","75","19","*"
"3365-3369"," Rail, ship, and other transportation manufacturing","11","8","3","*"
"3391"," Medical equipment and supplies manufacturing","151","124","27","*"
""," Other","23","17","6","*"
"42"," Wholesale trade","172","108","60","4"
"423"," Merchant wholesalers, durable goods","72","36","33","3"
"424-425"," Merchant wholesalers, nondurable goods","100","72","27","*"
"44-45"," Retail trade","475","361","113","1"
"445"," Food and beverage stores","20","13","7","*"
"448"," Clothing and clothing accessories stores","47","40","6","0"
""," Other","408","308","100","1"
"48-49"," Transportation and cargo","211","132","78","2"
"481"," Air transportation","31","27","4","*"
"482"," Rail transportation","58","42","16","*"
"483"," Water transportation","2","2","1","0"
"486"," Pipeline transportation","60","23","37","*"
"488"," Support activities for transportation","13","9","4","0"
""," Other","46","29","16","1"
"511-515"," Publishing and broadcasting","683","504","177","2"
"511"," Publishing industries (except internet)","382","303","78","1"
"512"," Motion picture and sound recording industries","67","47","20","0"
"515"," Broadcasting (except internet)","234","155","79","1"
"517-519"," Telecommunications and information services","636","405","231","*"
"5171"," Wired telecommunications carriers","23","4","19","*"
"5172"," Wireless telecommunications carriers (except satellite)","29","8","21","0"
"5179"," Other telecommunications","260","100","160","*"
"519"," Other information services","266","256","10","0"
""," Other","58","37","21","*"
"5221"," Depository credit intermediation (banking)","1,046","388","549","109"
"5222-5239"," Other financial","2,199","424","1,720","54"
"522292"," Real estate credit","370","1","368","*"
"52239"," Other credit intermed","924","2","921","1"
"5231"," Inv. banking","260","55","197","8"
""," Other","646","366","234","45"
"524"," Insurance","408","288","119","1"
"525"," Funds, trusts, and other financial vehicles","1,586","1,543","38","5"
"53-81"," Services","900","556","336","8"
"531"," Real estate rental and leasing","80","34","46","*"
"5413"," Architectural, engineering, and related services","7","5","2","0"
"5415"," Computer systems design and related services","151","120","31","0"
"5416"," Management, scientific, and technical consulting services","24","19","5","0"
"5511"," Offices of bank and other holding companies","13","6","6","*"
"561"," Administrative and support services","131","96","32","3"
"61-62"," Education, health care, and social services","94","44","49","1"
"71"," Arts, entertainment, and recreation","36","16","20","*"
"72"," Accommodation and food services","140","102","37","1"
""," Other","225","114","108","3"
"92","Government$^{2}$","6,178","*","5,499","678"
""," Industry classification unknown","390","85","268","36"
""," All other industries","176","125","45","6"
""," Total","18,412","7,189","10,292","930"
