                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Value of foreign holdings of U.S. equities, by country and type of equities,
as of June 29, 2018
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Afghanistan                                               8               1               7               *
  Albania                                                   6               3               2               0
  Algeria                                                  24              22               2               *
  Andorra                                                 838             646             168              25
  Angola                                                  477             408              38              30
  Anguilla                                               2360            2228             122              10
  Antigua and Barbuda                                     245             209              29               7
  Argentina                                              5163            2130            2684             349
  Armenia                                                   6               5               1               0
  Aruba                                                   493             228             261               4
  Australia                                            223281          177004           30386           15891
  Austria                                               13946           11690            2119             136
  Azerbaijan                                             1722            1677              40               5
  Bahamas                                               19918           10276            8807             836
  Bahrain                                                 941             669             189              83
  Bangladesh                                                7               4               3               *
  Barbados                                               1501             615             848              38
  Belarus                                                  13              13               *               0
  Belgium                                               53679           44856            8213             610
  Belize                                                  532             175             294              63
  Benin                                                     *               *               *               *
  Bermuda                                              102370           37943           58981            5446
  Bhutan                                                   58               0              58               0
  Bolivia                                                 257              92             155               9
  Bonaire, Sint Eustatius & Saba (1)                       40              14              25               1
  Bosnia and Herzegovina                                    1               1               *               0
  Botswana                                                638             604              26               8
  Brazil                                                 5620            4221            1287             113
  British Indian Ocean Territory                            *               0               *               0
  British Virgin Islands                               113804           52326           54892            6585
  Brunei                                                 4730            1841            2689             201
  Bulgaria                                                183             121              62               *
  Burkina Faso                                             14              13               1               0
  Burma                                                     2               *               2               *
  Burundi                                                   *               *               0               0
  Cambodia                                                 26              23               3               *
  Cameroon                                                  2               1               1               0
  Canada                                               928148          736239          155166           36744
  Cape Verde                                                *               *               *               0
  Cayman Islands                                      1038154          605731          267248          165175
  Central African Republic                                  *               0               0               *
  Chad                                                      *               *               *               0
  Chile                                                 21298            2715           17568            1015
  China, mainland (2)                                  216814          149256           16763           50796
  Colombia                                              13283             857           11590             836
  Comoros                                                 159             158               2               0
  Congo (Brazzaville)                                       3               2               *               *
  Congo (Kinshasa)                                          5               *               5               0
  Cook Islands                                            507             322             184               2
  Costa Rica                                             1262             287             922              53
  Cote d`Ivoire (Ivory Coast)                               4               3               1               *
  Croatia                                                 411             224             186               *
  Cuba                                                      *               *               0               0
  Curacao (1)                                            3783            1369            1924             490
  Cyprus                                                  599             341             194              63
  Czech Republic                                         3119            2679             429              11
  Denmark                                               86647           70428           12511            3708
  Djibouti                                                  1               1               0               0
  Dominica                                                 54              10              43               1
  Dominican Republic                                      448             170             246              32
  East Timor                                             3674            3592              83               0
  Ecuador                                                 480             148             297              34
  Egypt                                                   676             523             148               5
  El Salvador                                             283              69             166              48
  Equatorial Guinea                                         1               1               *               0
  Eritrea                                                   *               *               *               *
  Estonia                                                 603             279             321               2
  Ethiopia                                                  8               5               4               *
  Falkland Islands                                         17              16               1               *
  Faroe Islands                                             *               *               *               *
  Federated States of Micronesia                           75              56              16               3
  Fiji                                                      2               1               1               0
  Finland                                               33947           16205           15669            2074
  France                                               166469          146687           14445            5336
  French Guiana                                            13               7               6               *
  French Polynesia                                         17              11               5               1
  Gabon                                                    31               2              29               *
  Gambia                                                    8               6               2               *
  Georgia                                                  12              10               2               *
  Germany                                              239402          214583           14791           10028
  Ghana                                                    13               8               5               *
  Gibraltar                                               186             140              41               5
  Greece                                                 1719            1271             425              23
  Greenland                                                 *               *               0               0
  Grenada                                                  77              45              32               *
  Guadeloupe (1)                                           15              13               1               1
  Guatemala                                               411             204             181              26
  Guernsey                                              31951           15523            8078            8350
  Guinea                                                    *               *               *               0
  Guyana                                                   29               9              19               1
  Haiti                                                   128              63              41              23
  Holy See (Vatican)                                        4               *               4               0
  Honduras                                                111              33              74               5
  Hong Kong                                            112884           78837           25983            8063
  Hungary                                                 855             183             671               1
  Iceland                                                1343             517             774              52
  India                                                  3603            2719             806              77
  Indonesia                                               356             295              56               5
  Iran                                                      2               2               *               0
  Iraq                                                      1               *               *               *
  Ireland                                              392629          357162           27658            7809
  Isle of Man                                            1134             578             475              82
  Israel                                                54954           29584           22387            2983
  Italy                                                 32944           30586            1855             503
  Jamaica                                                 252             114             134               5
  Japan                                                543170          458099           77435            7636
  Jersey                                                15255           10408            2312            2535
  Jordan                                                   79              57              20               2
  Kazakhstan                                               53              28              24               1
  Kenya                                                    29              14              14               *
  Kiribati                                                304               *              58             246
  Korea, South                                         125166           92165           19289           13713
  Kosovo (1)                                                2               1               1               0
