"Table A5.  Foreign holdings of U.S. long-term asset-backed securities, by country and"
"type of security, as of June 29, 2018"
"Millions of dollars"
"","Total","Agency","","Corporate ABS"
"Countries and Regions","LT ABS","ABS","Total","MBS","NonMBS"
"Andorra",3,3,0,0,0
"Anguilla",129,2,128,59,68
"Antigua and Barbuda","*","*","*","*","*"
"Argentina",19,6,12,"*",12
"Aruba",242,55,187,1,185
"Australia",7403,3378,4024,2754,1270
"Austria",732,642,90,12,78
"Bahamas",864,657,207,122,85
"Bahrain",61,22,38,15,24
"Barbados",13640,1777,11863,8505,3358
"Belgium",10907,1399,9508,2918,6590
"Belize",2,"*",1,0,1
"Bermuda",48931,24969,23962,13037,10925
"Bolivia",1,1,"*",0,"*"
"Botswana","*",0,"*","*",0
"Brazil",3,2,1,"*",1
"British Virgin Islands",2793,1291,1502,781,720
"Brunei",115,1,114,49,65
"Bulgaria","*","*",0,0,0
"Burma","*","*",0,0,0
"Cambodia",2,0,2,0,2
"Canada",31638,4766,26872,19659,7213
"Cayman Islands",126569,24384,102184,73261,28923
"Chile",30,22,8,"*",8
"China, mainland (2)",179723,176345,3378,1981,1397
"Colombia",920,919,1,"*",1
"Cook Islands",1,0,1,0,1
"Costa Rica",4,2,2,"*",2
"Curacao (1)",72,26,46,17,29
"Denmark",547,178,369,125,244
"Dominica","*",0,"*","*",0
"Dominican Republic",3,3,"*","*","*"
"Ecuador",1,1,"*","*","*"
"Egypt",151,150,1,1,0
"El Salvador",7,7,"*",0,"*"
"Falkland Islands","*",0,"*",0,"*"
"Federated States of Micronesia",3,3,0,0,0
"Finland",2,"*",2,0,2
"France",9401,4527,4874,2000,2874
"French Polynesia","*","*",0,0,0
"Germany",21644,3128,18516,1251,17266
"Greece",2,2,"*",0,"*"
"Guatemala",53,10,42,15,27
"Guernsey",386,100,287,117,170
"Guyana","*","*","*",0,"*"
"Haiti",7,2,5,"*",5
"Honduras",1,"*","*","*","*"
"Hong Kong",11990,9510,2481,1123,1358
"Hungary",1126,1126,0,0,0
"India",125,125,"*","*","*"
"Indonesia",3613,3530,84,16,67
"Ireland",83042,37832,45211,23861,21349
"Isle of Man",1,"*","*",0,"*"
"Israel",2338,2129,209,115,94
"Italy",797,628,170,146,24
"Japan",268581,253972,14609,5227,9381
"Jersey",529,220,309,266,43
"Jordan","*","*",0,0,0
"Kazakhstan","*","*",0,0,0
"Korea, South",35308,33064,2244,1399,845
"Kuwait",5326,4430,896,373,524
"Latvia",1652,1062,591,19,571
"Lebanon","*","*",0,0,0
"Liberia",56,35,21,5,16
"Liechtenstein",79,57,22,"*",22
"Luxembourg",76935,34012,42924,19749,23175
"Macau",358,170,187,60,128
"Malawi","*",0,"*",0,"*"
"Malaysia",12480,12319,161,16,145
"Malta",5,1,4,0,4
"Marshall Islands",1,"*",1,1,"*"
"Mauritius",24,12,12,5,7
"Mexico",5547,5416,131,1,130
"Netherlands",14914,11437,3476,2437,1039
"New Zealand",886,729,157,92,65
"Nicaragua","*","*","*",0,"*"
"Nigeria",274,249,26,1,25
"Norway",300,9,291,79,212
"Oman",115,107,8,0,8
"Pakistan","*","*",0,0,0
"Palau",3,3,"*","*","*"
"Panama",1104,896,208,93,115
"Paraguay",1,1,"*",0,"*"
"Peru",14,1,13,1,12
"Philippines",28,28,"*","*",0
"Portugal","*","*","*",0,"*"
"Qatar",477,301,176,88,88
"Russia",1,1,"*","*","*"
"Saint Kitts and Nevis",12,9,3,"*",2
"Saint Lucia",1,"*",1,0,1
"Saint Vincent and the Grenadines","*","*","*",0,"*"
"Samoa","*",0,"*","*",0
"Saudi Arabia",3746,2830,916,498,417
"Seychelles","*","*","*",0,"*"
"Singapore",6316,3270,3046,649,2397
"Sint Maarten (1)",3,3,"*",0,"*"
"Slovenia","*",0,"*","*",0
"South Africa",690,686,4,4,0
"Spain",3293,558,2736,2,2734
"Suriname","*","*",0,0,0
"Swaziland",101,11,89,40,49
"Sweden",602,208,394,107,288
"Switzerland",17656,10863,6794,4634,2160
"Taiwan",251416,249773,1643,1155,488
"Tanzania","*",0,"*","*",0
"Thailand",7230,7209,22,11,11
"Trinidad and Tobago",1339,633,705,26,680
"Turks and Caicos Islands",24,19,5,1,4
"Uganda",81,22,59,22,37
"Ukraine",1,0,1,0,1
"United Arab Emirates",1053,673,380,261,119
"United Kingdom",27580,8819,18761,6691,12070
"Uruguay",465,455,11,"*",11
"Venezuela",21,12,9,7,2
"International and regional organizations",10323,5365,4958,274,4684
"Country Unknown",8,7,1,1,0
""
"Total",1317003,953612,363390,196240,167151
""
"of which: Holdings of foreign official"
"institutions",560361,547867,12494,4608,7887
""
"Totals by Region:"
"Total Africa",1377,1166,212,78,134
"Total Asia",790402,759806,30595,13036,17559
"Total Caribbean",194629,53830,140799,95812,44987
"Total Europe",272137,116808,155329,64414,90915
"Total Latin America",8192,7751,441,118,323
"Canada",31638,4766,26872,19659,7213
"Australia/Oceania",8297,4113,4184,2847,1337
"Country Unknown",8,7,1,1,0
"International and regional organizations",10323,5365,4958,274,4684
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
