"Table A8.  Foreign holdings of U.S. equities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2011,2012,2013,2014,2015,2016,2017,2018
"Afghanistan","*","*","*","*","*","*","*","*"
"Albania","*","*","*","*","*","*","*","*"
"Algeria","*","*","*","*","*","*","*","*"
"Andorra",1,1,1,1,1,1,1,1
"Angola",2,1,1,"*","*","*",1,"*"
"Anguilla",16,15,21,17,19,16,15,2
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",5,5,5,5,5,4,5,5
"Armenia","*","*","*","*","*","*","*","*"
"Aruba","*","*","*","*","*","*",1,"*"
"Australia",106,112,149,170,176,171,193,223
"Austria",7,7,7,9,8,9,11,14
"Azerbaijan","*","*","*","*",1,1,1,2
"Bahamas",19,18,19,22,21,17,21,20
"Bahrain",1,1,1,1,1,1,1,1
"Bangladesh","*","*","*","*","*","*","*","*"
"Barbados",1,1,1,1,2,2,1,2
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",25,22,29,34,34,31,38,54
"Belize","*","*","*",1,1,"*","*",1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",59,68,74,93,89,86,95,102
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia","*","*","*","*","*","*","*","*"
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",1,1,1,1,1,"*",1,1
"Brazil",2,4,4,7,8,5,5,6
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",61,84,101,128,119,105,112,114
"Brunei",2,2,2,4,2,2,4,5
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*","*","*","*","*","*","*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*","*","*","*"
"Cambodia","*","*","*","*","*","*","*","*"
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",415,471,617,769,761,695,810,928
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",393,516,628,838,884,796,928,1038
"Central African Republic","*","*","*","*","*","*","*","*"
"Chad","*","*","*","*","*","*","*","*"
"Chile",18,17,22,27,29,21,24,21
"China, mainland (2)",159,221,261,320,330,178,194,217
"Colombia",7,6,7,11,18,13,13,13
"Comoros","*","*","*",1,1,"*","*","*"
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*",1,1
"Costa Rica",1,1,1,1,2,1,1,1
"Cote d`Ivoire (Ivory Coast)","*","*","*","*","*","*","*","*"
"Croatia","*","*","*","*","*","*","*","*"
"Cuba","*","*","*","*","*","*","*","*"
"Curacao (1)","n.a.","n.a.","n.a.",2,2,3,3,4
"Cyprus","*","*","*",1,"*","*","*",1
"Czech Republic",1,1,2,2,2,2,3,3
"Denmark",34,37,48,53,61,68,83,87
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic","*","*","*","*","*","*","*","*"
"East Timor","*",1,2,3,4,4,4,4
"Ecuador","*","*","*","*",1,1,"*","*"
"Egypt","*","*","*","*","*","*","*",1
"El Salvador","*","*","*","*","*","*","*","*"
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*","*","*","*","*","*","*",1
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",14,12,14,21,18,21,28,34
"France",140,120,115,157,168,120,154,166
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia","*","*","*","*","*","*","*","*"
"Germany",81,79,111,137,159,155,208,239
"Ghana","*","*","*","*","*","*","*","*"
"Gibraltar","*","*","*","*","*","*","*","*"
"Greece",2,3,4,5,4,2,2,2
"Greenland","*","*","*","*","*","*","*","*"
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe (1)","*","*","*","*","*","*","*","*"
"Guatemala","*","*","*","*","*","*","*","*"
"Guernsey",12,21,21,24,26,27,32,32
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau","*","*","*","*",0,0,0,0
"Guyana","*","*","*","*","*","*","*","*"
"Haiti","*","*","*","*","*","*","*","*"
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras","*","*","*","*","*","*","*","*"
"Hong Kong",43,47,56,74,77,75,96,113
"Hungary",1,"*",1,1,1,1,1,1
"Iceland","*","*",1,1,1,1,1,1
"India",1,1,1,2,2,2,3,4
"Indonesia","*","*","*","*","*","*","*","*"
"Iran","*","*","*","*","*","*","*","*"
"Iraq","*","*","*","*","*","*","*","*"
"Ireland",105,108,141,204,235,238,296,393
"Isle of Man",1,1,1,1,1,1,1,1
"Israel",20,23,30,35,41,37,49,55
"Italy",15,15,21,27,26,24,27,33
"Jamaica","*","*","*","*","*","*","*","*"
"Japan",302,314,316,361,391,428,490,543
"Jersey",14,11,14,17,18,17,16,15
"Jordan","*","*","*","*","*","*","*","*"
"Kazakhstan",2,3,5,6,7,5,6,"*"
"Kenya","*","*","*","*","*","*","*","*"
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",20,24,36,59,62,75,102,125
"Kosovo (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Kuwait",65,83,112,136,136,131,160,185
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia","*","*","*","*","*","*","*","*"
"Lebanon",1,1,1,1,"*","*","*","*"
"Lesotho","*","*","*","*","*",0,0,0
"Liberia",1,1,1,1,1,1,1,1
"Libya","*","*","*","*","*","*","*","*"
"Liechtenstein",3,2,3,4,3,3,3,4
"Lithuania","*","*","*","*","*","*","*","*"
"Luxembourg",291,292,378,502,518,516,532,617
"Macau","*","*","*",1,1,1,1,2
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*","*","*","*"
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",4,7,8,12,11,10,13,14
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta","*","*",1,1,1,1,1,1
"Marshall Islands","*","*","*",1,1,1,1,1
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",1,2,2,3,6,1,4,1
"Mayotte","*","*","*","*","*",0,0,0
"Mexico",25,23,32,42,41,36,47,58
"Moldova","*","*","*","*","*","*","*","*"
"Monaco",1,2,2,2,2,2,1,1
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
