"Table A9.  Foreign holdings of U.S. long-term debt securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2011,2012,2013,2014,2015,2016,2017,2018
"Afghanistan",1,1,1,1,1,1,1,2
"Albania","*","*",1,1,"*","*","*","*"
"Algeria","*","*","*","*","*","*","*","*"
"Andorra",1,1,1,1,1,1,1,1
"Angola","*","*","*","*",1,"*","*",1
"Anguilla","*",1,2,"*","*","*","*","*"
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",4,3,3,3,2,2,2,4
"Armenia","*","*","*","*","*","*",1,1
"Aruba",1,"*",1,1,1,1,1,1
"Australia",48,43,49,55,56,58,69,70
"Austria",5,5,6,7,9,10,9,8
"Azerbaijan",5,5,4,7,7,6,5,5
"Bahamas",11,9,9,8,12,21,25,11
"Bahrain",4,2,2,1,1,1,1,1
"Bangladesh","*","*","*","*","*","*","*","*"
"Barbados",7,9,9,8,13,21,22,19
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",412,414,448,666,555,497,638,654
"Belize","*","*","*","*","*","*","*","*"
"Benin",0,"*","*","*",0,"*","*","*"
"Bermuda",185,210,225,184,175,193,199,193
"Bhutan","*",0,0,0,0,0,"*","*"
"Bolivia","*","*","*",1,1,"*",1,1
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",2,2,1,2,2,2,1,1
"Brazil",214,239,237,229,239,240,253,297
"British Indian Ocean Territory","*","*","*","*","*",0,"*","*"
"British Virgin Islands",29,34,27,31,38,41,43,48
"Brunei",1,1,1,1,1,1,1,1
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*","*",0,"*",0,0,0
"Burma","*",0,"*","*","*","*","*","*"
"Burundi","*","*","*","*",0,0,0,0
"Cambodia","*","*","*","*",2,2,2,2
"Cameroon","*","*","*",0,0,0,0,0
"Canada",131,148,174,195,207,235,238,263
"Cape Verde",0,0,0,0,0,"*","*","*"
"Cayman Islands",416,432,444,486,525,626,657,604
"Central African Republic","*",0,0,"*",0,0,0,0
"Chad",0,0,0,"*",0,0,0,0
"Chile",17,20,22,23,25,30,24,23
"China, mainland (2)",1563,1363,1469,1489,1510,1450,1344,1385
"Colombia",11,30,34,34,39,34,32,29
"Congo (Brazzaville)","*","*",0,"*","*","*",0,0
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*","*","*"
"Costa Rica",1,2,2,2,2,2,2,2
"Cote d`Ivoire (Ivory Coast)","*",0,0,0,0,0,0,0
"Croatia","*","*","*","*",1,1,1,1
"Curacao (1)","n.a.","n.a.","n.a.",2,2,2,2,2
"Cyprus","*","*","*","*","*","*","*","*"
"Czech Republic",6,6,6,6,6,9,21,19
"Denmark",26,36,35,45,43,47,40,36
"Djibouti","*",0,0,0,0,0,0,0
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic",1,1,1,1,1,2,1,2
"East Timor",7,8,10,10,8,8,8,8
"Ecuador",1,1,"*","*","*","*","*","*"
"Egypt",3,3,1,4,4,1,2,2
"El Salvador",1,1,1,1,1,1,1,1
"Equatorial Guinea","*",0,0,0,"*",0,0,0
"Estonia","*","*","*","*","*","*","*","*"
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands",0,"*","*","*","*","*","*","*"
"Faroe Islands",0,0,0,"*",0,0,"*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*",0,"*","*","*","*"
"Finland",5,7,8,8,13,15,17,12
"France",94,93,89,100,98,97,122,144
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia",0,"*",0,0,0,0,0,0
"Georgia",1,1,1,1,1,1,"*","*"
"Germany",150,142,148,177,180,196,215,209
"Ghana","*",1,1,1,1,1,1,1
"Gibraltar","*","*","*","*","*","*","*","*"
"Greece",3,5,3,3,2,2,2,2
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe (1)","*","*","*","*","*",0,0,"*"
"Guatemala",4,4,4,3,2,3,4,4
"Guernsey",7,8,7,12,11,10,10,10
"Guinea","*","*",0,0,"*","*","*","*"
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",1,1,1,1,1,1,1,2
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,1,1,1,1,1,1
"Hong Kong",182,136,124,138,162,182,191,210
"Hungary",1,1,2,1,1,2,1,2
"Iceland","*",1,1,1,1,2,2,2
"India",27,42,57,69,101,110,115,142
"Indonesia",19,31,22,23,23,23,31,27
"Iran","*",0,0,0,0,0,0,"*"
"Iraq","*","*",2,7,12,7,6,11
"Ireland",186,241,321,396,476,578,640,622
"Isle of Man",1,1,1,1,1,1,1,1
"Israel",18,20,22,27,23,36,37,35
"Italy",25,36,40,42,41,53,49,54
"Jamaica","*","*","*",1,1,"*",1,1
"Japan",1216,1458,1387,1494,1437,1470,1450,1436
"Jersey",19,13,9,8,8,7,6,7
"Jordan",1,1,1,1,"*","*","*",1
"Kazakhstan",9,8,10,15,12,17,8,4
"Kenya","*","*",1,1,1,1,1,3
"Kiribati","*","*","*","*","*",0,0,0
"Korea, South",109,119,108,108,133,151,170,174
"Kosovo (1)","n.a.","n.a.","n.a.",0,0,"*","*","*"
"Kuwait",25,31,36,42,43,46,49,61
"Laos",0,"*",0,0,0,0,0,"*"
"Latvia",1,"*","*",1,1,1,2,2
"Lebanon","*","*","*","*","*","*","*","*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia","*",1,1,"*","*",1,"*","*"
"Libya",4,4,5,1,0,0,"*",1
"Liechtenstein","*","*","*","*","*","*",1,1
"Lithuania","*","*","*","*","*","*","*",3
"Luxembourg",457,474,532,617,681,738,771,774
"Macau",1,1,1,1,2,2,2,3
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*","*","*","*"
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",37,39,34,24,22,25,28,28
"Maldives",0,0,0,0,0,0,0,"*"
"Mali",0,0,0,"*",0,0,0,0
"Malta",1,1,1,2,1,1,1,1
"Marshall Islands","*","*","*","*","*","*","*","*"
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania",0,0,0,"*","*","*","*","*"
"Mauritius","*","*","*","*",1,2,3,2
"Mayotte",0,"*","*","*","*",0,0,0
"Mexico",68,88,87,77,100,64,44,49
"Moldova","*","*","*",1,"*","*",1,1
"Monaco","*","*","*","*","*","*","*","*"
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro (1)","n.a.","n.a.","n.a.",0,0,0,"*","*"
"Montserrat","*","*",0,0,0,"*","*","*"
"Morocco",1,1,1,1,2,2,2,2
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia","*","*","*","*","*","*","*","*"
"Nauru",0,"*",0,"*",0,0,0,0
"Nepal","*","*","*","*",1,1,1,1
"Netherlands",89,97,100,99,107,130,129,123
"Netherlands Antilles (1)",6,4,3,"n.a.","n.a.","n.a.","n.a.","n.a."
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",4,6,6,7,7,7,7,8
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger",0,0,0,0,"*",0,0,0
"Nigeria",4,4,4,4,3,3,2,4
"Niue","*","*",0,0,0,0,0,0
"Norway",57,88,99,119,109,104,101,93
"Oman",9,15,19,17,15,16,16,12
"Pakistan",1,1,1,1,1,1,1,1
"Palau","*","*","*","*","*","*","*","*"
"Panama",6,6,5,5,6,7,9,9
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",12,16,24,17,17,18,18,20
"Philippines",27,35,37,34,40,42,39,32
"Poland",27,28,32,30,29,35,34,41
"Portugal",2,3,3,4,3,6,5,3
"Qatar","*","*","*","*",1,"*",2,2
"Reunion",0,0,"*",0,0,0,0,0
"Romania",8,6,6,7,2,4,3,8
"Russia",138,159,139,115,72,91,97,9
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Kitts and Nevis","*",1,1,1,1,1,1,2
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Saint Pierre and Miquelon","*","*",0,0,0,0,0,0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino","*","*","*",0,0,0,0,0
"Saudi Arabia",80,85,95,108,126,112,114,121
"Senegal","*","*","*",0,0,"*","*","*"
"Serbia and Montenegro (1)",2,1,1,1,1,1,2,2
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone","*","*","*","*",0,0,0,0
"Singapore",98,127,138,155,174,171,164,162
"Sint Maarten (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia","*","*","*","*",1,1,1,1
"Solomon Islands",0,0,0,"*","*","*","*","*"
"Somalia","*","*","*",0,0,0,0,0
"South Africa",11,14,14,15,11,11,12,18
"Spain",15,25,23,26,35,44,41,36
"Sri Lanka",1,1,1,1,"*","*",1,3
"Sudan","*",0,0,0,0,0,0,0
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",41,41,36,40,44,46,50,53
"Switzerland",246,277,284,279,338,359,378,331
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",213,349,346,364,416,473,505,510
"Tajikistan","*",0,0,0,0,0,0,0
"Tanzania",1,1,2,2,2,1,2,2
"Thailand",18,20,12,15,16,25,64,54
"Togo","*","*","*","*","*","*","*","*"
"Tonga",0,0,0,0,"*","*","*","*"
"Trinidad and Tobago",7,6,6,7,7,7,7,6
"Tunisia","*","*","*","*","*","*","*","*"
"Turkey",12,12,18,25,19,25,23,13
"Turks and Caicos Islands","*","*","*","*","*","*","*","*"
"Uganda","*","*","*",1,"*",1,1,"*"
"Ukraine",8,7,6,2,4,6,2,1
"United Arab Emirates",32,40,34,50,65,63,58,57
