"Table A10.  Foreign holdings of U.S. short-term debt securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2011,2012,2013,2014,2015,2016,2017,2018
"Afghanistan",0,0,"*",0,0,"*",0,0
"Albania",0,"*",0,0,"*",0,0,0
"Algeria",1,1,1,1,1,1,1,1
"Andorra","*","*","*","*","*","*","*","*"
"Angola",0,0,0,0,"*","*",0,"*"
"Anguilla","*",1,1,"*","*",2,1,"*"
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",1,"*","*","*","*","*","*",2
"Armenia",0,0,0,"*",0,0,0,0
"Aruba","*","*","*","*","*","*","*","*"
"Australia",7,7,16,14,10,9,8,10
"Austria",1,"*","*","*",1,"*","*","*"
"Azerbaijan","*",1,1,"*",1,1,1,1
"Bahamas",4,2,2,3,3,4,5,5
"Bahrain",1,"*","*","*","*","*","*","*"
"Bangladesh",2,1,1,1,1,"*",1,1
"Barbados",4,3,3,4,1,1,1,1
"Belarus",0,0,0,0,0,"*",0,0
"Belgium",6,11,13,13,13,61,15,31
"Belize","*","*","*","*","*","*","*","*"
"Bermuda",28,22,25,25,22,27,24,21
"Bhutan","*",0,0,0,0,0,0,0
"Bolivia",1,"*",1,2,2,1,1,1
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Botswana","*","*","*","*","*","*","*","*"
"Brazil",5,9,20,26,21,13,18,8
"British Indian Ocean Territory",0,0,0,0,0,0,0,"*"
"British Virgin Islands",17,12,11,17,16,14,11,13
"Brunei","*","*","*","*","*","*","*","*"
"Bulgaria",0,0,"*",0,0,0,0,"*"
"Burkina Faso",0,0,0,0,0,0,"*","*"
"Cambodia","*","*","*",0,0,"*","*","*"
"Canada",13,15,24,24,24,20,13,19
"Cape Verde",0,0,0,"*","*","*","*","*"
"Cayman Islands",80,83,96,84,97,103,102,115
"Chile",8,11,11,10,10,8,9,10
"China, mainland (2)",5,9,5,9,3,2,3,5
"Colombia",14,1,1,2,1,1,"*",2
"Cook Islands",0,"*","*","*",0,"*","*",0
"Costa Rica","*","*",1,1,"*","*","*","*"
"Cote d`Ivoire (Ivory Coast)","*",0,0,0,0,0,0,0
"Croatia",1,1,1,1,"*","*","*","*"
"Curacao (1)","n.a.","n.a.","n.a.","*","*",1,1,1
"Cyprus","*","*","*","*","*","*","*","*"
"Czech Republic","*",0,"*",0,"*","*","*","*"
"Denmark",4,4,5,1,1,1,1,1
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic","*","*","*","*","*","*","*","*"
"East Timor","*","*","*",0,"*",0,"*",0
"Ecuador","*","*","*","*","*","*","*","*"
"Egypt",9,1,"*",1,1,1,6,18
"El Salvador",1,"*","*","*","*","*","*","*"
"Estonia","*","*","*","*","*","*","*","*"
"Ethiopia","*",0,0,0,0,"*",0,"*"
"Federated States of Micronesia","*","*","*","*","*",0,"*","*"
"Fiji",0,0,"*","*","*","*","*","*"
"Finland","*","*",1,1,"*","*","*","*"
"France",14,13,11,12,8,13,16,18
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon",0,0,"*",0,0,0,0,0
"Gambia","*","*","*",0,0,0,0,0
"Georgia","*","*",0,"*","*",0,0,0
"Germany",7,6,5,5,5,22,5,7
"Ghana","*","*","*","*","*",0,"*","*"
"Gibraltar","*","*","*","*",0,"*",1,"*"
"Greece","*",2,2,2,3,3,1,"*"
"Grenada",0,"*",0,0,"*","*","*",0
"Guatemala","*","*","*","*","*","*","*","*"
"Guernsey",2,1,1,2,3,2,1,1
"Guyana",0,0,"*","*",0,0,"*",0
"Haiti","*","*","*","*","*","*","*","*"
"Honduras","*","*","*","*","*","*","*","*"
"Hong Kong",66,40,35,50,59,48,64,42
"Hungary","*",1,1,"*","*","*","*","*"
"Iceland","*","*","*","*","*","*","*","*"
"India",17,12,4,4,16,7,16,6
"Indonesia",28,5,4,4,2,1,3,2
"Iraq",32,49,43,19,18,8,10,16
"Ireland",114,104,114,129,120,115,132,134
"Isle of Man","*","*","*","*","*","*",1,"*"
"Israel",9,10,9,5,4,2,1,2
"Italy",2,1,2,"*",1,1,2,2
"Jamaica","*","*","*","*",0,"*","*","*"
"Japan",67,63,63,62,75,62,58,65
"Jersey",1,4,2,2,2,5,3,2
"Jordan",1,"*","*",0,"*","*",0,"*"
"Kazakhstan",13,21,16,21,20,6,15,8
"Kenya","*","*",0,0,0,0,0,"*"
"Korea, South",5,5,12,13,13,10,10,17
"Kosovo (1)","n.a.","n.a.","n.a.",0,0,"*",0,0
"Kuwait",8,7,8,9,13,11,21,23
"Kyrgyzstan",0,0,0,0,0,0,0,"*"
"Latvia","*","*","*","*","*","*","*","*"
"Lebanon","*",3,"*",0,0,0,0,"*"
"Lesotho","*",0,0,0,0,0,"*","*"
"Liberia",1,"*","*","*","*","*","*","*"
"Libya",0,0,0,0,0,0,0,3
"Liechtenstein","*","*","*",0,"*",0,"*","*"
"Lithuania",0,0,0,0,"*","*","*","*"
"Luxembourg",69,72,80,80,98,94,95,103
"Macau","*","*","*","*","*","*","*",1
"Macedonia",0,"*",0,0,0,0,0,0
"Malaysia",1,"*","*","*","*","*","*","*"
"Malta","*","*","*","*","*","*","*","*"
"Marshall Islands","*","*","*","*","*","*","*","*"
"Mauritania",0,0,0,0,0,0,0,"*"
"Mauritius",0,"*","*","*","*","*",1,"*"
"Mexico",3,11,11,25,15,18,6,9
"Monaco","*","*","*","*","*","*","*","*"
"Mongolia","*",0,"*",0,0,0,0,"*"
"Montenegro (1)","n.a.","n.a.","n.a.",0,0,0,0,"*"
"Morocco","*","*","*","*",0,"*",0,0
"Mozambique","*","*","*","*","*",0,0,0
"Nepal","*","*","*","*","*","*","*","*"
"Netherlands",5,3,6,9,9,10,15,9
"Netherlands Antilles (1)","*",1,"*","n.a.","n.a.","n.a.","n.a.","n.a."
"New Caledonia","*","*","*","*","*",0,0,0
"New Zealand",1,2,1,"*",1,1,"*","*"
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger",0,0,"*",0,0,0,0,0
"Nigeria","*","*","*","*","*","*","*","*"
"Norway",1,"*",2,2,1,1,1,1
"Oman",15,3,2,4,8,"*",0,"*"
"Pakistan",1,1,1,"*","*",1,2,2
"Palau",0,0,0,0,0,0,"*","*"
"Panama",1,"*","*","*","*",1,1,2
"Papua New Guinea","*",0,0,0,0,0,0,"*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",3,1,"*","*",1,1,1,1
"Philippines",1,1,1,1,1,1,1,1
"Poland",6,3,1,0,"*","*","*","*"
"Portugal","*","*","*","*","*","*","*","*"
"Qatar",6,3,6,5,5,5,3,5
"Romania","*","*",0,0,0,0,0,"*"
"Russia",16,5,"*","*","*","*",6,6
"Saint Kitts and Nevis","*","*","*","*","*","*","*","*"
"Saint Lucia","*","*","*","*","*",0,0,"*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","n.a.",0,0,"*","*","*"
"Saint Vincent and the Grenadines",0,0,0,0,0,"*",0,0
"Samoa",0,"*","*",0,"*","*","*","*"
"San Marino",0,"*",0,0,0,0,0,0
"Saudi Arabia",5,5,7,8,5,5,42,54
"Serbia and Montenegro (1)","*","*","*",1,1,"*","*","*"
"Seychelles",0,0,0,0,0,"*",0,"*"
"Sierra Leone",0,0,0,0,0,0,0,"*"
"Singapore",7,9,5,10,12,14,16,10
"Sint Maarten (1)","n.a.","n.a.","n.a.","*",0,"*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia","*","*","*","*","*","*","*","*"
"South Africa","*","*","*","*","*","*","*",9
"Spain",3,6,3,2,1,1,1,2
"Sri Lanka","*",0,0,0,0,0,0,0
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland",0,0,0,"*",0,0,0,0
"Sweden",2,1,8,5,6,2,"*","*"
"Switzerland",16,26,32,24,27,32,34,30
"Syria","*","*","*",0,0,0,0,0
